# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.1770e+03	2.4e+00	1.256876e+03	3.2e+01
4.1806e+03	2.4e+00	1.730105e+03	2.9e+01
4.1843e+03	2.4e+00	2.308276e+03	3.6e+01
4.1879e+03	2.4e+00	2.170757e+03	4.0e+01
4.1916e+03	2.4e+00	1.664721e+03	1.8e+01
4.1952e+03	2.4e+00	8.208144e+02	2.4e+01
4.1989e+03	2.4e+00	5.941313e+02	2.7e+01
4.2025e+03	2.4e+00	6.391957e+02	2.9e+01
4.2062e+03	2.4e+00	6.824135e+02	3.2e+01
4.2098e+03	2.4e+00	7.189292e+02	2.6e+01
4.2135e+03	2.4e+00	7.428650e+02	2.6e+01
4.2171e+03	2.4e+00	7.318494e+02	2.3e+01
4.2208e+03	2.4e+00	7.202654e+02	2.6e+01
4.2244e+03	2.4e+00	6.178089e+02	3.3e+01
4.2281e+03	2.4e+00	6.156116e+02	3.1e+01
4.2317e+03	2.4e+00	4.862980e+02	2.6e+01
4.2354e+03	2.4e+00	4.865900e+02	2.6e+01
4.2390e+03	2.4e+00	5.686436e+02	3.0e+01
4.2427e+03	2.4e+00	7.972401e+02	3.7e+01
4.2463e+03	2.4e+00	1.165151e+03	3.4e+01
4.2500e+03	2.4e+00	1.261182e+03	2.3e+01
4.2536e+03	2.4e+00	1.168271e+03	4.0e+01
4.2572e+03	2.4e+00	9.538723e+02	3.9e+01
4.2609e+03	2.4e+00	1.112781e+03	2.8e+01
4.2645e+03	2.4e+00	1.535416e+03	5.8e+01
4.2682e+03	2.4e+00	1.339167e+03	3.2e+01
4.2718e+03	2.4e+00	1.027702e+03	2.0e+01
4.2755e+03	2.4e+00	5.140340e+02	1.9e+01
4.2791e+03	2.4e+00	4.376954e+02	2.0e+01
4.2827e+03	2.4e+00	4.236276e+02	1.8e+01
4.2864e+03	2.4e+00	5.903546e+02	2.1e+01
4.2900e+03	2.4e+00	6.746385e+02	1.5e+01
4.2937e+03	2.4e+00	6.245352e+02	1.3e+01
4.2973e+03	2.4e+00	5.310377e+02	1.1e+01
4.3010e+03	2.4e+00	5.024258e+02	1.5e+01
4.3046e+03	2.4e+00	4.946039e+02	2.0e+01
4.3082e+03	2.4e+00	4.231324e+02	7.0e+00
4.3119e+03	2.4e+00	4.431087e+02	8.0e+00
4.3155e+03	2.4e+00	4.896853e+02	1.1e+01
4.3191e+03	2.4e+00	7.414132e+02	1.4e+01
4.3228e+03	2.4e+00	1.039512e+03	2.3e+01
4.3264e+03	2.4e+00	1.069127e+03	2.5e+01
4.3301e+03	2.4e+00	9.412795e+02	1.4e+01
4.3337e+03	2.4e+00	8.876866e+02	2.4e+01
4.3373e+03	2.4e+00	1.105738e+03	2.3e+01
4.3410e+03	2.4e+00	1.028133e+03	1.8e+01
4.3446e+03	2.4e+00	8.028410e+02	1.6e+01
4.3482e+03	2.4e+00	5.686919e+02	1.4e+01
4.3519e+03	2.4e+00	5.411245e+02	1.6e+01
4.3555e+03	2.4e+00	6.013483e+02	8.0e+00
4.3591e+03	2.4e+00	7.057260e+02	6.8e+00
4.3628e+03	2.4e+00	9.534838e+02	2.7e+01
