# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.5867e+03	2.4e+00	5.7220e+03	5.5e+02
3.5904e+03	2.4e+00	6.6944e+03	3.3e+02
3.5942e+03	2.4e+00	6.5162e+03	4.0e+02
3.5979e+03	2.4e+00	6.5299e+03	1.8e+02
3.6016e+03	2.4e+00	6.4520e+03	3.5e+02
3.6053e+03	2.4e+00	7.8052e+03	3.4e+02
3.6091e+03	2.4e+00	6.9366e+03	4.4e+02
3.6128e+03	2.4e+00	7.2805e+03	5.4e+02
3.6165e+03	2.4e+00	7.5742e+03	2.6e+02
3.6202e+03	2.4e+00	9.0635e+03	2.9e+02
3.6239e+03	2.4e+00	9.7130e+03	3.1e+02
3.6277e+03	2.4e+00	8.2663e+03	1.3e+02
3.6314e+03	2.4e+00	9.2022e+03	3.4e+02
3.6351e+03	2.4e+00	9.3199e+03	4.4e+02
3.6388e+03	2.4e+00	9.7331e+03	5.6e+02
3.6425e+03	2.4e+00	1.0420e+04	6.2e+02
3.6462e+03	2.4e+00	1.1302e+04	5.7e+02
3.6500e+03	2.4e+00	1.2035e+04	3.9e+02
3.6537e+03	2.4e+00	1.3047e+04	2.2e+02
3.6574e+03	2.4e+00	1.4684e+04	3.0e+02
3.6611e+03	2.4e+00	1.4344e+04	6.1e+02
3.6648e+03	2.4e+00	1.4622e+04	2.3e+02
3.6685e+03	2.4e+00	1.6837e+04	3.1e+02
3.6723e+03	2.4e+00	1.7331e+04	5.4e+02
3.6760e+03	2.4e+00	1.6584e+04	5.5e+02
3.6797e+03	2.4e+00	1.8008e+04	5.3e+02
3.6834e+03	2.4e+00	1.9288e+04	5.6e+02
3.6871e+03	2.4e+00	2.2541e+04	5.8e+02
3.6908e+03	2.4e+00	2.4096e+04	1.1e+03
3.6945e+03	2.4e+00	2.4389e+04	6.6e+02
3.6982e+03	2.4e+00	2.4949e+04	4.7e+02
3.7019e+03	2.4e+00	2.9420e+04	7.6e+02
3.7057e+03	2.4e+00	3.2271e+04	1.6e+03
3.7094e+03	2.4e+00	3.3508e+04	1.5e+03
3.7131e+03	2.4e+00	3.1975e+04	1.2e+03
3.7168e+03	2.4e+00	3.4975e+04	2.1e+03
3.7205e+03	2.4e+00	4.3308e+04	9.7e+02
3.7242e+03	2.4e+00	5.0173e+04	1.2e+03
3.7279e+03	2.4e+00	5.5027e+04	1.3e+03
3.7316e+03	2.4e+00	5.1232e+04	2.0e+03
3.7353e+03	2.4e+00	4.5256e+04	2.0e+03
3.7390e+03	2.4e+00	5.1380e+04	2.3e+03
3.7427e+03	2.4e+00	6.4697e+04	1.8e+03
3.7464e+03	2.4e+00	8.0938e+04	2.2e+03
3.7501e+03	2.4e+00	9.5640e+04	3.9e+03
3.7539e+03	2.4e+00	9.8639e+04	4.4e+03
3.7576e+03	2.4e+00	9.3398e+04	3.6e+03
3.7613e+03	2.4e+00	7.8338e+04	3.3e+03
3.7650e+03	2.4e+00	6.7863e+04	2.2e+03
3.7687e+03	2.4e+00	7.6015e+04	1.8e+03
3.7724e+03	2.4e+00	9.9464e+04	2.5e+03
3.7761e+03	2.4e+00	1.3179e+05	5.8e+03
3.7798e+03	2.4e+00	1.5828e+05	4.2e+03
3.7835e+03	2.4e+00	1.7218e+05	4.6e+03
3.7872e+03	2.4e+00	1.8275e+05	7.0e+03
3.7909e+03	2.4e+00	1.8430e+05	7.6e+03
3.7946e+03	2.4e+00	1.7497e+05	7.9e+03
3.7983e+03	2.4e+00	1.4906e+05	5.8e+03
3.8020e+03	2.4e+00	1.1821e+05	4.9e+03
3.8057e+03	2.4e+00	1.1014e+05	3.0e+03
3.8094e+03	2.4e+00	1.2645e+05	3.5e+03
3.8131e+03	2.4e+00	1.6978e+05	5.8e+03
3.8168e+03	2.4e+00	2.1608e+05	6.4e+03
3.8205e+03	2.4e+00	2.6036e+05	8.3e+03
3.8242e+03	2.4e+00	2.9386e+05	9.1e+03
3.8279e+03	2.4e+00	3.0830e+05	1.1e+04
3.8315e+03	2.4e+00	3.2560e+05	1.2e+04
3.8352e+03	2.4e+00	3.4968e+05	1.5e+04
3.8389e+03	2.4e+00	3.5365e+05	1.3e+04
3.8426e+03	2.4e+00	3.5891e+05	1.4e+04
3.8463e+03	2.4e+00	3.4652e+05	1.2e+04
3.8500e+03	2.4e+00	3.1553e+05	1.2e+04
3.8537e+03	2.4e+00	2.8044e+05	1.2e+04
3.8574e+03	2.4e+00	2.3001e+05	1.1e+04
3.8611e+03	2.4e+00	1.8737e+05	8.3e+03
3.8648e+03	2.4e+00	1.9040e+05	6.2e+03
3.8685e+03	2.4e+00	2.3571e+05	9.3e+03
3.8722e+03	2.4e+00	3.0589e+05	1.1e+04
3.8759e+03	2.4e+00	3.7440e+05	1.4e+04
3.8795e+03	2.4e+00	4.2931e+05	1.8e+04
3.8832e+03	2.4e+00	4.6542e+05	1.9e+04
3.8869e+03	2.4e+00	4.9439e+05	2.0e+04
3.8906e+03	2.4e+00	5.0934e+05	2.1e+04
3.8943e+03	2.4e+00	5.2832e+05	2.1e+04
3.8980e+03	2.4e+00	5.3772e+05	2.0e+04
3.9017e+03	2.4e+00	5.4726e+05	2.0e+04
3.9054e+03	2.4e+00	5.3523e+05	1.9e+04
3.9090e+03	2.4e+00	5.3191e+05	1.9e+04
3.9127e+03	2.4e+00	5.2668e+05	2.1e+04
3.9164e+03	2.4e+00	5.4297e+05	2.1e+04
3.9201e+03	2.4e+00	5.4803e+05	2.4e+04
3.9238e+03	2.4e+00	5.4250e+05	2.3e+04
3.9275e+03	2.4e+00	5.3301e+05	2.4e+04
3.9312e+03	2.4e+00	5.0411e+05	2.1e+04
3.9348e+03	2.4e+00	4.6120e+05	2.0e+04
3.9385e+03	2.4e+00	3.9628e+05	1.6e+04
3.9422e+03	2.4e+00	3.1151e+05	1.3e+04
3.9459e+03	2.4e+00	2.4539e+05	9.3e+03
3.9496e+03	2.4e+00	2.3325e+05	7.7e+03
3.9532e+03	2.4e+00	2.7992e+05	9.9e+03
3.9569e+03	2.4e+00	3.6022e+05	1.6e+04
3.9606e+03	2.4e+00	4.3343e+05	1.7e+04
3.9643e+03	2.4e+00	4.9534e+05	2.3e+04
3.9680e+03	2.4e+00	5.3642e+05	2.1e+04
3.9716e+03	2.4e+00	5.6046e+05	1.9e+04
3.9753e+03	2.4e+00	5.8173e+05	2.3e+04
3.9790e+03	2.4e+00	5.9788e+05	2.4e+04
3.9827e+03	2.4e+00	6.0629e+05	2.6e+04
3.9864e+03	2.4e+00	6.1323e+05	2.6e+04
3.9900e+03	2.4e+00	6.1084e+05	2.3e+04
3.9937e+03	2.4e+00	6.1130e+05	2.2e+04
3.9974e+03	2.4e+00	6.1455e+05	2.3e+04
4.0011e+03	2.4e+00	6.1023e+05	2.4e+04
4.0047e+03	2.4e+00	6.0300e+05	2.4e+04
4.0084e+03	2.4e+00	6.0341e+05	2.4e+04
4.0121e+03	2.4e+00	5.9015e+05	2.3e+04
4.0158e+03	2.4e+00	5.9669e+05	2.3e+04
4.0194e+03	2.4e+00	5.9866e+05	2.2e+04
4.0231e+03	2.4e+00	5.8797e+05	2.4e+04
4.0268e+03	2.4e+00	5.8862e+05	2.2e+04
4.0304e+03	2.4e+00	5.7738e+05	2.1e+04
4.0341e+03	2.4e+00	5.7112e+05	2.2e+04
4.0378e+03	2.4e+00	5.6780e+05	2.3e+04
4.0415e+03	2.4e+00	5.6288e+05	2.1e+04
4.0451e+03	2.4e+00	5.5930e+05	2.4e+04
4.0488e+03	2.4e+00	5.4248e+05	2.3e+04
4.0525e+03	2.4e+00	5.4058e+05	2.1e+04
4.0561e+03	2.4e+00	5.2497e+05	2.0e+04
4.0598e+03	2.4e+00	5.0379e+05	1.7e+04
4.0635e+03	2.4e+00	4.9262e+05	1.9e+04
4.0671e+03	2.4e+00	4.6242e+05	1.9e+04
4.0708e+03	2.4e+00	4.2109e+05	1.8e+04
