# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.5867e+03	2.4e+00	8.19727e+03	1.2e+02
3.5904e+03	2.4e+00	8.13772e+03	2.3e+02
3.5942e+03	2.4e+00	8.49426e+03	2.5e+02
3.5979e+03	2.4e+00	8.58889e+03	1.8e+02
3.6016e+03	2.4e+00	8.89630e+03	1.6e+02
3.6053e+03	2.4e+00	8.90064e+03	7.8e+01
3.6091e+03	2.4e+00	9.45232e+03	8.4e+01
3.6128e+03	2.4e+00	9.66977e+03	1.9e+02
3.6165e+03	2.4e+00	1.00179e+04	2.4e+02
3.6202e+03	2.4e+00	1.05793e+04	2.7e+02
3.6239e+03	2.4e+00	1.11137e+04	3.2e+02
3.6277e+03	2.4e+00	1.11120e+04	4.8e+01
3.6314e+03	2.4e+00	1.19764e+04	2.4e+02
3.6351e+03	2.4e+00	1.22041e+04	3.4e+02
3.6388e+03	2.4e+00	1.23255e+04	2.6e+02
3.6425e+03	2.4e+00	1.31931e+04	1.3e+02
3.6462e+03	2.4e+00	1.42010e+04	1.8e+02
3.6500e+03	2.4e+00	1.50592e+04	2.5e+02
3.6537e+03	2.4e+00	1.61421e+04	8.2e+01
3.6574e+03	2.4e+00	1.73321e+04	2.2e+01
3.6611e+03	2.4e+00	1.76467e+04	2.2e+02
3.6648e+03	2.4e+00	1.85172e+04	1.4e+02
3.6685e+03	2.4e+00	2.00662e+04	3.8e+02
3.6723e+03	2.4e+00	2.10696e+04	3.1e+02
3.6760e+03	2.4e+00	2.10892e+04	1.4e+02
3.6797e+03	2.4e+00	2.24089e+04	4.3e+02
3.6834e+03	2.4e+00	2.44929e+04	4.5e+02
3.6871e+03	2.4e+00	2.66470e+04	3.7e+02
3.6908e+03	2.4e+00	2.88644e+04	6.3e+02
3.6945e+03	2.4e+00	2.91360e+04	3.5e+02
3.6982e+03	2.4e+00	3.10960e+04	5.5e+02
3.7019e+03	2.4e+00	3.55881e+04	1.1e+03
3.7057e+03	2.4e+00	3.94246e+04	4.6e+02
3.7094e+03	2.4e+00	4.10633e+04	7.5e+02
3.7131e+03	2.4e+00	4.02049e+04	1.1e+03
3.7168e+03	2.4e+00	4.42953e+04	4.5e+02
3.7205e+03	2.4e+00	5.17496e+04	4.5e+02
3.7242e+03	2.4e+00	5.99843e+04	1.2e+03
3.7279e+03	2.4e+00	6.36447e+04	1.5e+03
3.7316e+03	2.4e+00	6.13311e+04	6.6e+02
3.7353e+03	2.4e+00	5.72667e+04	7.0e+02
3.7390e+03	2.4e+00	6.41339e+04	7.2e+02
3.7427e+03	2.4e+00	8.05865e+04	7.5e+02
3.7464e+03	2.4e+00	9.88647e+04	1.3e+03
3.7501e+03	2.4e+00	1.14950e+05	1.4e+03
3.7539e+03	2.4e+00	1.17425e+05	1.2e+03
3.7576e+03	2.4e+00	1.10341e+05	1.5e+03
3.7613e+03	2.4e+00	9.51229e+04	8.2e+02
3.7650e+03	2.4e+00	8.68080e+04	5.1e+02
3.7687e+03	2.4e+00	9.63587e+04	1.1e+03
3.7724e+03	2.4e+00	1.24226e+05	1.7e+03
3.7761e+03	2.4e+00	1.61995e+05	2.0e+03
3.7798e+03	2.4e+00	1.93079e+05	1.9e+03
3.7835e+03	2.4e+00	2.11737e+05	2.0e+03
3.7872e+03	2.4e+00	2.22338e+05	3.2e+03
3.7909e+03	2.4e+00	2.21283e+05	3.6e+03
3.7946e+03	2.4e+00	2.06807e+05	3.2e+03
3.7983e+03	2.4e+00	1.76648e+05	2.1e+03
3.8020e+03	2.4e+00	1.44137e+05	2.0e+03
3.8057e+03	2.4e+00	1.33778e+05	1.7e+03
3.8094e+03	2.4e+00	1.57548e+05	2.3e+03
3.8131e+03	2.4e+00	2.09262e+05	2.2e+03
3.8168e+03	2.4e+00	2.66766e+05	3.5e+03
3.8205e+03	2.4e+00	3.16580e+05	4.6e+03
3.8242e+03	2.4e+00	3.55023e+05	4.4e+03
3.8279e+03	2.4e+00	3.79468e+05	4.8e+03
3.8315e+03	2.4e+00	4.00324e+05	4.7e+03
3.8352e+03	2.4e+00	4.24696e+05	5.9e+03
3.8389e+03	2.4e+00	4.31013e+05	6.3e+03
3.8426e+03	2.4e+00	4.33899e+05	7.5e+03
3.8463e+03	2.4e+00	4.14369e+05	6.0e+03
3.8500e+03	2.4e+00	3.81533e+05	5.1e+03
3.8537e+03	2.4e+00	3.34231e+05	4.2e+03
3.8574e+03	2.4e+00	2.74775e+05	4.6e+03
3.8611e+03	2.4e+00	2.27329e+05	3.5e+03
3.8648e+03	2.4e+00	2.36595e+05	2.3e+03
3.8685e+03	2.4e+00	2.97176e+05	4.0e+03
3.8722e+03	2.4e+00	3.81443e+05	8.5e+03
3.8759e+03	2.4e+00	4.60381e+05	7.1e+03
3.8795e+03	2.4e+00	5.24830e+05	8.0e+03
3.8832e+03	2.4e+00	5.69499e+05	9.0e+03
3.8869e+03	2.4e+00	6.05259e+05	8.1e+03
3.8906e+03	2.4e+00	6.35395e+05	6.9e+03
3.8943e+03	2.4e+00	6.56356e+05	7.5e+03
3.8980e+03	2.4e+00	6.68820e+05	9.2e+03
3.9017e+03	2.4e+00	6.67889e+05	1.1e+04
3.9054e+03	2.4e+00	6.52453e+05	8.0e+03
3.9090e+03	2.4e+00	6.52674e+05	9.3e+03
3.9127e+03	2.4e+00	6.54584e+05	8.1e+03
3.9164e+03	2.4e+00	6.73835e+05	1.1e+04
3.9201e+03	2.4e+00	6.76218e+05	1.1e+04
3.9238e+03	2.4e+00	6.69113e+05	1.1e+04
3.9275e+03	2.4e+00	6.51911e+05	8.1e+03
3.9312e+03	2.4e+00	6.17452e+05	8.7e+03
3.9348e+03	2.4e+00	5.60372e+05	9.3e+03
3.9385e+03	2.4e+00	4.76732e+05	7.0e+03
3.9422e+03	2.4e+00	3.74371e+05	5.5e+03
3.9459e+03	2.4e+00	2.99943e+05	4.5e+03
3.9496e+03	2.4e+00	2.90627e+05	3.1e+03
3.9532e+03	2.4e+00	3.54588e+05	3.5e+03
3.9569e+03	2.4e+00	4.54989e+05	7.5e+03
3.9606e+03	2.4e+00	5.38951e+05	8.3e+03
3.9643e+03	2.4e+00	6.16042e+05	1.2e+04
3.9680e+03	2.4e+00	6.70201e+05	1.3e+04
3.9716e+03	2.4e+00	6.95958e+05	1.3e+04
3.9753e+03	2.4e+00	7.24245e+05	1.3e+04
3.9790e+03	2.4e+00	7.36315e+05	1.3e+04
3.9827e+03	2.4e+00	7.44785e+05	1.6e+04
3.9864e+03	2.4e+00	7.57314e+05	1.4e+04
3.9900e+03	2.4e+00	7.56961e+05	1.3e+04
3.9937e+03	2.4e+00	7.57888e+05	1.3e+04
3.9974e+03	2.4e+00	7.55703e+05	1.3e+04
4.0011e+03	2.4e+00	7.53711e+05	1.4e+04
4.0047e+03	2.4e+00	7.48272e+05	1.3e+04
4.0084e+03	2.4e+00	7.50786e+05	1.5e+04
4.0121e+03	2.4e+00	7.38351e+05	1.2e+04
4.0158e+03	2.4e+00	7.38390e+05	1.3e+04
4.0194e+03	2.4e+00	7.40686e+05	1.2e+04
4.0231e+03	2.4e+00	7.28267e+05	1.2e+04
4.0268e+03	2.4e+00	7.28387e+05	1.3e+04
4.0304e+03	2.4e+00	7.22556e+05	1.5e+04
4.0341e+03	2.4e+00	7.13530e+05	1.2e+04
4.0378e+03	2.4e+00	7.05367e+05	1.2e+04
4.0415e+03	2.4e+00	6.97521e+05	1.4e+04
4.0451e+03	2.4e+00	6.93104e+05	1.2e+04
4.0488e+03	2.4e+00	6.74128e+05	1.1e+04
4.0525e+03	2.4e+00	6.69450e+05	1.2e+04
4.0561e+03	2.4e+00	6.51403e+05	1.2e+04
4.0598e+03	2.4e+00	6.29584e+05	9.9e+03
4.0635e+03	2.4e+00	6.08983e+05	9.5e+03
4.0671e+03	2.4e+00	5.69173e+05	1.0e+04
4.0708e+03	2.4e+00	5.22571e+05	1.1e+04
4.0745e+03	2.4e+00	4.59944e+05	8.3e+03
4.0781e+03	2.4e+00	3.79835e+05	7.0e+03
4.0818e+03	2.4e+00	2.96266e+05	6.1e+03
4.0855e+03	2.4e+00	2.54997e+05	4.8e+03
4.0891e+03	2.4e+00	2.70313e+05	4.1e+03
4.0928e+03	2.4e+00	3.40203e+05	5.3e+03
4.0965e+03	2.4e+00	4.22401e+05	7.1e+03
4.1001e+03	2.4e+00	4.81601e+05	7.3e+03
4.1038e+03	2.4e+00	5.24394e+05	8.7e+03
4.1075e+03	2.4e+00	5.54174e+05	9.6e+03
4.1111e+03	2.4e+00	5.67603e+05	1.0e+04
4.1148e+03	2.4e+00	5.78697e+05	9.6e+03
4.1184e+03	2.4e+00	5.83127e+05	1.0e+04
4.1221e+03	2.4e+00	5.92719e+05	1.1e+04
4.1258e+03	2.4e+00	5.99918e+05	9.9e+03
4.1294e+03	2.4e+00	6.05307e+05	1.1e+04
4.1331e+03	2.4e+00	6.05159e+05	1.2e+04
4.1367e+03	2.4e+00	6.08865e+05	9.9e+03
4.1404e+03	2.4e+00	6.04354e+05	9.7e+03
4.1441e+03	2.4e+00	6.02929e+05	1.1e+04
4.1477e+03	2.4e+00	6.01545e+05	1.0e+04
4.1514e+03	2.4e+00	6.05466e+05	1.1e+04
4.1550e+03	2.4e+00	5.98253e+05	1.1e+04
4.1587e+03	2.4e+00	5.94009e+05	1.1e+04
4.1623e+03	2.4e+00	5.85522e+05	1.1e+04
4.1660e+03	2.4e+00	5.84698e+05	1.1e+04
4.1697e+03	2.4e+00	5.94471e+05	1.1e+04
4.1733e+03	2.4e+00	5.94770e+05	1.1e+04
4.1770e+03	2.4e+00	5.91965e+05	1.2e+04
4.1806e+03	2.4e+00	5.86954e+05	1.0e+04
4.1843e+03	2.4e+00	5.86334e+05	1.1e+04
4.1879e+03	2.4e+00	5.86636e+05	9.8e+03
4.1916e+03	2.4e+00	5.87251e+05	1.1e+04
4.1952e+03	2.4e+00	5.87237e+05	1.0e+04
4.1989e+03	2.4e+00	5.86831e+05	1.2e+04
4.2025e+03	2.4e+00	5.80824e+05	1.1e+04
4.2062e+03	2.4e+00	5.79356e+05	1.1e+04
4.2098e+03	2.4e+00	5.77264e+05	1.1e+04
4.2135e+03	2.4e+00	5.72260e+05	1.1e+04
4.2171e+03	2.4e+00	5.70960e+05	1.1e+04
4.2208e+03	2.4e+00	5.69453e+05	1.2e+04
4.2244e+03	2.4e+00	5.66783e+05	9.8e+03
4.2281e+03	2.4e+00	5.63353e+05	8.4e+03
4.2317e+03	2.4e+00	5.64042e+05	8.6e+03
4.2354e+03	2.4e+00	5.59863e+05	1.0e+04
4.2390e+03	2.4e+00	5.59254e+05	1.0e+04
