# lambda [A]	Dlambda [A]	specval [counts]
4.516886366649177035e+03	1.325109401116444596e+00	2.952506792842322056e+02
4.519434054499551166e+03	1.322520479007496697e+00	2.643566009243898520e+02
4.521981524760494722e+03	1.319940537891876486e+00	2.468395948576998649e+02
4.524528777432008610e+03	1.317369584468548016e+00	2.387501457854126841e+02
4.527075812514091922e+03	1.314807625373327182e+00	2.211518761748436646e+02
4.529622630006743748e+03	1.312254667177763734e+00	2.047311786999792673e+02
4.532169229909965907e+03	1.309710716388110985e+00	1.905719464053368313e+02
4.534715612223757489e+03	1.307175779444162966e+00	2.003892782478006325e+02
4.537261776948119405e+03	1.304649862718277653e+00	2.327556826480018515e+02
4.539807724083049834e+03	1.302132972514168374e+00	2.442162765113663170e+02
4.542353453628550596e+03	1.299625115065843994e+00	2.726645969328684487e+02
4.544898965584619873e+03	1.297126296536503798e+00	2.986137966183979984e+02
4.547444259951259482e+03	1.294636523017415941e+00	2.974415631372475559e+02
4.549989336728468516e+03	1.292155800526806786e+00	2.830268960618041660e+02
4.552534195916246972e+03	1.289684135008689392e+00	2.447557842274634368e+02
4.555078837514594852e+03	1.287221532331780161e+00	2.026065419702359236e+02
4.557623261523512156e+03	1.284767998288377733e+00	2.017773528782675498e+02
4.560167467942999792e+03	1.282323538593118872e+00	2.266139247746808394e+02
4.562711456773055943e+03	1.279888158881935523e+00	2.159449104908005665e+02
4.565255228013682427e+03	1.277461864710878636e+00	1.813846213708842185e+02
4.567798781664878334e+03	1.275044661554892933e+00	1.853413263561917574e+02
4.570342117726643664e+03	1.272636554806735987e+00	2.057669812351198004e+02
4.572885236198978419e+03	1.270237549775776964e+00	2.169903780546649443e+02
4.575428137081883506e+03	1.267847651686795807e+00	2.263416772376334052e+02
4.577970820375357107e+03	1.265466865678855912e+00	2.411311571511496368e+02
4.580513286079401041e+03	1.263095196804093989e+00	2.593898349813529762e+02
4.583055534194013489e+03	1.260732650026535007e+00	2.478644846930179710e+02
4.585597564719196271e+03	1.258379230220918021e+00	2.347503652953617177e+02
4.588139377654948476e+03	1.256034942171469382e+00	2.446734886986775450e+02
4.590680973001271013e+03	1.253699790570754757e+00	2.385268597747980266e+02
4.593222350758162065e+03	1.251373780018393944e+00	2.312672006167052814e+02
4.595763510925622541e+03	1.249056915019997049e+00	2.289628086384774122e+02
4.598304453503653349e+03	1.246749199985809131e+00	2.148253313208223574e+02
4.600845178492253581e+03	1.244450639229560673e+00	2.132269909894220916e+02
4.603385685891422327e+03	1.242161236967282978e+00	2.195467206106620210e+02
4.605925975701161406e+03	1.239880997316032518e+00	2.458154242883568656e+02
4.608466047921470818e+03	1.237609924292717656e+00	2.490636349315554128e+02
4.611005902552348743e+03	1.235348021812852526e+00	2.542061621341930220e+02
4.613545539593796093e+03	1.233095293689321803e+00	2.561423647974714868e+02
4.616084959045813775e+03	1.230851743631192985e+00	2.369787314064984116e+02
4.618624160908400881e+03	1.228617375242470278e+00	2.094217976798568657e+02
4.621163145181556501e+03	1.226392192020806737e+00	1.929829852322049248e+02
4.623701911865282455e+03	1.224176197356392048e+00	1.742951192454503371e+02
4.626240460959578741e+03	1.221969394530581177e+00	1.678322834287201317e+02
4.628778792464443541e+03	1.219771786714790585e+00	1.760637000150782967e+02
4.631316906379877764e+03	1.217583376969147313e+00	1.920542420966982604e+02
4.633854802705882321e+03	1.215404168241332794e+00	2.129024023943696022e+02
4.636392481442455392e+03	1.213234163365291662e+00	1.903056796604088561e+02
4.638929942589598795e+03	1.211073365060029605e+00	1.738286100684560722e+02
4.641467186147311622e+03	1.208921775928368136e+00	1.676201286169281275e+02
4.644004212115593873e+03	1.206779398455687824e+00	1.628783636109016584e+02
4.646541020494445547e+03	1.204646235008696609e+00	1.880169160441908502e+02
4.649077611283867554e+03	1.202522287834207670e+00	1.853292093927834117e+02
4.651613984483858076e+03	1.200407559057884876e+00	1.717267438980450436e+02
4.654150140094418930e+03	1.198302050683022868e+00	1.824475479009105641e+02
4.656686078115549208e+03	1.196205764589270082e+00	2.209178195314974573e+02
4.659221798547248909e+03	1.194118702531434151e+00	2.499461337350361134e+02
4.661757301389518034e+03	1.192040866138261102e+00	2.288139271867617310e+02
4.664292586642356582e+03	1.189972256911131954e+00	2.297122336573252142e+02
4.666827654305764554e+03	1.187912876222915859e+00	2.063641175564177956e+02
4.669362504379742859e+03	1.185862725316694011e+00	1.832730520304623099e+02
4.671897136864289678e+03	1.183821805304534180e+00	1.914712778158808248e+02
4.674431551759406830e+03	1.181790117166291898e+00	1.895553084280998064e+02
4.676965749065093405e+03	1.179767661748377661e+00	1.655779095822682336e+02
4.679499728781349404e+03	1.177754439762515482e+00	1.652288622028195562e+02
4.682033490908174826e+03	1.175750451784606909e+00	1.833266598658264002e+02
4.684567035445569672e+03	1.173755698253413193e+00	1.560670661345301085e+02
4.687100362393534851e+03	1.171770179469406647e+00	1.803997346934263817e+02
4.689633471752068544e+03	1.169793895593587818e+00	1.839236162036869473e+02
4.692166363521172570e+03	1.167826846646225603e+00	1.578999556459228018e+02
4.694699037700846020e+03	1.165869032505735925e+00	1.749211585865224095e+02
4.697231494291088893e+03	1.163920452907425407e+00	1.805014581981517949e+02
4.699763733291901190e+03	1.161981107442350503e+00	1.867622431508492866e+02
4.702295754703282910e+03	1.160050995556137110e+00	1.839703212602981068e+02
4.704827558525234963e+03	1.158130116547765542e+00	2.039119998164348146e+02
4.707359144757755530e+03	1.156218469568438323e+00	1.846158268676150271e+02
4.709890513400846430e+03	1.154316053620431548e+00	1.526741144500627740e+02
4.712421664454506754e+03	1.152422867555920716e+00	1.728345835704027138e+02
4.714952597918736501e+03	1.150538910075795007e+00	1.415830516063049913e+02
4.717483313793535672e+03	1.148664179728589030e+00	1.566661189658563273e+02
4.720013812078904266e+03	1.146798674909292215e+00	1.788249016710645378e+02
4.722544092774843193e+03	1.144942393858227936e+00	1.696959224692297710e+02
4.725074155881350634e+03	1.143095334659982587e+00	1.834795228135910463e+02
4.727604001398428409e+03	1.141257495242212983e+00	1.952506324701075471e+02
4.730133629326075607e+03	1.139428873374598306e+00	1.849279983571258299e+02
4.732663039664292228e+03	1.137609466667751645e+00	1.999241627041528204e+02
4.735192232413078273e+03	1.135799272572094010e+00	2.194536029514488575e+02
4.737721207572433741e+03	1.133998288376766528e+00	1.877235344983976972e+02
4.740249965142358633e+03	1.132206511208678545e+00	1.843615453665819928e+02
4.742778505122853858e+03	1.130423938031268172e+00	1.829033720319557119e+02
4.745306827513917597e+03	1.128650565643603887e+00	1.617207469776942048e+02
4.747834932315551669e+03	1.126886390679243677e+00	1.642682138003300167e+02
4.750362819527755164e+03	1.125131409605289123e+00	1.757529444444254807e+02
4.752890489150528083e+03	1.123385618721310708e+00	1.604544025959942815e+02
4.755417941183870425e+03	1.121649014158352164e+00	1.632511304229049642e+02
4.757945175627783101e+03	1.119921591877941047e+00	1.794599762087184445e+02
4.760472192482264290e+03	1.118203347671111514e+00	1.816829028807292730e+02
4.762998991747315813e+03	1.116494277157442205e+00	1.687866549739776474e+02
4.765525573422936759e+03	1.114794375784008640e+00	2.040306248094904333e+02
4.768051937509127129e+03	1.113103638824603836e+00	2.408271708731455760e+02
4.770578084005886922e+03	1.111422061378613213e+00	2.461631275078553074e+02
4.773104012913216138e+03	1.109749638370217895e+00	2.391075507607683903e+02
4.775629724231114778e+03	1.108086364547433034e+00	1.850951649250089019e+02
4.778155217959583752e+03	1.106432234481237176e+00	1.720795668920659409e+02
4.780680494098621239e+03	1.104787242564643446e+00	1.627531363449759851e+02
4.783205552648229059e+03	1.103151383011908182e+00	1.423751812618513668e+02
4.785730393608406303e+03	1.101524649857590576e+00	1.585129232724002009e+02
4.788255016979152060e+03	1.099907036955764639e+00	1.605252570121275255e+02
4.790779422760468151e+03	1.098298537979179645e+00	1.512291639530744760e+02
4.793303610952354575e+03	1.096699146418442128e+00	1.603296805391762803e+02
4.795827581554809512e+03	1.095108855581226504e+00	1.629573974607828291e+02
4.798351334567834783e+03	1.093527658591501250e+00	1.651857326401139119e+02
4.800874869991428568e+03	1.091955548388763297e+00	1.613376749383544677e+02
4.803398187825592686e+03	1.090392517727230892e+00	1.786371857164899666e+02
4.805921288070326227e+03	1.088838559175254295e+00	1.816104721323062279e+02
4.808444170725629192e+03	1.087293665114396957e+00	2.005776706423329472e+02
4.810966835791502490e+03	1.085757827738932368e+00	2.182615126152464882e+02
4.813489283267944302e+03	1.084231039055036261e+00	1.992107506260439038e+02
4.816011513154956447e+03	1.082713290880167989e+00	1.895648483024314146e+02
4.818533525452537106e+03	1.081204574842402177e+00	1.888236182077458523e+02
4.821055320160688098e+03	1.079704882379850961e+00	1.841681218932988031e+02
4.823576897279408513e+03	1.078214204739946780e+00	1.759017050871112815e+02
4.826098256808698352e+03	1.076732532978985857e+00	2.021647353536006904e+02
4.828619398748558524e+03	1.075259857961414101e+00	2.293320878803124288e+02
4.831140323098987210e+03	1.073796170359388569e+00	2.430924598221761244e+02
4.833661029859985319e+03	1.072341460652119105e+00	2.410625359043922344e+02
4.836181519031553762e+03	1.070895719125469325e+00	2.324121327309426306e+02
4.838701790613691628e+03	1.069458935871401950e+00	2.128503474690304813e+02
4.841221844606398918e+03	1.068031100787466103e+00	2.010744060242068656e+02
4.843741681009675631e+03	1.066612203576374096e+00	1.755088325184419773e+02
4.846261299823521767e+03	1.065202233745588867e+00	1.476022315176661550e+02
4.848780701047937328e+03	1.063801180606807506e+00	1.583422624959578968e+02
4.851299884682923221e+03	1.062409033275655057e+00	1.624561857857578957e+02
4.853818850728478537e+03	1.061025780671289276e+00	1.465439733104070683e+02
4.856337599184602368e+03	1.059651411515988073e+00	1.579511184980906933e+02
4.858856130051296532e+03	1.058285914334849753e+00	1.818361088388398912e+02
4.861374443328560119e+03	1.056929277455442184e+00	1.700675344318387943e+02
4.863892539016394039e+03	1.055581489007598739e+00	1.738279448925920008e+02
4.866410417114796473e+03	1.054242536923015061e+00	2.114442404254083101e+02
4.868928077623768331e+03	1.052912408935049449e+00	2.125580359279474862e+02
4.871445520543310522e+03	1.051591092578549436e+00	1.807213059665067476e+02
4.873962745873422136e+03	1.050278575189547814e+00	1.640130640303081293e+02
4.876479753614103174e+03	1.048974843905100318e+00	1.664311709887538200e+02
4.878996543765353636e+03	1.047679885663172827e+00	1.672909319970919171e+02
4.881513116327173520e+03	1.046393687202421763e+00	1.765344672600610068e+02
4.884029471299562829e+03	1.045116235062120591e+00	1.940045289983827672e+02
4.886545608682522470e+03	1.043847515582038588e+00	1.898125821908038233e+02
4.889061528476050626e+03	1.042587514902384882e+00	1.923000390600636251e+02
4.891577230680149114e+03	1.041336218963705873e+00	1.885372796089000360e+02
4.894092715294817026e+03	1.040093613506901438e+00	1.668148622119346669e+02
4.896607982320054361e+03	1.038859684073215828e+00	1.486534937368705016e+02
4.899123031755861120e+03	1.037634416004246773e+00	1.335403760281345455e+02
4.901637863602237303e+03	1.036417794441933271e+00	1.583949989907710574e+02
4.904152477859182909e+03	1.035209804328679040e+00	1.593085651111510970e+02
4.906666874526698848e+03	1.034010430407429348e+00	1.410108219240390213e+02
4.909181053604783301e+03	1.032819657221709431e+00	1.443752993865702763e+02
4.911695015093438087e+03	1.031637469115907590e+00	1.368954715044009447e+02
4.914208758992662297e+03	1.030463850235242562e+00	1.397348951816424290e+02
4.916722285302455930e+03	1.029298784526045285e+00	1.407462313665272120e+02
4.919235594022818987e+03	1.028142255735988275e+00	1.280798122888904800e+02
4.921748685153752376e+03	1.026994247414226846e+00	1.294000089857420619e+02
4.924261558695254280e+03	1.025854742911705086e+00	1.360084246461561293e+02
4.926774214647326517e+03	1.024723725381412986e+00	1.450611596170959103e+02
4.929286653009968177e+03	1.023601177778655780e+00	1.451513767897204730e+02
4.931798873783179260e+03	1.022487082861457397e+00	1.319215710701089392e+02
4.934310876966959768e+03	1.021381423190792725e+00	1.456701179974059244e+02
4.936822662561309699e+03	1.020284181131039691e+00	1.469631021577347951e+02
4.939334230566229053e+03	1.019195338850321209e+00	1.274013682692649923e+02
4.941845580981718740e+03	1.018114878320969474e+00	1.308394967942174105e+02
4.944356713807777851e+03	1.017042781319923428e+00	1.471094502164253299e+02
4.946867629044405476e+03	1.015979029429177283e+00	1.424665685202163843e+02
4.949378326691603434e+03	1.014923604036316540e+00	1.281857338032432096e+02
4.951888806749370815e+03	1.013876486335020255e+00	1.290226236542212348e+02
4.954399069217708529e+03	1.012837657325554419e+00	1.359201836163285009e+02
4.956909114096614758e+03	1.011807097815369927e+00	1.259707607170562795e+02
4.959418941386090410e+03	1.010784788419684999e+00	1.198424267850130889e+02
4.961928551086136395e+03	1.009770709562004987e+00	1.173921712856194830e+02
4.964437943196751803e+03	1.008764841474932838e+00	1.259621825296001703e+02
4.966947117717936635e+03	1.007767164200581655e+00	1.426441703452466356e+02
4.969456074649690891e+03	1.006777657591475306e+00	1.425595651396625669e+02
4.971964813992014570e+03	1.005796301311096874e+00	1.348391668521578879e+02
4.974473335744907672e+03	1.004823074834703123e+00	1.320899745933105294e+02
4.976981639908371108e+03	1.003857957449918681e+00	1.458028602048353832e+02
4.979489726482403057e+03	1.002900928257737023e+00	1.309894270443465700e+02
4.981997595467005340e+03	1.001951966173119546e+00	1.319174719509765339e+02
4.984505246862177046e+03	1.001011049925856877e+00	1.418851921156912397e+02
4.987012680667918175e+03	1.000078158061439293e+00	1.288705701127635734e+02
4.989519896884228729e+03	9.991532689419077018e-01	1.188282905741216524e+02
4.992026895511108705e+03	9.982363607466621103e-01	1.231850188626786178e+02
4.994533676548559015e+03	9.973274114734768103e-01	1.228189587314661821e+02
4.997040239996577839e+03	9.964263989393394860e-01	1.205476200292208517e+02
4.999546585855166995e+03	9.955333007814465285e-01	1.375784414121379200e+02
5.002052714124325576e+03	9.946480944580993189e-01	1.288908949063921909e+02
5.004558624804053579e+03	9.937707572498145625e-01	1.270926872718751213e+02
5.007064317894351007e+03	9.929012662601773842e-01	1.276914723195284012e+02
5.009569793395217857e+03	9.920395984170373715e-01	1.174433156749825713e+02
5.012075051306654132e+03	9.911857304734107421e-01	1.241804492097100194e+02
5.014580091628660739e+03	9.903396390086971479e-01	1.362020491445266543e+02
5.017084914361236770e+03	9.895013004296303594e-01	1.229678295980017140e+02
5.019589519504381315e+03	9.886706909714924052e-01	1.301168644343485141e+02
5.022093907058096192e+03	9.878477866992417811e-01	1.432718241376114747e+02
5.024598077022380494e+03	9.870325635086031335e-01	1.429663034166783007e+02
5.027102029397234219e+03	9.862249971273350235e-01	1.331858225657130106e+02
5.029605764182658277e+03	9.854250631163158358e-01	1.321679658368538810e+02
5.032109281378650849e+03	9.846327368708438499e-01	1.194849126671761752e+02
5.034612580985213754e+03	9.838479936218260669e-01	1.098243222216265451e+02
5.037115663002346082e+03	9.830708084370798350e-01	1.247655515122963692e+02
5.039618527430046925e+03	9.823011562225241189e-01	1.140098998632407046e+02
5.042121174268319010e+03	9.815390117235028855e-01	1.203335129253453744e+02
5.044623603517159609e+03	9.807843495261283628e-01	1.212202869248213233e+02
5.047125815176569631e+03	9.800371440585686766e-01	1.295760567999022612e+02
5.049627809246549987e+03	9.792973695924046540e-01	1.297436826984096001e+02
5.052129585727098856e+03	9.785650002439310047e-01	1.275199629455157861e+02
5.054631144618218059e+03	9.778400099756555663e-01	1.349017087570801436e+02
5.057132485919906685e+03	9.771223725975698438e-01	1.248782179169870545e+02
5.059633609632164735e+03	9.764120617686306014e-01	1.327891454804417322e+02
5.062134515754992208e+03	9.757090509981205528e-01	1.280497713361253318e+02
5.064635204288389104e+03	9.750133136471853534e-01	1.243044268424569481e+02
5.067135675232356334e+03	9.743248229302178265e-01	1.313395330710445421e+02
5.069635928586892078e+03	9.736435519163529895e-01	1.254562836825236758e+02
5.072135964351998155e+03	9.729694735309564191e-01	1.276839712476377855e+02
5.074635782527673655e+03	9.723025605571196106e-01	1.271599353369417003e+02
5.077135383113918579e+03	9.716427856371555594e-01	1.262184551717504064e+02
5.079634766110732926e+03	9.709901212742398924e-01	1.134011042059835290e+02
5.082133931518117606e+03	9.703445398338030881e-01	1.118853415137613752e+02
5.084632879336070800e+03	9.697060135451918139e-01	1.356135887871333523e+02
5.087131609564594328e+03	9.690745145031900432e-01	1.384464471572701427e+02
5.089630122203686369e+03	9.684500146696481959e-01	1.187355231310294954e+02
5.092128417253348744e+03	9.678324858750301241e-01	1.036439120779175767e+02
5.094626494713580541e+03	9.672218998200965423e-01	1.221761277246979773e+02
5.097124354584381763e+03	9.666182280774171520e-01	1.148863506551578837e+02
5.099621996865752408e+03	9.660214420931366730e-01	9.709159974854415509e+01
5.102119421557693386e+03	9.654315131884954049e-01	1.152186377797534789e+02
5.104616628660202878e+03	9.648484125616033635e-01	1.277473814200420037e+02
5.107113618173282703e+03	9.642721112889964807e-01	1.188778308473399932e+02
5.109610390096931951e+03	9.637025803273510105e-01	1.116158646087809672e+02
