# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.1719e+03	3.7e+00	2.3566e+00	7.4e-02
4.1754e+03	3.7e+00	2.3801e+00	6.3e-02
4.1789e+03	3.7e+00	2.4115e+00	8.5e-02
4.1824e+03	3.7e+00	2.3387e+00	7.7e-02
4.1859e+03	3.7e+00	2.3559e+00	6.1e-02
4.1894e+03	3.7e+00	2.3501e+00	6.7e-02
4.1929e+03	3.7e+00	2.3012e+00	6.4e-02
4.1964e+03	3.7e+00	2.2760e+00	8.4e-02
4.2000e+03	3.7e+00	2.2724e+00	6.6e-02
4.2035e+03	3.7e+00	2.3124e+00	5.8e-02
4.2070e+03	3.7e+00	2.3878e+00	7.2e-02
4.2105e+03	3.6e+00	2.4105e+00	6.8e-02
4.2140e+03	3.6e+00	2.3112e+00	5.6e-02
4.2175e+03	3.6e+00	2.2831e+00	5.5e-02
4.2210e+03	3.6e+00	2.2580e+00	5.9e-02
4.2246e+03	3.6e+00	2.3871e+00	5.9e-02
4.2281e+03	3.6e+00	2.3114e+00	5.9e-02
4.2316e+03	3.6e+00	2.2940e+00	6.6e-02
4.2351e+03	3.6e+00	2.2946e+00	6.2e-02
4.2386e+03	3.6e+00	2.2398e+00	4.9e-02
4.2422e+03	3.6e+00	2.3629e+00	7.1e-02
4.2457e+03	3.6e+00	2.2972e+00	5.3e-02
4.2492e+03	3.6e+00	2.2663e+00	4.5e-02
4.2527e+03	3.6e+00	2.2919e+00	5.5e-02
4.2562e+03	3.6e+00	2.2721e+00	4.2e-02
4.2598e+03	3.6e+00	2.1970e+00	4.7e-02
4.2633e+03	3.6e+00	2.1694e+00	4.9e-02
4.2668e+03	3.5e+00	2.1441e+00	5.8e-02
4.2703e+03	3.5e+00	2.2332e+00	5.4e-02
4.2739e+03	3.5e+00	2.2399e+00	5.1e-02
4.2774e+03	3.5e+00	2.1670e+00	5.6e-02
4.2809e+03	3.5e+00	2.2303e+00	4.5e-02
4.2844e+03	3.5e+00	2.2896e+00	5.8e-02
4.2880e+03	3.5e+00	2.3495e+00	4.6e-02
4.2915e+03	3.5e+00	2.3246e+00	5.6e-02
4.2950e+03	3.5e+00	2.2913e+00	4.6e-02
4.2985e+03	3.5e+00	2.3482e+00	3.3e-02
4.3021e+03	3.5e+00	2.3105e+00	4.9e-02
4.3056e+03	3.5e+00	2.3128e+00	3.9e-02
4.3091e+03	3.5e+00	2.3362e+00	5.0e-02
4.3126e+03	3.5e+00	2.3312e+00	4.4e-02
4.3162e+03	3.4e+00	2.3486e+00	4.7e-02
4.3197e+03	3.4e+00	2.3782e+00	3.8e-02
4.3232e+03	3.4e+00	2.3993e+00	6.4e-02
4.3268e+03	3.4e+00	2.4391e+00	4.6e-02
4.3303e+03	3.4e+00	2.3195e+00	4.2e-02
4.3338e+03	3.4e+00	2.1479e+00	4.4e-02
4.3374e+03	3.4e+00	2.2249e+00	4.0e-02
