# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.5606e+03	2.8e+00	1.37218e+02	7.9e+00
4.5642e+03	2.8e+00	1.34623e+02	7.8e+00
4.5677e+03	2.8e+00	1.60955e+02	6.0e+00
4.5713e+03	2.8e+00	1.94811e+02	8.0e+00
4.5748e+03	2.8e+00	2.15567e+02	1.1e+01
4.5784e+03	2.8e+00	2.11285e+02	3.9e+00
4.5819e+03	2.8e+00	2.26967e+02	1.3e+01
4.5855e+03	2.8e+00	2.30823e+02	1.0e+01
4.5890e+03	2.8e+00	2.12648e+02	6.9e+00
4.5926e+03	2.8e+00	1.68548e+02	6.6e+00
4.5961e+03	2.7e+00	1.61159e+02	1.0e+01
4.5997e+03	2.7e+00	1.95367e+02	6.7e+00
4.6032e+03	2.7e+00	2.69114e+02	7.3e+00
4.6068e+03	2.7e+00	2.72609e+02	9.0e+00
4.6104e+03	2.7e+00	2.20466e+02	1.1e+01
4.6139e+03	2.7e+00	1.09811e+02	8.7e+00
4.6175e+03	2.7e+00	9.94868e+01	9.1e+00
4.6210e+03	2.7e+00	1.01525e+02	5.1e+00
4.6246e+03	2.7e+00	1.07524e+02	9.6e+00
4.6281e+03	2.7e+00	1.00570e+02	6.8e+00
4.6317e+03	2.7e+00	9.98281e+01	7.0e+00
4.6353e+03	2.7e+00	1.01719e+02	7.6e+00
4.6388e+03	2.7e+00	8.35608e+01	1.1e+01
4.6424e+03	2.7e+00	1.08396e+02	4.7e+00
4.6459e+03	2.6e+00	1.13176e+02	9.9e+00
4.6495e+03	2.6e+00	1.95052e+02	7.8e+00
4.6530e+03	2.6e+00	2.47921e+02	7.0e+00
4.6566e+03	2.6e+00	2.07905e+02	7.9e+00
4.6602e+03	2.6e+00	1.27455e+02	8.2e+00
4.6637e+03	2.6e+00	1.03088e+02	5.9e+00
4.6673e+03	2.6e+00	1.05668e+02	5.8e+00
4.6708e+03	2.6e+00	1.06423e+02	6.3e+00
4.6744e+03	2.6e+00	1.17728e+02	1.2e+01
4.6780e+03	2.6e+00	1.16529e+02	9.8e+00
4.6815e+03	2.6e+00	1.26192e+02	8.4e+00
4.6851e+03	2.6e+00	1.02854e+02	1.0e+01
4.6886e+03	2.6e+00	9.43228e+01	6.2e+00
4.6922e+03	2.6e+00	1.10262e+02	9.6e+00
4.6958e+03	2.6e+00	9.32395e+01	5.3e+00
4.6993e+03	2.6e+00	1.04431e+02	6.0e+00
4.7029e+03	2.6e+00	1.24181e+02	5.5e+00
4.7064e+03	2.6e+00	1.04248e+02	9.3e+00
4.7100e+03	2.6e+00	9.50788e+01	9.0e+00
4.7136e+03	2.6e+00	1.04488e+02	5.6e+00
4.7171e+03	2.6e+00	1.35890e+02	1.1e+01
4.7207e+03	2.6e+00	1.74080e+02	4.8e+00
4.7242e+03	2.6e+00	1.74472e+02	6.2e+00
4.7278e+03	2.6e+00	1.94930e+02	8.5e+00
4.7314e+03	2.6e+00	1.41683e+02	9.9e+00
4.7349e+03	2.5e+00	1.29140e+02	4.8e+00
4.7385e+03	2.5e+00	1.06166e+02	6.9e+00
4.7420e+03	2.5e+00	8.48245e+01	3.8e+00
4.7456e+03	2.5e+00	9.79948e+01	4.9e+00
4.7492e+03	2.5e+00	9.54992e+01	5.9e+00
4.7527e+03	2.5e+00	1.01840e+02	9.7e+00
4.7563e+03	2.5e+00	1.76505e+02	1.0e+01
4.7598e+03	2.5e+00	2.74779e+02	9.6e+00
4.7634e+03	2.5e+00	2.74079e+02	5.3e+00
4.7670e+03	2.5e+00	1.93772e+02	6.3e+00
4.7705e+03	2.5e+00	9.06553e+01	4.1e+00
4.7741e+03	2.6e+00	7.70821e+01	4.8e+00
4.7777e+03	2.6e+00	8.40268e+01	7.4e+00
4.7812e+03	2.6e+00	9.08390e+01	1.1e+01
4.7848e+03	2.6e+00	7.68249e+01	5.4e+00
4.7883e+03	2.6e+00	8.42777e+01	8.0e+00
4.7919e+03	2.6e+00	1.04904e+02	5.7e+00
4.7955e+03	2.6e+00	1.15687e+02	7.1e+00
4.7990e+03	2.6e+00	1.57045e+02	1.1e+01
4.8026e+03	2.6e+00	1.85138e+02	7.0e+00
4.8062e+03	2.6e+00	1.81112e+02	6.0e+00
4.8097e+03	2.6e+00	1.70988e+02	7.4e+00
4.8133e+03	2.6e+00	1.66709e+02	5.0e+00
4.8168e+03	2.6e+00	1.95183e+02	2.7e+00
4.8204e+03	2.6e+00	2.38227e+02	6.2e+00
4.8240e+03	2.6e+00	2.61319e+02	1.1e+01
4.8275e+03	2.6e+00	2.74399e+02	5.6e+00
4.8311e+03	2.6e+00	2.29138e+02	7.7e+00
4.8347e+03	2.6e+00	1.55175e+02	8.8e+00
4.8382e+03	2.6e+00	1.19435e+02	4.2e+00
4.8418e+03	2.6e+00	9.61242e+01	6.2e+00
4.8453e+03	2.6e+00	1.01806e+02	4.2e+00
4.8489e+03	2.6e+00	1.02539e+02	4.4e+00
4.8525e+03	2.7e+00	1.34823e+02	4.3e+00
4.8560e+03	2.7e+00	2.09665e+02	4.0e+00
4.8596e+03	2.7e+00	2.20789e+02	7.4e+00
4.8632e+03	2.7e+00	1.67988e+02	5.9e+00
4.8667e+03	2.7e+00	9.51502e+01	8.8e+00
4.8703e+03	2.7e+00	1.09969e+02	1.8e+00
4.8739e+03	2.7e+00	1.69384e+02	4.4e+00
4.8774e+03	2.7e+00	2.02672e+02	9.1e+00
4.8810e+03	2.7e+00	1.94613e+02	7.3e+00
4.8845e+03	2.7e+00	1.35306e+02	7.0e+00
4.8881e+03	2.7e+00	9.52044e+01	4.6e+00
4.8917e+03	2.7e+00	8.57428e+01	7.3e+00
4.8952e+03	2.8e+00	7.46719e+01	5.3e+00
4.8988e+03	2.8e+00	9.00805e+01	8.2e+00
4.9024e+03	2.8e+00	8.77768e+01	5.6e+00
4.9059e+03	2.8e+00	7.49941e+01	3.4e+00
4.9095e+03	2.8e+00	7.16144e+01	7.3e+00
4.9130e+03	2.8e+00	7.08358e+01	6.2e+00
4.9166e+03	2.8e+00	8.01236e+01	4.6e+00
4.9202e+03	2.8e+00	7.50863e+01	4.7e+00
4.9237e+03	2.9e+00	7.34455e+01	5.2e+00
4.9273e+03	2.9e+00	8.03118e+01	6.9e+00
4.9309e+03	2.9e+00	6.64314e+01	6.2e+00
4.9344e+03	2.9e+00	5.58450e+01	7.6e+00
4.9380e+03	2.9e+00	4.64476e+01	1.8e+00
4.9415e+03	2.9e+00	5.48815e+01	8.5e+00
4.9451e+03	2.9e+00	5.23494e+01	6.2e+00
4.9487e+03	2.9e+00	6.22960e+01	6.5e+00
4.9522e+03	3.0e+00	5.75964e+01	6.2e+00
4.9558e+03	3.0e+00	7.27307e+01	6.9e+00
4.9594e+03	3.0e+00	9.98542e+01	5.7e+00
4.9629e+03	3.0e+00	1.15315e+02	3.5e+00
4.9665e+03	3.0e+00	9.27137e+01	6.4e+00
4.9700e+03	3.0e+00	7.48523e+01	1.6e+00
4.9736e+03	3.0e+00	6.74581e+01	4.1e+00
4.9772e+03	3.1e+00	5.85654e+01	4.5e+00
4.9807e+03	3.1e+00	5.75291e+01	3.7e+00
4.9843e+03	3.1e+00	5.37095e+01	4.0e+00
4.9879e+03	3.1e+00	5.21715e+01	3.1e+00
4.9914e+03	3.1e+00	5.16702e+01	6.9e+00
4.9950e+03	3.1e+00	5.57569e+01	6.3e+00
4.9985e+03	3.2e+00	5.93082e+01	3.7e+00
5.0021e+03	3.2e+00	6.63542e+01	7.3e+00
5.0057e+03	3.2e+00	7.67097e+01	4.2e+00
5.0092e+03	3.2e+00	9.10400e+01	3.4e+00
5.0128e+03	3.2e+00	1.05262e+02	4.5e+00
5.0163e+03	3.2e+00	1.00768e+02	5.1e+00
5.0199e+03	3.3e+00	7.91174e+01	3.4e+00
5.0235e+03	3.3e+00	4.67622e+01	4.7e+00
5.0270e+03	3.3e+00	3.82827e+01	4.8e+00
5.0306e+03	3.3e+00	6.53505e+01	4.1e+00
5.0341e+03	3.3e+00	5.92337e+01	3.2e+00
5.0377e+03	3.4e+00	5.61221e+01	3.9e+00
