# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.5979e+03	2.4e+00	4.10853e+03	7.0e+01
3.6016e+03	2.4e+00	3.38562e+03	2.4e+02
3.6053e+03	2.4e+00	3.74174e+03	1.7e+02
3.6091e+03	2.4e+00	5.39889e+03	4.6e+02
3.6128e+03	2.4e+00	4.83996e+03	2.8e+02
3.6165e+03	2.4e+00	4.48609e+03	9.8e+01
3.6202e+03	2.4e+00	5.31185e+03	2.3e+02
3.6239e+03	2.4e+00	5.53145e+03	1.3e+02
3.6277e+03	2.4e+00	5.78353e+03	2.6e+02
3.6314e+03	2.4e+00	5.77939e+03	3.9e+02
3.6351e+03	2.4e+00	6.39424e+03	1.5e+02
3.6388e+03	2.4e+00	5.54876e+03	1.8e+02
3.6425e+03	2.4e+00	5.60427e+03	2.6e+01
3.6462e+03	2.4e+00	6.42677e+03	1.3e+02
3.6500e+03	2.4e+00	6.85332e+03	7.7e+01
3.6537e+03	2.4e+00	6.80383e+03	1.5e+02
3.6574e+03	2.4e+00	6.89129e+03	1.4e+02
3.6611e+03	2.4e+00	7.42869e+03	5.2e+02
3.6648e+03	2.4e+00	8.91425e+03	4.0e+02
3.6685e+03	2.4e+00	9.71210e+03	2.6e+02
3.6723e+03	2.4e+00	1.09425e+04	3.0e+02
3.6760e+03	2.4e+00	1.19890e+04	3.1e+02
3.6797e+03	2.4e+00	1.15708e+04	2.4e+02
3.6834e+03	2.4e+00	1.29348e+04	2.0e+02
3.6871e+03	2.4e+00	1.40449e+04	1.0e+02
3.6908e+03	2.4e+00	1.43751e+04	1.9e+02
3.6945e+03	2.4e+00	1.45529e+04	2.6e+02
3.6982e+03	2.4e+00	1.68278e+04	1.5e+02
3.7019e+03	2.4e+00	1.96199e+04	1.3e+02
3.7057e+03	2.4e+00	2.05027e+04	4.3e+02
3.7094e+03	2.4e+00	1.95731e+04	1.0e+03
3.7131e+03	2.4e+00	2.05476e+04	4.5e+02
3.7168e+03	2.4e+00	2.36474e+04	2.6e+02
3.7205e+03	2.4e+00	2.89859e+04	4.1e+02
3.7242e+03	2.4e+00	3.34258e+04	1.7e+02
3.7279e+03	2.4e+00	3.30521e+04	5.9e+02
3.7316e+03	2.4e+00	3.19872e+04	4.4e+02
3.7353e+03	2.4e+00	3.12116e+04	4.8e+02
3.7390e+03	2.4e+00	3.72200e+04	1.0e+03
3.7427e+03	2.4e+00	4.58081e+04	2.5e+02
3.7464e+03	2.4e+00	5.85402e+04	3.2e+02
3.7501e+03	2.4e+00	6.47424e+04	7.6e+02
3.7539e+03	2.4e+00	6.24388e+04	6.2e+02
3.7576e+03	2.4e+00	5.56450e+04	4.2e+02
3.7613e+03	2.4e+00	4.72113e+04	3.7e+02
3.7650e+03	2.4e+00	4.80007e+04	1.1e+03
3.7687e+03	2.4e+00	5.97309e+04	8.5e+02
3.7724e+03	2.4e+00	7.81084e+04	4.1e+02
3.7761e+03	2.4e+00	9.55048e+04	3.2e+02
3.7798e+03	2.4e+00	1.10352e+05	1.5e+03
3.7835e+03	2.4e+00	1.24973e+05	1.9e+03
3.7872e+03	2.4e+00	1.26597e+05	9.0e+02
3.7909e+03	2.4e+00	1.25038e+05	1.3e+03
3.7946e+03	2.4e+00	1.11196e+05	7.5e+02
3.7983e+03	2.4e+00	9.26875e+04	1.2e+03
3.8020e+03	2.4e+00	7.96793e+04	9.0e+02
3.8057e+03	2.4e+00	8.15458e+04	6.7e+02
3.8094e+03	2.4e+00	1.00226e+05	9.4e+02
3.8131e+03	2.4e+00	1.32538e+05	2.1e+03
3.8168e+03	2.4e+00	1.67249e+05	2.3e+03
3.8205e+03	2.4e+00	1.97027e+05	2.9e+03
3.8242e+03	2.4e+00	2.14060e+05	2.5e+03
3.8279e+03	2.4e+00	2.28291e+05	2.9e+03
3.8315e+03	2.4e+00	2.43364e+05	4.4e+03
3.8352e+03	2.4e+00	2.50754e+05	4.6e+03
3.8389e+03	2.4e+00	2.53183e+05	4.6e+03
3.8426e+03	2.4e+00	2.51712e+05	5.3e+03
3.8463e+03	2.4e+00	2.47047e+05	3.8e+03
3.8500e+03	2.4e+00	2.24606e+05	2.9e+03
3.8537e+03	2.4e+00	1.87640e+05	3.5e+03
3.8574e+03	2.4e+00	1.47219e+05	3.8e+03
3.8611e+03	2.4e+00	1.30860e+05	3.3e+03
3.8648e+03	2.4e+00	1.50429e+05	2.6e+03
3.8685e+03	2.4e+00	1.91683e+05	4.2e+03
3.8722e+03	2.4e+00	2.42893e+05	3.4e+03
3.8759e+03	2.4e+00	2.90467e+05	5.5e+03
3.8795e+03	2.4e+00	3.23956e+05	5.0e+03
3.8832e+03	2.4e+00	3.55568e+05	5.3e+03
3.8869e+03	2.4e+00	3.71547e+05	7.1e+03
3.8906e+03	2.4e+00	3.92093e+05	3.9e+03
3.8943e+03	2.4e+00	4.08410e+05	4.5e+03
3.8980e+03	2.4e+00	4.11751e+05	8.5e+03
3.9017e+03	2.4e+00	4.00815e+05	7.4e+03
3.9054e+03	2.4e+00	3.96512e+05	6.0e+03
3.9090e+03	2.4e+00	3.91093e+05	4.5e+03
3.9127e+03	2.4e+00	4.00874e+05	4.0e+03
3.9164e+03	2.4e+00	4.13969e+05	6.8e+03
3.9201e+03	2.4e+00	4.19646e+05	6.1e+03
3.9238e+03	2.4e+00	4.08683e+05	3.9e+03
3.9275e+03	2.4e+00	3.96509e+05	5.1e+03
3.9312e+03	2.4e+00	3.68630e+05	5.4e+03
3.9348e+03	2.4e+00	3.30570e+05	2.1e+03
3.9385e+03	2.4e+00	2.78717e+05	3.3e+03
3.9422e+03	2.4e+00	2.18869e+05	2.7e+03
3.9459e+03	2.4e+00	1.76771e+05	1.9e+03
3.9496e+03	2.4e+00	1.78405e+05	2.5e+03
3.9532e+03	2.4e+00	2.33612e+05	1.5e+03
3.9569e+03	2.4e+00	2.99365e+05	3.5e+03
3.9606e+03	2.4e+00	3.57219e+05	4.4e+03
3.9643e+03	2.4e+00	3.95050e+05	5.3e+03
3.9680e+03	2.4e+00	4.17839e+05	5.2e+03
3.9716e+03	2.4e+00	4.36761e+05	3.7e+03
3.9753e+03	2.4e+00	4.53576e+05	4.5e+03
3.9790e+03	2.4e+00	4.61795e+05	5.6e+03
3.9827e+03	2.4e+00	4.69156e+05	6.7e+03
3.9864e+03	2.4e+00	4.73161e+05	5.1e+03
3.9900e+03	2.4e+00	4.80074e+05	4.5e+03
3.9937e+03	2.4e+00	4.71273e+05	5.2e+03
3.9974e+03	2.4e+00	4.75057e+05	7.0e+03
4.0011e+03	2.4e+00	4.77177e+05	3.9e+03
4.0047e+03	2.4e+00	4.74511e+05	5.2e+03
4.0084e+03	2.4e+00	4.72492e+05	4.0e+03
4.0121e+03	2.4e+00	4.72858e+05	4.2e+03
4.0158e+03	2.4e+00	4.64401e+05	5.4e+03
4.0194e+03	2.4e+00	4.62940e+05	4.8e+03
4.0231e+03	2.4e+00	4.64439e+05	4.4e+03
4.0268e+03	2.4e+00	4.67536e+05	4.6e+03
4.0304e+03	2.4e+00	4.63310e+05	6.3e+03
4.0341e+03	2.4e+00	4.58026e+05	4.7e+03
4.0378e+03	2.4e+00	4.54734e+05	4.5e+03
4.0415e+03	2.4e+00	4.44538e+05	5.1e+03
4.0451e+03	2.4e+00	4.39319e+05	4.7e+03
4.0488e+03	2.4e+00	4.33241e+05	5.2e+03
4.0525e+03	2.4e+00	4.28394e+05	5.1e+03
4.0561e+03	2.4e+00	4.17769e+05	6.1e+03
4.0598e+03	2.4e+00	4.02691e+05	5.2e+03
4.0635e+03	2.4e+00	3.86615e+05	4.7e+03
4.0671e+03	2.4e+00	3.65228e+05	4.2e+03
4.0708e+03	2.4e+00	3.32640e+05	4.2e+03
4.0745e+03	2.4e+00	2.87960e+05	3.0e+03
4.0781e+03	2.4e+00	2.37556e+05	2.6e+03
4.0818e+03	2.4e+00	1.84577e+05	2.5e+03
4.0855e+03	2.4e+00	1.58557e+05	2.1e+03
4.0891e+03	2.4e+00	1.77147e+05	2.8e+03
4.0928e+03	2.4e+00	2.28106e+05	4.1e+03
4.0965e+03	2.4e+00	2.74531e+05	4.2e+03
4.1001e+03	2.4e+00	3.14077e+05	4.8e+03
4.1038e+03	2.4e+00	3.44495e+05	4.7e+03
4.1075e+03	2.4e+00	3.56571e+05	4.1e+03
4.1111e+03	2.4e+00	3.68045e+05	6.2e+03
4.1148e+03	2.4e+00	3.71981e+05	4.8e+03
4.1184e+03	2.4e+00	3.79633e+05	4.8e+03
4.1221e+03	2.4e+00	3.88931e+05	6.2e+03
4.1258e+03	2.4e+00	3.87912e+05	5.4e+03
4.1294e+03	2.4e+00	3.91999e+05	6.2e+03
4.1331e+03	2.4e+00	3.91095e+05	6.9e+03
4.1367e+03	2.4e+00	3.90617e+05	6.2e+03
4.1404e+03	2.4e+00	3.97801e+05	6.0e+03
4.1441e+03	2.4e+00	3.91052e+05	5.8e+03
4.1477e+03	2.4e+00	3.92509e+05	5.0e+03
4.1514e+03	2.4e+00	3.90557e+05	5.5e+03
4.1550e+03	2.4e+00	3.88816e+05	7.6e+03
4.1587e+03	2.4e+00	3.84622e+05	6.5e+03
4.1623e+03	2.4e+00	3.82614e+05	7.2e+03
4.1660e+03	2.4e+00	3.81666e+05	8.2e+03
4.1697e+03	2.4e+00	3.82272e+05	6.2e+03
4.1733e+03	2.4e+00	3.84293e+05	7.1e+03
4.1770e+03	2.4e+00	3.82229e+05	8.0e+03
4.1806e+03	2.4e+00	3.84125e+05	7.4e+03
4.1843e+03	2.4e+00	3.81625e+05	6.7e+03
4.1879e+03	2.4e+00	3.81032e+05	7.8e+03
4.1916e+03	2.4e+00	3.79253e+05	6.6e+03
4.1952e+03	2.4e+00	3.81011e+05	7.1e+03
4.1989e+03	2.4e+00	3.81421e+05	7.6e+03
4.2025e+03	2.4e+00	3.80136e+05	5.4e+03
4.2062e+03	2.4e+00	3.79241e+05	6.8e+03
4.2098e+03	2.4e+00	3.78688e+05	7.1e+03
4.2135e+03	2.4e+00	3.74487e+05	6.3e+03
4.2171e+03	2.4e+00	3.71052e+05	7.0e+03
4.2208e+03	2.4e+00	3.68933e+05	7.6e+03
4.2244e+03	2.4e+00	3.68059e+05	5.8e+03
4.2281e+03	2.4e+00	3.65721e+05	7.2e+03
4.2317e+03	2.4e+00	3.65427e+05	6.7e+03
4.2354e+03	2.4e+00	3.62944e+05	7.6e+03
4.2390e+03	2.4e+00	3.62264e+05	6.4e+03
4.2427e+03	2.4e+00	3.62182e+05	6.8e+03
4.2463e+03	2.4e+00	3.60687e+05	7.4e+03
4.2500e+03	2.4e+00	3.61528e+05	7.4e+03
4.2536e+03	2.4e+00	3.61519e+05	6.7e+03
4.2572e+03	2.4e+00	3.59567e+05	6.6e+03
4.2609e+03	2.4e+00	3.52535e+05	7.4e+03
4.2645e+03	2.4e+00	3.49858e+05	6.7e+03
4.2682e+03	2.4e+00	3.46634e+05	6.1e+03
4.2718e+03	2.4e+00	3.45288e+05	6.0e+03
4.2755e+03	2.4e+00	3.46114e+05	6.3e+03
4.2791e+03	2.4e+00	3.41550e+05	6.8e+03
4.2827e+03	2.4e+00	3.41654e+05	5.7e+03
4.2864e+03	2.4e+00	3.36545e+05	6.9e+03
4.2900e+03	2.4e+00	3.30790e+05	6.0e+03
4.2937e+03	2.4e+00	3.24984e+05	4.7e+03
4.2973e+03	2.4e+00	3.23414e+05	5.5e+03
4.3010e+03	2.4e+00	3.19420e+05	6.2e+03
4.3046e+03	2.4e+00	3.12713e+05	6.4e+03
4.3082e+03	2.4e+00	3.02212e+05	5.7e+03
4.3119e+03	2.4e+00	2.90703e+05	6.2e+03
4.3155e+03	2.4e+00	2.73812e+05	6.2e+03
4.3191e+03	2.4e+00	2.49014e+05	5.8e+03
4.3228e+03	2.4e+00	2.18983e+05	4.2e+03
4.3264e+03	2.4e+00	1.79396e+05	3.6e+03
4.3301e+03	2.4e+00	1.42975e+05	2.7e+03
4.3337e+03	2.4e+00	1.31908e+05	2.5e+03
4.3373e+03	2.4e+00	1.50400e+05	3.2e+03
4.3410e+03	2.4e+00	1.86611e+05	3.9e+03
4.3446e+03	2.4e+00	2.19508e+05	5.1e+03
4.3482e+03	2.4e+00	2.47410e+05	5.0e+03
4.3519e+03	2.4e+00	2.66746e+05	6.1e+03
4.3555e+03	2.4e+00	2.80737e+05	5.5e+03
4.3591e+03	2.4e+00	2.86289e+05	5.7e+03
4.3628e+03	2.4e+00	2.93613e+05	6.1e+03
4.3664e+03	2.4e+00	2.96157e+05	6.0e+03
4.3700e+03	2.4e+00	2.98681e+05	5.5e+03
4.3737e+03	2.4e+00	2.97318e+05	5.7e+03
4.3773e+03	2.4e+00	2.96388e+05	5.7e+03
4.3809e+03	2.4e+00	2.95330e+05	6.2e+03
4.3845e+03	2.4e+00	2.93932e+05	6.3e+03
4.3882e+03	2.4e+00	2.94843e+05	5.6e+03
4.3918e+03	2.4e+00	2.91309e+05	5.8e+03
4.3954e+03	2.4e+00	2.91816e+05	5.7e+03
4.3991e+03	2.4e+00	2.92251e+05	5.5e+03
4.4027e+03	2.4e+00	2.88305e+05	5.3e+03
4.4063e+03	2.4e+00	2.88772e+05	5.2e+03
4.4099e+03	2.4e+00	2.86281e+05	5.3e+03
4.4136e+03	2.4e+00	2.85948e+05	5.4e+03
4.4172e+03	2.4e+00	2.84839e+05	5.7e+03
4.4208e+03	2.4e+00	2.83966e+05	5.2e+03
4.4244e+03	2.4e+00	2.80737e+05	5.5e+03
4.4281e+03	2.4e+00	2.78095e+05	5.3e+03
4.4317e+03	2.4e+00	2.77269e+05	5.5e+03
4.4353e+03	2.4e+00	2.74451e+05	6.0e+03
4.4389e+03	2.4e+00	2.70445e+05	5.5e+03
4.4426e+03	2.4e+00	2.67963e+05	5.6e+03
4.4462e+03	2.4e+00	2.69333e+05	5.2e+03
4.4498e+03	2.4e+00	2.69499e+05	6.5e+03
4.4534e+03	2.4e+00	2.66659e+05	5.0e+03
4.4570e+03	2.4e+00	2.63401e+05	6.0e+03
4.4607e+03	2.4e+00	2.59298e+05	5.9e+03
4.4643e+03	2.4e+00	2.58996e+05	5.6e+03
4.4679e+03	2.4e+00	2.56397e+05	5.4e+03
4.4715e+03	2.4e+00	2.52247e+05	5.2e+03
4.4751e+03	2.4e+00	2.47980e+05	5.2e+03
4.4788e+03	2.4e+00	2.47283e+05	5.2e+03
4.4824e+03	2.4e+00	2.47171e+05	5.4e+03
4.4860e+03	2.4e+00	2.50463e+05	5.8e+03
4.4896e+03	2.4e+00	2.48790e+05	5.8e+03
4.4932e+03	2.4e+00	2.46209e+05	5.1e+03
4.4968e+03	2.4e+00	2.45711e+05	5.6e+03
4.5005e+03	2.4e+00	2.46440e+05	5.6e+03
4.5041e+03	2.4e+00	2.43882e+05	5.5e+03
4.5077e+03	2.4e+00	2.41858e+05	5.1e+03
4.5113e+03	2.4e+00	2.40398e+05	5.3e+03
4.5149e+03	2.4e+00	2.37770e+05	5.5e+03
4.5185e+03	2.4e+00	2.36484e+05	5.4e+03
4.5221e+03	2.4e+00	2.34233e+05	5.4e+03
4.5258e+03	2.4e+00	2.33035e+05	4.8e+03
4.5294e+03	2.4e+00	2.30155e+05	5.1e+03
4.5330e+03	2.4e+00	2.27364e+05	5.2e+03
4.5366e+03	2.4e+00	2.26242e+05	4.9e+03
4.5402e+03	2.4e+00	2.25020e+05	5.1e+03
4.5438e+03	2.4e+00	2.21598e+05	5.1e+03
4.5474e+03	2.4e+00	2.18633e+05	4.9e+03
4.5510e+03	2.4e+00	2.14772e+05	5.3e+03
4.5546e+03	2.4e+00	2.16761e+05	5.5e+03
4.5582e+03	2.4e+00	2.15810e+05	5.5e+03
4.5619e+03	2.4e+00	2.14329e+05	4.5e+03
4.5655e+03	2.4e+00	2.14064e+05	4.5e+03
4.5691e+03	2.4e+00	2.12207e+05	5.4e+03
