# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.5971e+03	2.5e+00	4.557583e+03	3.8e+02
3.6009e+03	2.5e+00	5.231288e+03	2.2e+02
3.6046e+03	2.5e+00	5.845830e+03	4.3e+02
3.6083e+03	2.5e+00	6.694881e+03	2.6e+02
3.6120e+03	2.5e+00	5.903140e+03	1.2e+02
3.6158e+03	2.5e+00	6.311227e+03	1.7e+02
3.6195e+03	2.5e+00	6.920240e+03	2.3e+02
3.6232e+03	2.5e+00	7.049229e+03	1.8e+02
3.6269e+03	2.5e+00	6.114600e+03	1.7e+02
3.6307e+03	2.5e+00	7.302740e+03	3.9e+02
3.6344e+03	2.5e+00	7.826374e+03	1.1e+02
3.6381e+03	2.5e+00	8.605432e+03	6.8e+01
3.6418e+03	2.5e+00	8.922369e+03	1.1e+02
3.6455e+03	2.5e+00	9.182002e+03	1.2e+02
3.6493e+03	2.5e+00	9.735694e+03	3.5e+02
3.6530e+03	2.5e+00	9.752036e+03	2.9e+02
3.6567e+03	2.5e+00	1.075907e+04	5.2e+01
3.6604e+03	2.5e+00	1.178218e+04	2.7e+02
3.6641e+03	2.5e+00	1.287962e+04	2.3e+02
3.6678e+03	2.5e+00	1.258888e+04	2.4e+02
3.6716e+03	2.5e+00	1.326904e+04	3.3e+02
3.6753e+03	2.5e+00	1.273506e+04	3.7e+02
3.6790e+03	2.5e+00	1.358369e+04	1.6e+02
3.6827e+03	2.5e+00	1.642151e+04	2.3e+02
3.6864e+03	2.5e+00	1.803069e+04	8.7e+01
3.6901e+03	2.5e+00	1.845735e+04	9.6e+01
3.6939e+03	2.5e+00	1.957778e+04	7.4e+01
3.6976e+03	2.5e+00	2.030476e+04	1.2e+02
3.7013e+03	2.5e+00	2.394110e+04	5.2e+02
3.7050e+03	2.5e+00	2.761440e+04	1.5e+02
3.7087e+03	2.5e+00	2.511866e+04	3.3e+02
3.7124e+03	2.5e+00	2.637869e+04	2.4e+02
3.7161e+03	2.5e+00	3.102833e+04	4.8e+02
3.7198e+03	2.5e+00	3.647663e+04	2.1e+02
3.7236e+03	2.5e+00	4.147695e+04	5.5e+02
3.7273e+03	2.5e+00	4.355546e+04	1.7e+02
3.7310e+03	2.5e+00	3.779529e+04	4.9e+02
3.7347e+03	2.5e+00	3.708187e+04	2.6e+02
3.7384e+03	2.5e+00	4.455525e+04	3.2e+02
3.7421e+03	2.5e+00	5.787065e+04	2.7e+02
3.7458e+03	2.5e+00	6.879826e+04	1.3e+02
3.7495e+03	2.5e+00	7.430918e+04	7.2e+02
3.7532e+03	2.5e+00	7.387079e+04	5.7e+02
3.7569e+03	2.5e+00	6.638579e+04	6.1e+02
3.7606e+03	2.5e+00	5.649577e+04	4.2e+02
3.7643e+03	2.5e+00	5.620873e+04	9.1e+02
3.7681e+03	2.5e+00	7.078924e+04	4.5e+02
3.7718e+03	2.5e+00	9.533786e+04	4.4e+02
3.7755e+03	2.5e+00	1.151072e+05	4.4e+02
3.7792e+03	2.5e+00	1.324641e+05	1.3e+03
3.7829e+03	2.5e+00	1.455870e+05	1.2e+03
3.7866e+03	2.5e+00	1.531836e+05	4.9e+02
3.7903e+03	2.5e+00	1.465715e+05	6.5e+02
3.7940e+03	2.5e+00	1.302951e+05	1.4e+03
3.7977e+03	2.5e+00	1.111828e+05	2.2e+03
3.8014e+03	2.5e+00	9.663810e+04	1.4e+03
3.8051e+03	2.5e+00	9.524558e+04	1.0e+03
3.8088e+03	2.5e+00	1.160646e+05	1.7e+03
3.8125e+03	2.5e+00	1.540556e+05	1.3e+03
3.8162e+03	2.5e+00	1.954444e+05	1.3e+03
3.8199e+03	2.5e+00	2.263996e+05	1.6e+03
3.8236e+03	2.5e+00	2.503931e+05	8.9e+02
3.8273e+03	2.5e+00	2.700303e+05	1.5e+03
3.8310e+03	2.5e+00	2.814569e+05	1.8e+03
3.8347e+03	2.5e+00	2.911198e+05	2.1e+03
3.8384e+03	2.5e+00	2.970874e+05	1.9e+03
3.8421e+03	2.5e+00	2.883579e+05	2.7e+03
3.8458e+03	2.5e+00	2.777885e+05	2.4e+03
3.8495e+03	2.5e+00	2.549074e+05	2.8e+03
3.8532e+03	2.5e+00	2.139885e+05	1.2e+03
3.8569e+03	2.5e+00	1.703538e+05	1.2e+03
3.8605e+03	2.5e+00	1.501368e+05	1.1e+03
3.8642e+03	2.5e+00	1.739225e+05	2.0e+03
3.8679e+03	2.5e+00	2.227234e+05	1.9e+03
3.8716e+03	2.5e+00	2.830730e+05	2.4e+03
3.8753e+03	2.5e+00	3.339933e+05	2.6e+03
3.8790e+03	2.5e+00	3.750712e+05	2.0e+03
3.8827e+03	2.5e+00	4.008783e+05	2.8e+03
3.8864e+03	2.5e+00	4.212604e+05	4.4e+03
3.8901e+03	2.5e+00	4.391734e+05	2.9e+03
3.8938e+03	2.5e+00	4.641366e+05	4.8e+03
