# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.5979e+03	2.4e+00	4.82175e-02	2.8e-03
3.6016e+03	2.4e+00	4.76226e-02	2.1e-03
3.6053e+03	2.4e+00	5.11761e-02	3.6e-03
3.6091e+03	2.4e+00	6.02459e-02	4.1e-03
3.6128e+03	2.4e+00	5.86614e-02	3.0e-03
3.6165e+03	2.4e+00	6.06227e-02	4.1e-03
3.6202e+03	2.4e+00	6.53086e-02	2.7e-03
3.6239e+03	2.4e+00	6.62538e-02	4.6e-03
3.6277e+03	2.4e+00	6.40355e-02	3.7e-03
3.6314e+03	2.4e+00	6.91498e-02	2.7e-03
3.6351e+03	2.4e+00	7.41222e-02	3.3e-03
3.6388e+03	2.4e+00	7.44357e-02	2.3e-03
3.6425e+03	2.4e+00	7.62073e-02	3.3e-03
3.6462e+03	2.4e+00	8.10514e-02	1.2e-03
3.6500e+03	2.4e+00	8.84742e-02	3.3e-03
3.6537e+03	2.4e+00	9.03059e-02	3.3e-03
3.6574e+03	2.4e+00	9.48359e-02	2.0e-03
3.6611e+03	2.4e+00	9.84830e-02	3.6e-03
3.6648e+03	2.4e+00	1.07283e-01	5.9e-03
3.6685e+03	2.4e+00	1.11859e-01	4.2e-03
3.6723e+03	2.4e+00	1.22824e-01	2.8e-03
3.6760e+03	2.4e+00	1.29222e-01	1.8e-03
3.6797e+03	2.4e+00	1.29994e-01	2.0e-03
3.6834e+03	2.4e+00	1.47120e-01	3.7e-03
3.6871e+03	2.4e+00	1.61381e-01	2.7e-03
3.6908e+03	2.4e+00	1.70909e-01	1.9e-03
3.6945e+03	2.4e+00	1.73610e-01	2.5e-03
3.6982e+03	2.4e+00	1.85675e-01	2.0e-03
3.7019e+03	2.4e+00	2.23729e-01	2.4e-03
3.7057e+03	2.4e+00	2.42102e-01	3.3e-03
3.7094e+03	2.4e+00	2.27648e-01	2.3e-03
3.7131e+03	2.4e+00	2.37388e-01	3.1e-03
3.7168e+03	2.4e+00	2.77397e-01	4.1e-03
3.7205e+03	2.4e+00	3.35974e-01	5.5e-03
3.7242e+03	2.4e+00	3.77583e-01	3.8e-03
3.7279e+03	2.4e+00	3.77166e-01	5.1e-03
3.7316e+03	2.4e+00	3.44831e-01	4.3e-03
3.7353e+03	2.4e+00	3.48048e-01	5.5e-03
3.7390e+03	2.4e+00	4.08660e-01	2.8e-03
3.7427e+03	2.4e+00	5.24774e-01	4.8e-03
3.7464e+03	2.4e+00	6.46605e-01	6.1e-03
3.7501e+03	2.4e+00	7.10836e-01	4.4e-03
3.7539e+03	2.4e+00	7.01908e-01	6.7e-03
3.7576e+03	2.4e+00	6.20801e-01	6.2e-03
3.7613e+03	2.4e+00	5.22534e-01	5.5e-03
3.7650e+03	2.4e+00	5.24349e-01	3.7e-03
3.7687e+03	2.4e+00	6.43499e-01	5.8e-03
