# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.5582e+03	2.4e+00	3.362509e+02	3.7e+00
4.5619e+03	2.4e+00	3.405435e+02	4.6e+00
4.5655e+03	2.4e+00	3.673339e+02	5.8e+00
4.5691e+03	2.4e+00	4.122458e+02	6.0e+00
4.5727e+03	2.4e+00	4.966287e+02	6.0e+00
4.5763e+03	2.4e+00	5.364781e+02	5.3e+00
4.5799e+03	2.4e+00	5.329004e+02	5.4e+00
4.5835e+03	2.4e+00	5.333349e+02	4.6e+00
4.5871e+03	2.4e+00	5.061840e+02	5.9e+00
4.5907e+03	2.4e+00	4.830892e+02	4.9e+00
4.5943e+03	2.4e+00	4.421492e+02	5.7e+00
4.5979e+03	2.4e+00	4.524742e+02	7.4e+00
4.6015e+03	2.4e+00	5.398022e+02	6.5e+00
4.6051e+03	2.4e+00	5.955667e+02	7.1e+00
4.6087e+03	2.4e+00	5.346154e+02	7.8e+00
4.6123e+03	2.4e+00	4.036993e+02	6.5e+00
4.6159e+03	2.4e+00	2.789777e+02	3.4e+00
4.6195e+03	2.4e+00	2.599653e+02	2.9e+00
4.6231e+03	2.4e+00	2.631802e+02	2.7e+00
4.6267e+03	2.4e+00	2.659115e+02	2.9e+00
4.6303e+03	2.4e+00	2.622711e+02	3.6e+00
4.6339e+03	2.4e+00	2.578503e+02	3.3e+00
4.6375e+03	2.4e+00	2.658168e+02	2.9e+00
4.6411e+03	2.4e+00	2.782404e+02	4.1e+00
4.6447e+03	2.4e+00	3.224237e+02	6.1e+00
4.6483e+03	2.4e+00	3.833572e+02	6.4e+00
4.6519e+03	2.4e+00	4.773262e+02	5.5e+00
4.6555e+03	2.4e+00	5.064179e+02	6.1e+00
4.6591e+03	2.4e+00	4.478556e+02	6.1e+00
4.6627e+03	2.4e+00	3.377730e+02	4.4e+00
4.6663e+03	2.4e+00	2.755879e+02	3.3e+00
4.6699e+03	2.4e+00	2.880769e+02	2.6e+00
4.6735e+03	2.4e+00	2.952412e+02	2.8e+00
4.6771e+03	2.4e+00	2.931686e+02	2.8e+00
4.6807e+03	2.4e+00	2.825643e+02	2.9e+00
4.6843e+03	2.4e+00	2.695228e+02	2.5e+00
4.6879e+03	2.4e+00	2.559643e+02	3.0e+00
4.6915e+03	2.4e+00	2.579579e+02	2.9e+00
4.6950e+03	2.4e+00	2.607423e+02	2.7e+00
4.6986e+03	2.4e+00	2.662517e+02	3.6e+00
4.7022e+03	2.4e+00	2.712639e+02	2.9e+00
4.7058e+03	2.4e+00	2.649129e+02	2.9e+00
4.7094e+03	2.4e+00	2.646096e+02	3.2e+00
4.7130e+03	2.4e+00	2.789248e+02	3.5e+00
4.7166e+03	2.4e+00	2.980926e+02	4.7e+00
4.7202e+03	2.4e+00	3.482154e+02	4.7e+00
4.7238e+03	2.4e+00	3.965999e+02	4.0e+00
4.7274e+03	2.4e+00	4.077219e+02	4.2e+00
4.7309e+03	2.4e+00	3.852158e+02	4.2e+00
4.7345e+03	2.4e+00	3.230389e+02	3.3e+00
4.7381e+03	2.4e+00	2.790675e+02	3.1e+00
4.7417e+03	2.4e+00	2.347686e+02	3.1e+00
4.7453e+03	2.4e+00	2.244101e+02	3.0e+00
4.7489e+03	2.4e+00	2.470344e+02	3.9e+00
4.7525e+03	2.4e+00	2.910169e+02	6.8e+00
4.7560e+03	2.4e+00	3.585991e+02	8.2e+00
4.7596e+03	2.4e+00	4.913678e+02	6.5e+00
4.7632e+03	2.4e+00	5.561439e+02	6.5e+00
4.7668e+03	2.4e+00	4.845971e+02	7.9e+00
4.7704e+03	2.4e+00	3.343327e+02	5.7e+00
4.7740e+03	2.4e+00	2.138772e+02	2.9e+00
4.7775e+03	2.4e+00	2.045431e+02	2.9e+00
4.7811e+03	2.4e+00	2.024345e+02	2.9e+00
4.7847e+03	2.4e+00	2.150702e+02	3.2e+00
4.7883e+03	2.4e+00	2.246163e+02	3.4e+00
4.7919e+03	2.4e+00	2.520569e+02	4.0e+00
4.7954e+03	2.4e+00	2.818658e+02	4.8e+00
4.7990e+03	2.4e+00	3.359752e+02	5.4e+00
4.8026e+03	2.4e+00	4.109503e+02	4.5e+00
4.8062e+03	2.4e+00	4.413669e+02	4.1e+00
4.8098e+03	2.4e+00	4.486955e+02	4.4e+00
4.8133e+03	2.4e+00	4.300629e+02	5.2e+00
4.8169e+03	2.4e+00	4.639254e+02	5.6e+00
4.8205e+03	2.4e+00	5.211491e+02	6.0e+00
4.8241e+03	2.4e+00	5.667566e+02	5.7e+00
4.8276e+03	2.4e+00	5.843277e+02	5.9e+00
4.8312e+03	2.4e+00	5.377199e+02	6.6e+00
4.8348e+03	2.4e+00	4.316098e+02	6.3e+00
4.8384e+03	2.4e+00	3.232148e+02	3.7e+00
4.8419e+03	2.4e+00	2.495193e+02	2.7e+00
4.8455e+03	2.4e+00	2.467603e+02	3.4e+00
4.8491e+03	2.4e+00	2.829945e+02	4.6e+00
4.8527e+03	2.4e+00	3.345125e+02	6.6e+00
4.8562e+03	2.4e+00	4.175018e+02	5.9e+00
4.8598e+03	2.4e+00	5.005488e+02	5.5e+00
4.8634e+03	2.4e+00	4.760806e+02	6.1e+00
4.8669e+03	2.4e+00	3.903362e+02	5.0e+00
4.8705e+03	2.4e+00	3.097377e+02	4.5e+00
4.8741e+03	2.4e+00	3.436969e+02	4.9e+00
4.8777e+03	2.4e+00	4.186509e+02	3.6e+00
4.8812e+03	2.4e+00	4.160345e+02	4.4e+00
4.8848e+03	2.4e+00	3.632624e+02	4.3e+00
4.8884e+03	2.4e+00	2.823157e+02	3.7e+00
4.8919e+03	2.4e+00	2.452401e+02	2.7e+00
4.8955e+03	2.4e+00	2.226863e+02	2.7e+00
4.8991e+03	2.4e+00	2.057714e+02	2.4e+00
4.9026e+03	2.4e+00	2.015767e+02	2.2e+00
4.9062e+03	2.4e+00	1.985738e+02	2.1e+00
4.9098e+03	2.4e+00	1.913737e+02	2.1e+00
4.9133e+03	2.4e+00	1.842304e+02	2.7e+00
4.9169e+03	2.4e+00	1.895206e+02	2.5e+00
4.9205e+03	2.4e+00	1.978365e+02	1.9e+00
4.9240e+03	2.4e+00	1.903104e+02	2.2e+00
4.9276e+03	2.4e+00	1.840754e+02	2.8e+00
4.9312e+03	2.4e+00	1.737526e+02	2.1e+00
4.9347e+03	2.4e+00	1.736904e+02	1.8e+00
4.9383e+03	2.4e+00	1.670128e+02	2.1e+00
4.9418e+03	2.4e+00	1.556856e+02	2.1e+00
4.9454e+03	2.4e+00	1.550972e+02	2.0e+00
4.9490e+03	2.4e+00	1.526666e+02	2.5e+00
4.9525e+03	2.4e+00	1.593679e+02	3.0e+00
4.9561e+03	2.4e+00	1.788496e+02	2.8e+00
4.9596e+03	2.4e+00	1.985592e+02	3.4e+00
4.9632e+03	2.4e+00	2.281694e+02	2.8e+00
4.9668e+03	2.4e+00	2.277827e+02	2.7e+00
4.9703e+03	2.4e+00	2.043327e+02	2.9e+00
4.9739e+03	2.4e+00	1.688446e+02	2.3e+00
4.9774e+03	2.4e+00	1.558967e+02	2.2e+00
4.9810e+03	2.4e+00	1.483250e+02	1.9e+00
4.9845e+03	2.4e+00	1.489978e+02	2.5e+00
4.9881e+03	2.4e+00	1.472948e+02	1.8e+00
4.9917e+03	2.4e+00	1.511091e+02	2.1e+00
4.9952e+03	2.4e+00	1.545142e+02	2.2e+00
4.9988e+03	2.4e+00	1.611120e+02	2.5e+00
5.0023e+03	2.4e+00	1.681585e+02	2.0e+00
5.0059e+03	2.4e+00	1.846056e+02	2.7e+00
5.0094e+03	2.4e+00	2.008455e+02	2.9e+00
5.0130e+03	2.4e+00	2.193241e+02	2.3e+00
5.0165e+03	2.4e+00	2.274867e+02	2.6e+00
5.0201e+03	2.4e+00	2.024255e+02	2.8e+00
5.0236e+03	2.4e+00	1.624603e+02	2.6e+00
5.0272e+03	2.4e+00	1.366228e+02	2.5e+00
5.0307e+03	2.4e+00	1.382865e+02	2.5e+00
5.0343e+03	2.4e+00	1.444748e+02	2.5e+00
5.0378e+03	2.4e+00	1.546592e+02	2.1e+00
5.0414e+03	2.4e+00	1.510675e+02	2.6e+00
5.0449e+03	2.4e+00	1.602942e+02	2.2e+00
5.0485e+03	2.4e+00	1.715340e+02	2.6e+00
5.0520e+03	2.4e+00	1.669615e+02	3.0e+00
5.0556e+03	2.4e+00	1.765098e+02	2.1e+00
5.0591e+03	2.4e+00	1.771259e+02	2.9e+00
5.0627e+03	2.4e+00	1.762728e+02	2.9e+00
5.0662e+03	2.4e+00	1.734412e+02	2.6e+00
5.0698e+03	2.4e+00	1.660144e+02	2.2e+00
5.0733e+03	2.4e+00	1.586726e+02	2.7e+00
