# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.5979e+03	2.4e+00	5.355579e+03	1.3e+02
3.6016e+03	2.4e+00	4.598392e+03	9.8e+01
3.6053e+03	2.4e+00	5.142525e+03	1.7e+02
3.6091e+03	2.4e+00	6.246196e+03	1.7e+02
3.6128e+03	2.4e+00	6.734946e+03	1.8e+02
3.6165e+03	2.4e+00	5.746212e+03	3.4e+02
3.6202e+03	2.4e+00	5.072491e+03	3.1e+02
3.6239e+03	2.4e+00	6.420630e+03	3.1e+02
3.6277e+03	2.4e+00	6.956810e+03	2.9e+02
3.6314e+03	2.4e+00	6.707594e+03	1.8e+02
3.6351e+03	2.4e+00	6.248273e+03	2.8e+02
3.6388e+03	2.4e+00	7.720348e+03	1.7e+02
3.6425e+03	2.4e+00	7.236461e+03	2.0e+02
3.6462e+03	2.4e+00	6.875039e+03	1.9e+02
3.6500e+03	2.4e+00	6.694623e+03	3.6e+02
3.6537e+03	2.4e+00	8.290614e+03	4.8e+02
3.6574e+03	2.4e+00	9.055498e+03	2.1e+02
3.6611e+03	2.4e+00	9.093587e+03	1.7e+02
3.6648e+03	2.4e+00	9.661360e+03	1.4e+01
3.6685e+03	2.4e+00	9.875164e+03	1.8e+02
3.6723e+03	2.4e+00	1.034049e+04	9.2e+01
3.6760e+03	2.4e+00	1.160473e+04	2.8e+02
3.6797e+03	2.4e+00	1.180363e+04	3.7e+02
3.6834e+03	2.4e+00	1.274390e+04	7.2e+01
3.6871e+03	2.4e+00	1.412261e+04	2.7e+02
3.6908e+03	2.4e+00	1.470566e+04	3.4e+02
3.6945e+03	2.4e+00	1.467133e+04	1.3e+02
3.6982e+03	2.4e+00	1.576628e+04	1.6e+02
3.7019e+03	2.4e+00	1.837178e+04	3.9e+02
3.7057e+03	2.4e+00	1.903438e+04	2.1e+02
3.7094e+03	2.4e+00	2.006848e+04	3.1e+02
3.7131e+03	2.4e+00	2.021677e+04	3.5e+02
3.7168e+03	2.4e+00	2.323353e+04	1.9e+02
3.7205e+03	2.4e+00	2.814081e+04	5.3e+01
3.7242e+03	2.4e+00	2.940479e+04	3.1e+02
3.7279e+03	2.4e+00	2.814441e+04	2.7e+02
3.7316e+03	2.4e+00	2.637691e+04	5.7e+02
3.7353e+03	2.4e+00	2.805001e+04	8.9e+02
3.7390e+03	2.4e+00	3.304736e+04	3.4e+02
3.7427e+03	2.4e+00	4.075571e+04	3.2e+02
3.7464e+03	2.4e+00	4.955768e+04	5.7e+02
3.7501e+03	2.4e+00	5.551674e+04	7.0e+02
3.7539e+03	2.4e+00	5.400864e+04	1.7e+02
3.7576e+03	2.4e+00	4.905717e+04	3.4e+02
3.7613e+03	2.4e+00	4.238436e+04	1.6e+02
3.7650e+03	2.4e+00	4.346432e+04	5.1e+02
3.7687e+03	2.4e+00	5.301507e+04	3.6e+02
3.7724e+03	2.4e+00	6.682815e+04	5.1e+02
3.7761e+03	2.4e+00	8.185967e+04	8.7e+02
3.7798e+03	2.4e+00	9.304590e+04	2.9e+02
3.7835e+03	2.4e+00	1.024029e+05	5.6e+02
3.7872e+03	2.4e+00	1.062420e+05	6.3e+02
3.7909e+03	2.4e+00	1.046580e+05	3.9e+02
3.7946e+03	2.4e+00	9.425608e+04	1.0e+03
3.7983e+03	2.4e+00	7.970482e+04	4.9e+02
3.8020e+03	2.4e+00	6.857756e+04	3.4e+02
3.8057e+03	2.4e+00	7.049343e+04	1.0e+03
3.8094e+03	2.4e+00	8.598124e+04	6.5e+02
3.8131e+03	2.4e+00	1.149523e+05	1.1e+03
3.8168e+03	2.4e+00	1.443374e+05	1.3e+02
3.8205e+03	2.4e+00	1.681862e+05	2.7e+02
3.8242e+03	2.4e+00	1.795106e+05	5.1e+02
3.8279e+03	2.4e+00	1.966824e+05	1.2e+03
3.8315e+03	2.4e+00	2.055124e+05	1.5e+03
3.8352e+03	2.4e+00	2.093210e+05	1.1e+03
3.8389e+03	2.4e+00	2.151799e+05	3.8e+02
3.8426e+03	2.4e+00	2.120776e+05	4.5e+02
3.8463e+03	2.4e+00	2.065924e+05	9.1e+01
3.8500e+03	2.4e+00	1.860511e+05	8.5e+02
3.8537e+03	2.4e+00	1.582030e+05	1.1e+03
3.8574e+03	2.4e+00	1.237438e+05	7.2e+02
3.8611e+03	2.4e+00	1.175149e+05	5.4e+01
