# wL	I
3947.01127096593	792.372443242569
3947.07155190159	792.372443242569
3947.13182724742	695.031781535517
3947.19209700342	657.031537569397
3947.25236116959	611.228426325982
3947.31261974593	79.3686038340177
3947.37287273245	-365.248183905746
3947.43312012913	-542.589282057142
3947.49336193598	-653.383789500541
3947.55359815301	-542.589282057142
3947.6138287802	-54.9380121356579
3947.67405381756	229.050601943334
3947.7342732651	533.062507611433
3947.7944871228	533.062507611433
3947.85469539068	439.602669754754
3947.91489806872	439.602669754754
3947.97509515694	744.236874752729
3948.03528665532	928.876185724767
3948.09547256388	928.876185724767
3948.15565288261	753.810809208205
3948.2158276115	700.2024038815
3948.27599675057	546.431426282768
3948.33616029981	159.119172527742
3948.39631825921	142.696032071333
3948.45647062879	91.724380787264
3948.51661740854	119.702597557878
3948.57675859846	91.724380787264
3948.63689419855	20.4922132848053
3948.69702420881	20.4922132848053
3948.75714862923	62.0308835893766
3948.81726745983	62.0308835893766
3948.8773807006	-168.567289091279
3948.93748835155	-168.567289091279
3948.99759041265	611.850765940464
3949.05768688393	629.792984492206
3949.11777776539	629.792984492206
3949.177863057	336.21277787078
3949.2379427588	7.42550887942914
3949.29801687076	7.42550887942914
3949.35808539289	45.9974620511516
3949.41814832519	496.871391573573
3949.47820566767	506.535209772349
3949.53825742031	496.871391573573
3949.59830358312	424.904243701617
3949.65834415611	358.550691961262
3949.71837913926	-49.5903083646871
3949.77840853258	-417.634865907222
3949.83843233608	-417.634865907222
3949.89845054974	-250.819589080979
3949.95846317358	59.6781623046164
3950.01847020758	469.26448066706
3950.07847165176	580.347998282817
3950.1384675061	580.347998282817
3950.19845777062	199.399636523874
3950.25844244531	-174.061708797602
3950.31842153016	-291.074814000537
3950.37839502519	-428.571200828872
3950.43836293039	-428.571200828872
3950.49832524575	-241.831159870769
3950.55828197129	34.3320052215625
3950.618233107	34.3320052215625
3950.67817865288	34.3320052215625
3950.73811860892	100.837485647039
3950.79805297515	393.080406824074
3950.85798175153	432.648776778763
3950.91790493809	480.342664035186
3950.97782253482	557.750168933722
3951.03773454172	759.089830032786
