# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.0708e+03	2.4e+00	3.04344e+05	6.8e+03
4.0745e+03	2.4e+00	2.90716e+05	5.5e+03
4.0781e+03	2.4e+00	2.58479e+05	5.4e+03
4.0818e+03	2.4e+00	2.21003e+05	5.2e+03
4.0855e+03	2.4e+00	1.89753e+05	4.0e+03
4.0891e+03	2.4e+00	1.80265e+05	2.9e+03
4.0928e+03	2.4e+00	2.03106e+05	3.4e+03
4.0965e+03	2.4e+00	2.43394e+05	4.8e+03
4.1001e+03	2.4e+00	2.71511e+05	5.8e+03
4.1038e+03	2.4e+00	2.84063e+05	5.4e+03
4.1075e+03	2.4e+00	2.91820e+05	5.3e+03
4.1111e+03	2.4e+00	2.95945e+05	5.8e+03
4.1148e+03	2.4e+00	2.91262e+05	5.0e+03
4.1184e+03	2.4e+00	2.91651e+05	5.1e+03
4.1221e+03	2.4e+00	2.90012e+05	5.4e+03
4.1258e+03	2.4e+00	2.92779e+05	5.3e+03
4.1294e+03	2.4e+00	2.97637e+05	5.1e+03
4.1331e+03	2.4e+00	2.93809e+05	4.3e+03
4.1367e+03	2.4e+00	2.95025e+05	4.3e+03
4.1404e+03	2.4e+00	2.95838e+05	5.7e+03
4.1441e+03	2.4e+00	3.00341e+05	5.6e+03
4.1477e+03	2.4e+00	3.00592e+05	5.0e+03
4.1514e+03	2.4e+00	3.00607e+05	5.5e+03
4.1550e+03	2.4e+00	2.93408e+05	6.1e+03
4.1587e+03	2.4e+00	2.93621e+05	5.4e+03
4.1623e+03	2.4e+00	2.95464e+05	4.8e+03
4.1660e+03	2.4e+00	2.88848e+05	3.6e+03
4.1697e+03	2.4e+00	2.89723e+05	4.7e+03
4.1733e+03	2.4e+00	2.92827e+05	5.6e+03
4.1770e+03	2.4e+00	2.93129e+05	5.8e+03
4.1806e+03	2.4e+00	2.93650e+05	4.9e+03
4.1843e+03	2.4e+00	2.91169e+05	5.4e+03
4.1879e+03	2.4e+00	2.91484e+05	5.5e+03
4.1916e+03	2.4e+00	2.90936e+05	5.1e+03
4.1952e+03	2.4e+00	2.88246e+05	4.7e+03
4.1989e+03	2.4e+00	2.87882e+05	6.2e+03
4.2025e+03	2.4e+00	2.86811e+05	5.2e+03
4.2062e+03	2.4e+00	2.86777e+05	4.9e+03
4.2098e+03	2.4e+00	2.87883e+05	4.2e+03
4.2135e+03	2.4e+00	2.84240e+05	5.2e+03
4.2171e+03	2.4e+00	2.82356e+05	5.8e+03
4.2208e+03	2.4e+00	2.86083e+05	5.2e+03
4.2244e+03	2.4e+00	2.81975e+05	5.1e+03
4.2281e+03	2.4e+00	2.82669e+05	5.8e+03
4.2317e+03	2.4e+00	2.82314e+05	6.4e+03
4.2354e+03	2.4e+00	2.80605e+05	5.5e+03
4.2390e+03	2.4e+00	2.77763e+05	5.3e+03
4.2427e+03	2.4e+00	2.80678e+05	6.2e+03
4.2463e+03	2.4e+00	2.76988e+05	5.4e+03
4.2500e+03	2.4e+00	2.78504e+05	5.6e+03
4.2536e+03	2.4e+00	2.76175e+05	6.1e+03
4.2572e+03	2.4e+00	2.74008e+05	5.1e+03
4.2609e+03	2.4e+00	2.74559e+05	5.6e+03
4.2645e+03	2.4e+00	2.71575e+05	5.4e+03
4.2682e+03	2.4e+00	2.74146e+05	5.8e+03
4.2718e+03	2.4e+00	2.70765e+05	6.1e+03
4.2755e+03	2.4e+00	2.68411e+05	6.8e+03
4.2791e+03	2.4e+00	2.68744e+05	6.4e+03
4.2827e+03	2.4e+00	2.66587e+05	6.8e+03
4.2864e+03	2.4e+00	2.68226e+05	6.3e+03
4.2900e+03	2.4e+00	2.66127e+05	5.5e+03
4.2937e+03	2.4e+00	2.60591e+05	5.6e+03
4.2973e+03	2.4e+00	2.58623e+05	5.1e+03
4.3010e+03	2.4e+00	2.60636e+05	5.4e+03
4.3046e+03	2.4e+00	2.57369e+05	5.5e+03
4.3082e+03	2.4e+00	2.56924e+05	6.7e+03
4.3119e+03	2.4e+00	2.53038e+05	4.6e+03
4.3155e+03	2.4e+00	2.47816e+05	5.4e+03
4.3191e+03	2.4e+00	2.40603e+05	4.5e+03
4.3228e+03	2.4e+00	2.28240e+05	5.0e+03
4.3264e+03	2.4e+00	2.07304e+05	5.3e+03
4.3301e+03	2.4e+00	1.76172e+05	3.5e+03
4.3337e+03	2.4e+00	1.52389e+05	3.6e+03
4.3373e+03	2.4e+00	1.50830e+05	4.1e+03
4.3410e+03	2.4e+00	1.74959e+05	4.6e+03
4.3446e+03	2.4e+00	2.02352e+05	4.2e+03
4.3482e+03	2.4e+00	2.21675e+05	5.0e+03
4.3519e+03	2.4e+00	2.32574e+05	4.6e+03
4.3555e+03	2.4e+00	2.39871e+05	5.1e+03
4.3591e+03	2.4e+00	2.40546e+05	5.0e+03
4.3628e+03	2.4e+00	2.41926e+05	4.4e+03
4.3664e+03	2.4e+00	2.41453e+05	4.4e+03
4.3700e+03	2.4e+00	2.42990e+05	5.2e+03
4.3737e+03	2.4e+00	2.41379e+05	5.4e+03
4.3773e+03	2.4e+00	2.36624e+05	4.8e+03
4.3809e+03	2.4e+00	2.34109e+05	4.8e+03
4.3845e+03	2.4e+00	2.34261e+05	5.0e+03
4.3882e+03	2.4e+00	2.35690e+05	4.6e+03
4.3918e+03	2.4e+00	2.33891e+05	5.1e+03
4.3954e+03	2.4e+00	2.33885e+05	5.6e+03
4.3991e+03	2.4e+00	2.32876e+05	5.4e+03
4.4027e+03	2.4e+00	2.33298e+05	5.0e+03
4.4063e+03	2.4e+00	2.33094e+05	5.7e+03
4.4099e+03	2.4e+00	2.28441e+05	5.3e+03
4.4136e+03	2.4e+00	2.29927e+05	5.3e+03
4.4172e+03	2.4e+00	2.27278e+05	4.8e+03
4.4208e+03	2.4e+00	2.25592e+05	5.1e+03
4.4244e+03	2.4e+00	2.25421e+05	4.5e+03
4.4281e+03	2.4e+00	2.21528e+05	4.4e+03
4.4317e+03	2.4e+00	2.21859e+05	5.2e+03
4.4353e+03	2.4e+00	2.23097e+05	5.5e+03
4.4389e+03	2.4e+00	2.23632e+05	5.3e+03
4.4426e+03	2.4e+00	2.20979e+05	4.9e+03
4.4462e+03	2.4e+00	2.18680e+05	4.5e+03
4.4498e+03	2.4e+00	2.18571e+05	5.4e+03
4.4534e+03	2.4e+00	2.19012e+05	4.5e+03
4.4570e+03	2.4e+00	2.17635e+05	4.7e+03
4.4607e+03	2.4e+00	2.15864e+05	4.7e+03
4.4643e+03	2.4e+00	2.11916e+05	4.4e+03
4.4679e+03	2.4e+00	2.09168e+05	4.3e+03
4.4715e+03	2.4e+00	2.06137e+05	4.6e+03
4.4751e+03	2.4e+00	2.04909e+05	4.2e+03
4.4788e+03	2.4e+00	2.05683e+05	5.0e+03
4.4824e+03	2.4e+00	2.02912e+05	4.5e+03
4.4860e+03	2.4e+00	2.04945e+05	5.0e+03
4.4896e+03	2.4e+00	2.08044e+05	5.3e+03
4.4932e+03	2.4e+00	2.07001e+05	5.1e+03
4.4968e+03	2.4e+00	2.03195e+05	5.6e+03
4.5005e+03	2.4e+00	2.05920e+05	4.7e+03
4.5041e+03	2.4e+00	2.05181e+05	4.4e+03
4.5077e+03	2.4e+00	2.02439e+05	4.5e+03
4.5113e+03	2.4e+00	2.01337e+05	4.9e+03
4.5149e+03	2.4e+00	2.01525e+05	4.6e+03
4.5185e+03	2.4e+00	2.00102e+05	3.6e+03
4.5221e+03	2.4e+00	1.96777e+05	4.0e+03
4.5258e+03	2.4e+00	1.99652e+05	4.3e+03
4.5294e+03	2.4e+00	2.01874e+05	4.4e+03
4.5330e+03	2.4e+00	1.97931e+05	4.2e+03
4.5366e+03	2.4e+00	1.97296e+05	4.3e+03
4.5402e+03	2.4e+00	1.94135e+05	3.9e+03
4.5438e+03	2.4e+00	1.93146e+05	4.5e+03
4.5474e+03	2.4e+00	1.92483e+05	4.3e+03
4.5510e+03	2.4e+00	1.90558e+05	3.6e+03
4.5546e+03	2.4e+00	1.90100e+05	3.8e+03
4.5582e+03	2.4e+00	1.88307e+05	3.8e+03
4.5619e+03	2.4e+00	1.88332e+05	3.9e+03
4.5655e+03	2.4e+00	1.87849e+05	4.2e+03
4.5691e+03	2.4e+00	1.86955e+05	4.3e+03
4.5727e+03	2.4e+00	1.84789e+05	4.6e+03
4.5763e+03	2.4e+00	1.81510e+05	4.6e+03
4.5799e+03	2.4e+00	1.79589e+05	4.5e+03
4.5835e+03	2.4e+00	1.78622e+05	4.0e+03
4.5871e+03	2.4e+00	1.78762e+05	4.2e+03
4.5907e+03	2.4e+00	1.78841e+05	4.0e+03
4.5943e+03	2.4e+00	1.77385e+05	3.6e+03
4.5979e+03	2.4e+00	1.76920e+05	3.6e+03
4.6015e+03	2.4e+00	1.75413e+05	4.2e+03
4.6051e+03	2.4e+00	1.74181e+05	3.6e+03
4.6087e+03	2.4e+00	1.74639e+05	4.4e+03
4.6123e+03	2.4e+00	1.73005e+05	3.9e+03
4.6159e+03	2.4e+00	1.70538e+05	3.4e+03
4.6195e+03	2.4e+00	1.70572e+05	3.3e+03
4.6231e+03	2.4e+00	1.69332e+05	4.0e+03
4.6267e+03	2.4e+00	1.67888e+05	3.8e+03
4.6303e+03	2.4e+00	1.66724e+05	3.5e+03
