# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.1764e+03	2.5e+00	1.55963e+03	2.8e+01
4.1800e+03	2.5e+00	2.34337e+03	5.1e+01
4.1837e+03	2.5e+00	3.09992e+03	7.5e+01
4.1874e+03	2.5e+00	3.04315e+03	4.1e+01
4.1910e+03	2.5e+00	2.21296e+03	5.5e+01
4.1947e+03	2.5e+00	1.14497e+03	3.0e+01
4.1983e+03	2.5e+00	8.68578e+02	4.3e+01
4.2020e+03	2.5e+00	8.22012e+02	4.1e+01
4.2056e+03	2.5e+00	8.25236e+02	2.7e+01
4.2093e+03	2.5e+00	8.13091e+02	3.0e+01
4.2129e+03	2.5e+00	8.46953e+02	2.2e+01
4.2166e+03	2.5e+00	8.44784e+02	3.5e+01
4.2203e+03	2.5e+00	8.54064e+02	3.2e+01
4.2239e+03	2.5e+00	7.81405e+02	2.2e+01
4.2276e+03	2.5e+00	7.53780e+02	2.4e+01
4.2312e+03	2.5e+00	6.10978e+02	1.0e+01
4.2349e+03	2.5e+00	6.25996e+02	2.3e+01
4.2385e+03	2.5e+00	6.61948e+02	8.2e+00
4.2422e+03	2.5e+00	1.08979e+03	2.2e+01
4.2458e+03	2.5e+00	1.65895e+03	1.9e+01
4.2495e+03	2.5e+00	1.85269e+03	1.1e+01
4.2531e+03	2.5e+00	1.59179e+03	2.3e+01
4.2568e+03	2.5e+00	1.21467e+03	2.7e+01
4.2604e+03	2.5e+00	1.33383e+03	4.2e+01
4.2641e+03	2.5e+00	1.61467e+03	2.6e+01
4.2677e+03	2.5e+00	1.42992e+03	3.2e+01
4.2713e+03	2.5e+00	1.13148e+03	2.8e+01
4.2750e+03	2.5e+00	6.36007e+02	1.1e+01
4.2786e+03	2.5e+00	5.48350e+02	9.0e+00
4.2823e+03	2.5e+00	5.53744e+02	1.4e+01
4.2859e+03	2.5e+00	7.71852e+02	2.0e+01
4.2896e+03	2.5e+00	8.48986e+02	1.0e+01
4.2932e+03	2.5e+00	8.25518e+02	3.1e+01
4.2969e+03	2.5e+00	6.81685e+02	2.0e+01
4.3005e+03	2.5e+00	6.64363e+02	2.3e+01
4.3041e+03	2.5e+00	5.90550e+02	1.5e+01
4.3078e+03	2.5e+00	5.63578e+02	8.0e+00
4.3114e+03	2.5e+00	4.99585e+02	1.1e+01
4.3151e+03	2.5e+00	5.86954e+02	4.8e+00
4.3187e+03	2.5e+00	8.88173e+02	2.7e+01
4.3224e+03	2.5e+00	1.18559e+03	6.9e+00
4.3260e+03	2.5e+00	1.31939e+03	1.2e+01
4.3296e+03	2.5e+00	1.22216e+03	1.8e+01
4.3333e+03	2.5e+00	1.14200e+03	3.2e+01
4.3369e+03	2.5e+00	1.30298e+03	2.3e+01
4.3405e+03	2.5e+00	1.25329e+03	1.8e+01
4.3442e+03	2.5e+00	1.03408e+03	2.8e+01
4.3478e+03	2.5e+00	7.66583e+02	2.5e+01
4.3515e+03	2.5e+00	7.20613e+02	2.9e+01
4.3551e+03	2.5e+00	7.43363e+02	2.5e+01
4.3587e+03	2.5e+00	9.42152e+02	3.1e+01
4.3624e+03	2.5e+00	1.01983e+03	2.7e+01
4.3660e+03	2.5e+00	1.19517e+03	2.0e+01
4.3696e+03	2.5e+00	1.03149e+03	3.0e+01
4.3733e+03	2.5e+00	9.77232e+02	2.6e+01
4.3769e+03	2.5e+00	8.08561e+02	3.2e+01
4.3805e+03	2.5e+00	6.38101e+02	2.3e+01
4.3842e+03	2.5e+00	5.80990e+02	2.1e+01
4.3878e+03	2.5e+00	5.70988e+02	1.3e+01
4.3914e+03	2.5e+00	6.07030e+02	2.9e+01
4.3951e+03	2.5e+00	6.03329e+02	1.5e+01
4.3987e+03	2.5e+00	5.63155e+02	1.9e+01
4.4023e+03	2.5e+00	4.51657e+02	1.8e+01
4.4060e+03	2.5e+00	4.11831e+02	2.7e+01
4.4096e+03	2.5e+00	4.84954e+02	1.8e+01
4.4132e+03	2.5e+00	5.12437e+02	1.1e+01
4.4168e+03	2.5e+00	7.05858e+02	3.9e+01
4.4205e+03	2.5e+00	8.42628e+02	1.8e+01
4.4241e+03	2.5e+00	8.11094e+02	2.9e+01
4.4277e+03	2.5e+00	6.80394e+02	2.3e+01
4.4314e+03	2.5e+00	5.09251e+02	1.5e+01
4.4350e+03	2.5e+00	4.65346e+02	1.3e+01
