# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.5793e+03	2.4e+00	9.99932e+03	3.3e+02
3.5830e+03	2.4e+00	1.00551e+04	2.6e+02
3.5867e+03	2.4e+00	1.14628e+04	1.3e+02
3.5904e+03	2.4e+00	1.00709e+04	5.0e+01
3.5942e+03	2.4e+00	1.02764e+04	5.9e+02
3.5979e+03	2.4e+00	1.11998e+04	7.1e+02
3.6016e+03	2.4e+00	1.17985e+04	5.3e+02
3.6053e+03	2.4e+00	1.13749e+04	8.3e+01
3.6091e+03	2.4e+00	1.21944e+04	3.7e+02
3.6128e+03	2.4e+00	1.34718e+04	5.8e+02
3.6165e+03	2.4e+00	1.42371e+04	7.3e+02
3.6202e+03	2.4e+00	1.32957e+04	6.2e+02
3.6239e+03	2.4e+00	1.44891e+04	2.5e+02
3.6277e+03	2.4e+00	1.40504e+04	3.1e+02
3.6314e+03	2.4e+00	1.41342e+04	5.9e+02
3.6351e+03	2.4e+00	1.49282e+04	1.5e+02
3.6388e+03	2.4e+00	1.49733e+04	2.2e+02
3.6425e+03	2.4e+00	1.67125e+04	1.5e+02
3.6462e+03	2.4e+00	1.66443e+04	9.8e+02
3.6500e+03	2.4e+00	1.80212e+04	8.7e+02
3.6537e+03	2.4e+00	1.77363e+04	2.2e+02
3.6574e+03	2.4e+00	1.99980e+04	4.1e+02
3.6611e+03	2.4e+00	1.89278e+04	4.0e+02
3.6648e+03	2.4e+00	1.95734e+04	3.9e+02
3.6685e+03	2.4e+00	2.17206e+04	4.4e+02
3.6723e+03	2.4e+00	2.30555e+04	8.6e+02
3.6760e+03	2.4e+00	2.26381e+04	9.0e+02
3.6797e+03	2.4e+00	2.60075e+04	1.6e+03
3.6834e+03	2.4e+00	2.64197e+04	9.8e+02
3.6871e+03	2.4e+00	2.81930e+04	1.1e+03
3.6908e+03	2.4e+00	2.92621e+04	1.3e+03
3.6945e+03	2.4e+00	3.05704e+04	7.5e+02
3.6982e+03	2.4e+00	3.11643e+04	8.6e+02
3.7019e+03	2.4e+00	3.63757e+04	5.5e+02
3.7057e+03	2.4e+00	4.21719e+04	1.0e+03
3.7094e+03	2.4e+00	4.27528e+04	7.5e+02
3.7131e+03	2.4e+00	4.14503e+04	7.1e+02
3.7168e+03	2.4e+00	4.37618e+04	1.5e+03
3.7205e+03	2.4e+00	5.28443e+04	1.9e+03
3.7242e+03	2.4e+00	6.14157e+04	1.5e+03
3.7279e+03	2.4e+00	6.46911e+04	2.8e+03
3.7316e+03	2.4e+00	5.85973e+04	1.2e+03
3.7353e+03	2.4e+00	5.61933e+04	1.6e+03
3.7390e+03	2.4e+00	6.47735e+04	3.7e+03
3.7427e+03	2.4e+00	7.69571e+04	3.0e+03
3.7464e+03	2.4e+00	9.85344e+04	2.9e+03
3.7501e+03	2.4e+00	1.13083e+05	3.0e+03
3.7539e+03	2.4e+00	1.11235e+05	2.6e+03
3.7576e+03	2.4e+00	1.04524e+05	4.0e+03
3.7613e+03	2.4e+00	9.01368e+04	1.9e+03
3.7650e+03	2.4e+00	8.43160e+04	3.2e+03
3.7687e+03	2.4e+00	9.55086e+04	4.4e+03
3.7724e+03	2.4e+00	1.24012e+05	3.6e+03
3.7761e+03	2.4e+00	1.57617e+05	6.6e+03
3.7798e+03	2.4e+00	1.87998e+05	6.7e+03
3.7835e+03	2.4e+00	2.03329e+05	7.7e+03
3.7872e+03	2.4e+00	2.20745e+05	7.0e+03
3.7909e+03	2.4e+00	2.08134e+05	6.7e+03
3.7946e+03	2.4e+00	1.98939e+05	8.3e+03
3.7983e+03	2.4e+00	1.74111e+05	6.2e+03
3.8020e+03	2.4e+00	1.37764e+05	4.5e+03
3.8057e+03	2.4e+00	1.29494e+05	4.3e+03
3.8094e+03	2.4e+00	1.59189e+05	7.1e+03
3.8131e+03	2.4e+00	2.14988e+05	7.0e+03
3.8168e+03	2.4e+00	2.74554e+05	7.7e+03
3.8205e+03	2.4e+00	3.13063e+05	1.1e+04
3.8242e+03	2.4e+00	3.57026e+05	1.1e+04
3.8279e+03	2.4e+00	3.86365e+05	1.2e+04
3.8315e+03	2.4e+00	4.07467e+05	1.4e+04
3.8352e+03	2.4e+00	4.22431e+05	1.2e+04
3.8389e+03	2.4e+00	4.35062e+05	1.6e+04
3.8426e+03	2.4e+00	4.27031e+05	1.6e+04
3.8463e+03	2.4e+00	4.12021e+05	1.6e+04
3.8500e+03	2.4e+00	3.78916e+05	1.0e+04
3.8537e+03	2.4e+00	3.26499e+05	1.1e+04
3.8574e+03	2.4e+00	2.59559e+05	9.8e+03
3.8611e+03	2.4e+00	2.20228e+05	7.6e+03
3.8648e+03	2.4e+00	2.40287e+05	5.5e+03
3.8685e+03	2.4e+00	3.07211e+05	9.1e+03
3.8722e+03	2.4e+00	3.96734e+05	1.0e+04
3.8759e+03	2.4e+00	4.72710e+05	1.3e+04
3.8795e+03	2.4e+00	5.33538e+05	1.8e+04
3.8832e+03	2.4e+00	5.80271e+05	1.5e+04
3.8869e+03	2.4e+00	6.14736e+05	1.8e+04
3.8906e+03	2.4e+00	6.37452e+05	1.7e+04
3.8943e+03	2.4e+00	6.68742e+05	2.3e+04
3.8980e+03	2.4e+00	6.86229e+05	2.0e+04
3.9017e+03	2.4e+00	6.79689e+05	2.2e+04
3.9054e+03	2.4e+00	6.66618e+05	2.0e+04
3.9090e+03	2.4e+00	6.53608e+05	1.7e+04
3.9127e+03	2.4e+00	6.83635e+05	2.3e+04
3.9164e+03	2.4e+00	7.07249e+05	2.0e+04
3.9201e+03	2.4e+00	6.99176e+05	2.0e+04
3.9238e+03	2.4e+00	6.86845e+05	2.3e+04
3.9275e+03	2.4e+00	6.74548e+05	1.8e+04
3.9312e+03	2.4e+00	6.24747e+05	1.6e+04
3.9348e+03	2.4e+00	5.63097e+05	1.7e+04
3.9385e+03	2.4e+00	4.75576e+05	1.4e+04
3.9422e+03	2.4e+00	3.72763e+05	1.4e+04
3.9459e+03	2.4e+00	3.01913e+05	9.8e+03
3.9496e+03	2.4e+00	3.07769e+05	9.3e+03
3.9532e+03	2.4e+00	3.83085e+05	1.2e+04
3.9569e+03	2.4e+00	4.84768e+05	1.6e+04
3.9606e+03	2.4e+00	5.83389e+05	1.8e+04
3.9643e+03	2.4e+00	6.50627e+05	1.9e+04
3.9680e+03	2.4e+00	7.11655e+05	2.0e+04
3.9716e+03	2.4e+00	7.41173e+05	2.0e+04
3.9753e+03	2.4e+00	7.76506e+05	2.3e+04
3.9790e+03	2.4e+00	7.81332e+05	2.1e+04
3.9827e+03	2.4e+00	7.86920e+05	2.2e+04
3.9864e+03	2.4e+00	7.92951e+05	2.7e+04
3.9900e+03	2.4e+00	8.02762e+05	3.0e+04
3.9937e+03	2.4e+00	8.09117e+05	2.6e+04
3.9974e+03	2.4e+00	8.16050e+05	2.6e+04
4.0011e+03	2.4e+00	8.07971e+05	2.2e+04
4.0047e+03	2.4e+00	8.06655e+05	2.0e+04
4.0084e+03	2.4e+00	8.07844e+05	1.8e+04
4.0121e+03	2.4e+00	7.99220e+05	2.2e+04
4.0158e+03	2.4e+00	8.03112e+05	2.4e+04
4.0194e+03	2.4e+00	7.95231e+05	1.8e+04
4.0231e+03	2.4e+00	7.82444e+05	1.9e+04
4.0268e+03	2.4e+00	7.83419e+05	2.0e+04
4.0304e+03	2.4e+00	7.72074e+05	1.9e+04
4.0341e+03	2.4e+00	7.71287e+05	1.9e+04
4.0378e+03	2.4e+00	7.65117e+05	2.2e+04
4.0415e+03	2.4e+00	7.56506e+05	1.8e+04
4.0451e+03	2.4e+00	7.45949e+05	1.7e+04
4.0488e+03	2.4e+00	7.42110e+05	1.8e+04
4.0525e+03	2.4e+00	7.25552e+05	1.9e+04
4.0561e+03	2.4e+00	7.03522e+05	1.7e+04
4.0598e+03	2.4e+00	6.89725e+05	1.8e+04
4.0635e+03	2.4e+00	6.60277e+05	1.7e+04
4.0671e+03	2.4e+00	6.20565e+05	1.4e+04
4.0708e+03	2.4e+00	5.67494e+05	1.4e+04
4.0745e+03	2.4e+00	4.91899e+05	1.3e+04
4.0781e+03	2.4e+00	4.03706e+05	8.6e+03
4.0818e+03	2.4e+00	3.11911e+05	6.9e+03
4.0855e+03	2.4e+00	2.78603e+05	6.3e+03
4.0891e+03	2.4e+00	3.03241e+05	7.5e+03
4.0928e+03	2.4e+00	3.89902e+05	9.2e+03
4.0965e+03	2.4e+00	4.76557e+05	1.1e+04
4.1001e+03	2.4e+00	5.43398e+05	1.3e+04
4.1038e+03	2.4e+00	5.87351e+05	1.1e+04
4.1075e+03	2.4e+00	6.23436e+05	1.2e+04
4.1111e+03	2.4e+00	6.29280e+05	1.3e+04
4.1148e+03	2.4e+00	6.52589e+05	1.3e+04
4.1184e+03	2.4e+00	6.53143e+05	1.1e+04
4.1221e+03	2.4e+00	6.74630e+05	1.4e+04
4.1258e+03	2.4e+00	6.69355e+05	1.4e+04
4.1294e+03	2.4e+00	6.83019e+05	1.4e+04
4.1331e+03	2.4e+00	6.75648e+05	1.4e+04
4.1367e+03	2.4e+00	6.73344e+05	1.5e+04
4.1404e+03	2.4e+00	6.85003e+05	1.3e+04
4.1441e+03	2.4e+00	6.87078e+05	1.5e+04
4.1477e+03	2.4e+00	6.85514e+05	1.3e+04
4.1514e+03	2.4e+00	6.83367e+05	1.5e+04
4.1550e+03	2.4e+00	6.84421e+05	1.7e+04
4.1587e+03	2.4e+00	6.79301e+05	1.2e+04
4.1623e+03	2.4e+00	6.80253e+05	1.7e+04
4.1660e+03	2.4e+00	6.78245e+05	1.1e+04
4.1697e+03	2.4e+00	6.80244e+05	1.7e+04
4.1733e+03	2.4e+00	6.78659e+05	1.6e+04
4.1770e+03	2.4e+00	6.78283e+05	1.3e+04
4.1806e+03	2.4e+00	6.83656e+05	1.2e+04
4.1843e+03	2.4e+00	6.86004e+05	1.4e+04
4.1879e+03	2.4e+00	6.87329e+05	1.3e+04
4.1916e+03	2.4e+00	6.82323e+05	1.4e+04
4.1952e+03	2.4e+00	6.82464e+05	1.2e+04
4.1989e+03	2.4e+00	6.80944e+05	1.4e+04
4.2025e+03	2.4e+00	6.76253e+05	1.1e+04
4.2062e+03	2.4e+00	6.72649e+05	1.2e+04
4.2098e+03	2.4e+00	6.71603e+05	9.8e+03
4.2135e+03	2.4e+00	6.68888e+05	1.4e+04
4.2171e+03	2.4e+00	6.62597e+05	1.3e+04
4.2208e+03	2.4e+00	6.61944e+05	1.3e+04
4.2244e+03	2.4e+00	6.68609e+05	1.0e+04
4.2281e+03	2.4e+00	6.64639e+05	1.0e+04
4.2317e+03	2.4e+00	6.53463e+05	1.1e+04
4.2354e+03	2.4e+00	6.55942e+05	1.3e+04
4.2390e+03	2.4e+00	6.59799e+05	1.1e+04
4.2427e+03	2.4e+00	6.57409e+05	1.3e+04
4.2463e+03	2.4e+00	6.49127e+05	1.3e+04
4.2500e+03	2.4e+00	6.55827e+05	1.2e+04
4.2536e+03	2.4e+00	6.54524e+05	1.2e+04
4.2572e+03	2.4e+00	6.48355e+05	1.2e+04
4.2609e+03	2.4e+00	6.41958e+05	1.0e+04
4.2645e+03	2.4e+00	6.42408e+05	1.2e+04
4.2682e+03	2.4e+00	6.45019e+05	1.2e+04
4.2718e+03	2.4e+00	6.43246e+05	1.2e+04
4.2755e+03	2.4e+00	6.35570e+05	1.1e+04
4.2791e+03	2.4e+00	6.26249e+05	9.6e+03
4.2827e+03	2.4e+00	6.23299e+05	1.3e+04
4.2864e+03	2.4e+00	6.15278e+05	1.1e+04
4.2900e+03	2.4e+00	6.04369e+05	8.7e+03
4.2937e+03	2.4e+00	6.05946e+05	9.9e+03
4.2973e+03	2.4e+00	5.88286e+05	1.0e+04
4.3010e+03	2.4e+00	5.86796e+05	9.9e+03
4.3046e+03	2.4e+00	5.73007e+05	9.3e+03
4.3082e+03	2.4e+00	5.57642e+05	8.3e+03
4.3119e+03	2.4e+00	5.38185e+05	9.6e+03
4.3155e+03	2.4e+00	5.04342e+05	8.4e+03
4.3191e+03	2.4e+00	4.57525e+05	6.9e+03
4.3228e+03	2.4e+00	4.01298e+05	7.0e+03
4.3264e+03	2.4e+00	3.24506e+05	4.6e+03
4.3301e+03	2.4e+00	2.61369e+05	3.9e+03
4.3337e+03	2.4e+00	2.51332e+05	3.8e+03
4.3373e+03	2.4e+00	2.90290e+05	5.1e+03
4.3410e+03	2.4e+00	3.64425e+05	5.1e+03
4.3446e+03	2.4e+00	4.28731e+05	7.2e+03
4.3482e+03	2.4e+00	4.76286e+05	8.6e+03
4.3519e+03	2.4e+00	5.11537e+05	8.3e+03
4.3555e+03	2.4e+00	5.36014e+05	7.8e+03
4.3591e+03	2.4e+00	5.46750e+05	7.2e+03
4.3628e+03	2.4e+00	5.55840e+05	7.0e+03
4.3664e+03	2.4e+00	5.62892e+05	7.2e+03
4.3700e+03	2.4e+00	5.67948e+05	8.6e+03
4.3737e+03	2.4e+00	5.67620e+05	8.4e+03
4.3773e+03	2.4e+00	5.66638e+05	8.6e+03
4.3809e+03	2.4e+00	5.62666e+05	7.4e+03
4.3845e+03	2.4e+00	5.67598e+05	6.4e+03
4.3882e+03	2.4e+00	5.68647e+05	8.7e+03
4.3918e+03	2.4e+00	5.63130e+05	5.8e+03
4.3954e+03	2.4e+00	5.64955e+05	4.9e+03
4.3991e+03	2.4e+00	5.68565e+05	8.2e+03
4.4027e+03	2.4e+00	5.64059e+05	7.6e+03
4.4063e+03	2.4e+00	5.59996e+05	6.0e+03
4.4099e+03	2.4e+00	5.57689e+05	6.7e+03
4.4136e+03	2.4e+00	5.56763e+05	6.3e+03
4.4172e+03	2.4e+00	5.58318e+05	5.6e+03
4.4208e+03	2.4e+00	5.61826e+05	4.7e+03
4.4244e+03	2.4e+00	5.56027e+05	4.7e+03
4.4281e+03	2.4e+00	5.55939e+05	6.0e+03
4.4317e+03	2.4e+00	5.54607e+05	6.6e+03
4.4353e+03	2.4e+00	5.44880e+05	6.8e+03
4.4389e+03	2.4e+00	5.41017e+05	4.8e+03
4.4426e+03	2.4e+00	5.39200e+05	6.1e+03
4.4462e+03	2.4e+00	5.39512e+05	6.8e+03
4.4498e+03	2.4e+00	5.36195e+05	5.6e+03
4.4534e+03	2.4e+00	5.40777e+05	6.2e+03
4.4570e+03	2.4e+00	5.34501e+05	6.6e+03
4.4607e+03	2.4e+00	5.33019e+05	5.8e+03
4.4643e+03	2.4e+00	5.23381e+05	6.0e+03
4.4679e+03	2.4e+00	5.22886e+05	5.2e+03
4.4715e+03	2.4e+00	5.14128e+05	6.2e+03
4.4751e+03	2.4e+00	5.09865e+05	5.3e+03
4.4788e+03	2.4e+00	5.09013e+05	4.5e+03
4.4824e+03	2.4e+00	5.05888e+05	6.1e+03
4.4860e+03	2.4e+00	5.13223e+05	5.9e+03
4.4896e+03	2.4e+00	5.04117e+05	5.4e+03
4.4932e+03	2.4e+00	5.11348e+05	4.4e+03
4.4968e+03	2.4e+00	5.11310e+05	4.2e+03
4.5005e+03	2.4e+00	5.05304e+05	5.4e+03
4.5041e+03	2.4e+00	5.06275e+05	3.8e+03
4.5077e+03	2.4e+00	5.01237e+05	4.7e+03
4.5113e+03	2.4e+00	4.98095e+05	4.7e+03
4.5149e+03	2.4e+00	4.91566e+05	5.3e+03
4.5185e+03	2.4e+00	4.94061e+05	4.4e+03
4.5221e+03	2.4e+00	4.88403e+05	3.3e+03
4.5258e+03	2.4e+00	4.86031e+05	3.0e+03
4.5294e+03	2.4e+00	4.84361e+05	3.5e+03
4.5330e+03	2.4e+00	4.85315e+05	4.1e+03
4.5366e+03	2.4e+00	4.85394e+05	4.5e+03
4.5402e+03	2.4e+00	4.83406e+05	5.0e+03
4.5438e+03	2.4e+00	4.75097e+05	5.0e+03
4.5474e+03	2.4e+00	4.71735e+05	4.5e+03
4.5510e+03	2.4e+00	4.71482e+05	4.1e+03
4.5546e+03	2.4e+00	4.73967e+05	3.4e+03
4.5582e+03	2.4e+00	4.71757e+05	2.3e+03
4.5619e+03	2.4e+00	4.65506e+05	3.7e+03
4.5655e+03	2.4e+00	4.65023e+05	4.3e+03
4.5691e+03	2.4e+00	4.65317e+05	2.2e+03
4.5727e+03	2.4e+00	4.60581e+05	2.7e+03
4.5763e+03	2.4e+00	4.53701e+05	4.8e+03
4.5799e+03	2.4e+00	4.49994e+05	3.6e+03
