# lambda [A]	Dlambda [A]	specval [counts]
4.293121200665395008e+03	1.585520621748788717e+00	3.540642459881893274e+02
4.295687927590934123e+03	1.582176631145521428e+00	3.069139179392832943e+02
4.298254436927042661e+03	1.578840896069166666e+00	3.381207150254018075e+02
4.300820728673720623e+03	1.575513425424856395e+00	2.476219963232445878e+02
4.303386802830968008e+03	1.572194228120331605e+00	3.115743678027231454e+02
4.305952659398784817e+03	1.568883313065441598e+00	3.030926747780741266e+02
4.308518298377171050e+03	1.565580689171709006e+00	3.319801328105871221e+02
4.311083719766127615e+03	1.562286365351879702e+00	2.850343232571479462e+02
4.313648923565652694e+03	1.559000350519456735e+00	2.631156924267953627e+02
4.316213909775748107e+03	1.555722653588254678e+00	3.042975193994813026e+02
4.318778678396412943e+03	1.552453283471899370e+00	2.855100737846416337e+02
4.321343229427647202e+03	1.549192249083332307e+00	3.171401606704938558e+02
4.323907562869450885e+03	1.545939559334379210e+00	3.435409034582797290e+02
4.326471678721823992e+03	1.542695223135199800e+00	4.163499913861893447e+02
4.329035576984766521e+03	1.539459249393820395e+00	4.197770433156078980e+02
4.331599257658279384e+03	1.536231647015617208e+00	3.714009578391951436e+02
4.334162720742361671e+03	1.533012424902788107e+00	3.549453195821133136e+02
4.336725966237013381e+03	1.529801591953865003e+00	3.869111113833569675e+02
4.339288994142234515e+03	1.526599157063148304e+00	3.974219542070742364e+02
4.341851804458025072e+03	1.523405129120209311e+00	4.083632416450043934e+02
4.344414397184385052e+03	1.520219517009308907e+00	3.837857791291324929e+02
4.346976772321314456e+03	1.517042329608874862e+00	3.871686208342788973e+02
4.349538929868814193e+03	1.513873575790966708e+00	2.936991357804245126e+02
4.352100869826882445e+03	1.510713264420657342e+00	3.190064107352455949e+02
4.354662592195521029e+03	1.507561404355528767e+00	2.750615699292335989e+02
4.357224096974729036e+03	1.504418004445006618e+00	2.798183529682605126e+02
4.359785384164506468e+03	1.501283073529904089e+00	3.292776345469350190e+02
4.362346453764854232e+03	1.498156620441699172e+00	3.337895253648268863e+02
4.364907305775770510e+03	1.495038654002040834e+00	3.268884561486571556e+02
4.367467940197256212e+03	1.491929183022067784e+00	3.785241436388453167e+02
4.370028357029312247e+03	1.488828216301839591e+00	3.609888149008751839e+02
4.372588556271937705e+03	1.485735762629721846e+00	3.234312397966468211e+02
4.375148537925131677e+03	1.482651830781716473e+00	3.553919296245375108e+02
4.377708301988895983e+03	1.479576429520898628e+00	3.546416764843075384e+02
4.380267848463229711e+03	1.476509567596680395e+00	3.463230963911673825e+02
4.382827177348133773e+03	1.473451253744252565e+00	2.642378527592356363e+02
4.385386288643606349e+03	1.470401496683866105e+00	2.795265760406908839e+02
4.387945182349649258e+03	1.467360305120196884e+00	2.767668216239719072e+02
4.390503858466261590e+03	1.464327687741675099e+00	2.812964251690429478e+02
4.393062316993443346e+03	1.461303653219801379e+00	2.529827185257455824e+02
4.395620557931194526e+03	1.458288210208446456e+00	2.780596322210493554e+02
4.398178581279515129e+03	1.455281367343196131e+00	2.917218248168162518e+02
4.400736387038405155e+03	1.452283133240596324e+00	2.681580204212859826e+02
4.403293975207864605e+03	1.449293516497473844e+00	2.712359928300617753e+02
4.405851345787894388e+03	1.446312525690264028e+00	2.567563337910963241e+02
4.408408498778493595e+03	1.443340169374188742e+00	2.611780894883233941e+02
4.410965434179662225e+03	1.440376456082608447e+00	2.483813259190586393e+02
4.413522151991400278e+03	1.437421394326233504e+00	2.289460075237426508e+02
4.416078652213707755e+03	1.434474992592396969e+00	2.800960905374982417e+02
4.418634934846584656e+03	1.431537259344330071e+00	2.744136640981974438e+02
4.421190999890031890e+03	1.428608203020336198e+00	3.087882749947881962e+02
4.423746847344047637e+03	1.425687832033064817e+00	3.156351728975964761e+02
4.426302477208633718e+03	1.422776154768723877e+00	2.960661622734502885e+02
4.428857889483789222e+03	1.419873179586295997e+00	2.913308098916022573e+02
4.431413084169514150e+03	1.416978914816739543e+00	2.711096140339640783e+02
4.433968061265808501e+03	1.414093368762198599e+00	2.491828428036684215e+02
4.436522820772672276e+03	1.411216549695188949e+00	2.463415548135573374e+02
4.439077362690105474e+03	1.408348465857773624e+00	2.293862874430404020e+02
4.441631687018109005e+03	1.405489125460752664e+00	2.574659389692616287e+02
4.444185793756681960e+03	1.402638536682838444e+00	2.382412624165344539e+02
4.446739682905823429e+03	1.399796707669780371e+00	2.507741524546469805e+02
4.449293354465535231e+03	1.396963646533559089e+00	2.629655583472878675e+02
4.451846808435816456e+03	1.394139361351522055e+00	2.202818489867361222e+02
4.454400044816668014e+03	1.391323860165491144e+00	2.231436746585373783e+02
4.456953063608088087e+03	1.388517150980943970e+00	2.270361391535795690e+02
4.459505864810078492e+03	1.385719241766101062e+00	2.355267364515619022e+02
4.462058448422637412e+03	1.382930140451036127e+00	2.166186190092880963e+02
4.464610814445766664e+03	1.380149854926828956e+00	2.069594350540827747e+02
4.467162962879465340e+03	1.377378393044615734e+00	2.524592092645730759e+02
4.469714893723733439e+03	1.374615762614684655e+00	2.240418803135376038e+02
4.472266606978570962e+03	1.371861971405603731e+00	2.625819347329837683e+02
4.474818102643977909e+03	1.369117027143261778e+00	2.821021208252573160e+02
4.477369380719955188e+03	1.366380937509937832e+00	2.728552171271477960e+02
4.479920441206501891e+03	1.363653710143405640e+00	2.767145386751563478e+02
4.482471284103617108e+03	1.360935352635895379e+00	2.846149136705796536e+02
4.485021909411302659e+03	1.358225872533266099e+00	2.943729040410133280e+02
4.487572317129557632e+03	1.355525277333952783e+00	2.056981883459430378e+02
4.490122507258382029e+03	1.352833574488034873e+00	2.390352468378582671e+02
4.492672479797776759e+03	1.350150771396237515e+00	2.584787523167712493e+02
4.495222234747740004e+03	1.347476875409022501e+00	2.901816357529925199e+02
4.497771772108272671e+03	1.344811893825484939e+00	2.833491757583824437e+02
4.500321091879375672e+03	1.342155833892467287e+00	3.116878931736540039e+02
4.502870194061048096e+03	1.339508702803456908e+00	3.209962179309177372e+02
4.505419078653289944e+03	1.336870507697687671e+00	3.491517461593019789e+02
4.507967745656101215e+03	1.334241255659027070e+00	3.764362423044494221e+02
4.510516195069481910e+03	1.331620953715000555e+00	3.661342601401530032e+02
4.513064426893432938e+03	1.329009608835740597e+00	3.310254482137643208e+02
4.515612441127952479e+03	1.326407227932964172e+00	2.958860551450229082e+02
4.518160237773042354e+03	1.323813817858934483e+00	2.450234473193897315e+02
4.520707816828701652e+03	1.321229385405368051e+00	2.758756904523835942e+02
4.523255178294930374e+03	1.318653937302435519e+00	2.404183046800898467e+02
4.525802322171728520e+03	1.316087480217682071e+00	2.464442099952832166e+02
4.528349248459096088e+03	1.313530020754898109e+00	2.327913080682214115e+02
4.530895957157033990e+03	1.310981565453128495e+00	2.428827792833149886e+02
4.533442448265540406e+03	1.308442120785557883e+00	2.183917426375640503e+02
4.535988721784617155e+03	1.305911693158371856e+00	2.022997647489672772e+02
4.538534777714263328e+03	1.303390288909732853e+00	2.069920256645917220e+02
4.541080616054478924e+03	1.300877914308662175e+00	2.456591965329728851e+02
4.543626236805263943e+03	1.298374575553911114e+00	2.990204278759870817e+02
4.546171639966618386e+03	1.295880278772825855e+00	3.316232368267421293e+02
4.548716825538542253e+03	1.293395030020288994e+00	2.887082267965443521e+02
4.551261793521036452e+03	1.290918835277605092e+00	2.534113344574259656e+02
4.553806543914100075e+03	1.288451700451256343e+00	2.564138016415005836e+02
4.556351076717732212e+03	1.285993631371887380e+00	2.076624637810337219e+02
4.558895391931934682e+03	1.283544633793120227e+00	2.276852756671928546e+02
4.561439489556706576e+03	1.281104713390374794e+00	2.081008229052008858e+02
4.563983369592048803e+03	1.278673875759801071e+00	2.275985222124907352e+02
4.566527032037959543e+03	1.276252126417022570e+00	2.208720863438482525e+02
4.569070476894439707e+03	1.273839470796041429e+00	2.154051046912999254e+02
4.571613704161490205e+03	1.271435914248067789e+00	2.000480454990100156e+02
4.574156713839110125e+03	1.269041462040331414e+00	2.372178860655185417e+02
4.576699505927299469e+03	1.266656119354895527e+00	2.322287053316327103e+02
4.579242080426058237e+03	1.264279891287494406e+00	2.383254140128129563e+02
4.581784437335386428e+03	1.261912782846382530e+00	2.307155967187583201e+02
4.584326576655284043e+03	1.259554798951079801e+00	2.812318357535009454e+02
4.586868498385751991e+03	1.257205944431218247e+00	2.582286568570337408e+02
4.589410202526788453e+03	1.254866224025346755e+00	2.531316017833536307e+02
4.591951689078395248e+03	1.252535642379708714e+00	2.652699089554308216e+02
4.594492958040571466e+03	1.250214204047072286e+00	2.578563812371614290e+02
4.597034009413317108e+03	1.247901913485496506e+00	2.357729385450926713e+02
4.599574843196632173e+03	1.245598775057137786e+00	2.352154285719452105e+02
4.602115459390516662e+03	1.243304793027026456e+00	2.197464401557571989e+02
4.604655857994971484e+03	1.241019971561867052e+00	2.442230679011313441e+02
4.607196039009994820e+03	1.238744314728763118e+00	2.667285148406357393e+02
4.609736002435588489e+03	1.236477826494122079e+00	2.659086138367823651e+02
4.612275748271750672e+03	1.234220510722270570e+00	2.669114355930858551e+02
4.614815276518483188e+03	1.231972371174355319e+00	2.433063284950007699e+02
4.617354587175786037e+03	1.229733411507045959e+00	2.241620882921909583e+02
4.619893680243657400e+03	1.227503635271333771e+00	2.255069239296070975e+02
4.622432555722098186e+03	1.225283045911294222e+00	1.864356458159232091e+02
4.624971213611109306e+03	1.223071646762859732e+00	1.858100003743839750e+02
4.627509653910689849e+03	1.220869441052561788e+00	1.998982433756780210e+02
4.630047876620838906e+03	1.218676431896323908e+00	1.911518144960699317e+02
4.632585881741558296e+03	1.216492622298219306e+00	1.919130557068659186e+02
4.635123669272847110e+03	1.214318015149187024e+00	1.573382138303435909e+02
4.637661239214706256e+03	1.212152613225897735e+00	1.777170887449202326e+02
4.640198591567133917e+03	1.209996419189393491e+00	2.062553915912993148e+02
4.642735726330131911e+03	1.207849435583930431e+00	1.990315058135757624e+02
4.645272643503698418e+03	1.205711664835716235e+00	1.613082928159982146e+02
4.647809343087835259e+03	1.203583109251677996e+00	1.768171204944435146e+02
4.650345825082541523e+03	1.201463771018194127e+00	1.792452701297952160e+02
4.652882089487817211e+03	1.199353652199887099e+00	1.944881182322622237e+02
4.655418136303662322e+03	1.197252754738397318e+00	2.164708260261447208e+02
4.657953965530077767e+03	1.195161080451107027e+00	2.192555984059939362e+02
4.660489577167061725e+03	1.193078631029941494e+00	2.557759513099977937e+02
4.663024971214616016e+03	1.191005408040118008e+00	2.271201765019811205e+02
4.665560147672739731e+03	1.188941412918909313e+00	2.020299689997001735e+02
4.668095106541431960e+03	1.186886646974461890e+00	2.028034721424733391e+02
4.670629847820694522e+03	1.184841111384485224e+00	1.841527915691511623e+02
4.673164371510527417e+03	1.182804807195117602e+00	1.954541002831212211e+02
4.675698677610928826e+03	1.180777735319638921e+00	1.836637409856439831e+02
4.678232766121899658e+03	1.178759896537255658e+00	1.910949224213372304e+02
4.680766637043440824e+03	1.176751291491929807e+00	1.842608651956913377e+02
4.683300290375551413e+03	1.174751920691140317e+00	1.891516783271847260e+02
4.685833726118231425e+03	1.172761784504676053e+00	1.573565579719582388e+02
4.688366944271480861e+03	1.170780883163399011e+00	1.884289322832086384e+02
4.690899944835299721e+03	1.168809216758112113e+00	1.762464560768867727e+02
4.693432727809688004e+03	1.166846785238294215e+00	1.706994381539282983e+02
4.695965293194646620e+03	1.164893588410970349e+00	1.687948957405587009e+02
4.698497640990173750e+03	1.162949625939457388e+00	1.762949345444554581e+02
4.701029771196271213e+03	1.161014897342243835e+00	1.731181344039198393e+02
4.703561683812938099e+03	1.159089401991794110e+00	1.778222413056263065e+02
4.706093378840174410e+03	1.157173139113317761e+00	1.426225256240535089e+02
4.708624856277980143e+03	1.155266107783738949e+00	1.595210802430869990e+02
4.711156116126355300e+03	1.153368306930384612e+00	1.926107190314593822e+02
4.713687158385300791e+03	1.151479735329948406e+00	1.629097021889888879e+02
4.716217983054814795e+03	1.149600391607290550e+00	1.107222679904796507e+02
4.718748590134899132e+03	1.147730274234299630e+00	1.611469527956277545e+02
4.721278979625552893e+03	1.145869381528790809e+00	1.820788454235176914e+02
4.723809151526776077e+03	1.144017711653327218e+00	1.625997054179307213e+02
4.726339105838568685e+03	1.142175262614203435e+00	1.886925672948460715e+02
4.728868842560930716e+03	1.140342032260218685e+00	1.991878580295081633e+02
4.731398361693862171e+03	1.138518018281652333e+00	2.060993893971135265e+02
4.733927663237363049e+03	1.136703218209159871e+00	2.080265466852236784e+02
4.736456747191434260e+03	1.134897629412653375e+00	2.075319678047608818e+02
4.738985613556074895e+03	1.133101249100272101e+00	2.016986187948161842e+02
4.741514262331284954e+03	1.131314074317337548e+00	1.772605731610080682e+02
4.744042693517064436e+03	1.129536101945236348e+00	1.649170287630569192e+02
4.746570907113413341e+03	1.127767328700414406e+00	1.766358372140665551e+02
4.749098903120332579e+03	1.126007751133316859e+00	1.619964663050905074e+02
4.751626681537820332e+03	1.124257365627402860e+00	1.880394926660728459e+02
4.754154242365878417e+03	1.122516168398107972e+00	1.711485004105155951e+02
4.756681585604505017e+03	1.120784155491873380e+00	1.647947457552240849e+02
4.759208711253701949e+03	1.119061322785073864e+00	1.430490459382220649e+02
4.761735619313468305e+03	1.117347665983127181e+00	1.841065406537891533e+02
4.764262309783804994e+03	1.115643180619514396e+00	2.166473126806747871e+02
4.766788782664710197e+03	1.113947862054762483e+00	2.313593160652698089e+02
4.769315037956184824e+03	1.112261705475564133e+00	2.329395076084403797e+02
4.771841075658229784e+03	1.110584705893836066e+00	2.423858280543553008e+02
4.774366895770844167e+03	1.108916858145789552e+00	2.130680615507085633e+02
4.776892498294027973e+03	1.107258156891032908e+00	1.662200320953704420e+02
4.779417883227781203e+03	1.105608596611648675e+00	1.526204896322395541e+02
4.781943050572103857e+03	1.103968171611402038e+00	1.428254072448309557e+02
4.784468000326995934e+03	1.102336876014819556e+00	1.580269246771352982e+02
4.786992732492458344e+03	1.100714703766302982e+00	1.400790258646391919e+02
4.789517247068489269e+03	1.099101648629366101e+00	1.630796687437700712e+02
4.792041544055090526e+03	1.097497704185797174e+00	1.604956516457530427e+02
4.794565623452261207e+03	1.095902863834834928e+00	1.547364756381306563e+02
4.797089485260001311e+03	1.094317120792387854e+00	1.504744886490465774e+02
4.799613129478310839e+03	1.092740468090279915e+00	1.502420608320044551e+02
4.802136556107189790e+03	1.091172898575468064e+00	1.645357103926673972e+02
4.804659765146639074e+03	1.089614404909313938e+00	1.484321196760412533e+02
4.807182756596656873e+03	1.088064979566892188e+00	1.709246881831461451e+02
4.809705530457245004e+03	1.086524614836165359e+00	1.895948294132118122e+02
4.812228086728402559e+03	1.084993302817500949e+00	2.239647435305926138e+02
4.814750425410129537e+03	1.083471035422756357e+00	2.112956475910297343e+02
4.817272546502425939e+03	1.081957804374797716e+00	2.199823134517505423e+02
4.819794450005291765e+03	1.080453601206776915e+00	2.057818684999128607e+02
4.822316135918727923e+03	1.078958417261561165e+00	2.277761984253866956e+02
4.824837604242732596e+03	1.077472243691077969e+00	2.034367972127323014e+02
4.827358854977307601e+03	1.075995071455762897e+00	2.250301486604315357e+02
4.829879888122452030e+03	1.074526891323978939e+00	2.557693168419847325e+02
4.832400703678165883e+03	1.073067693871502470e+00	2.253821358528757344e+02
4.834921301644449159e+03	1.071617469480920404e+00	2.714709353768956817e+02
4.837441682021301858e+03	1.070176208341194313e+00	2.343665978739304592e+02
4.839961844808723981e+03	1.068743900447168604e+00	2.397995678855134543e+02
4.842481790006716437e+03	1.067320535599014075e+00	1.820062210158737059e+02
4.845001517615277407e+03	1.065906103401875304e+00	1.807970286963713988e+02
4.847521027634408711e+03	1.064500593265353956e+00	1.791458874828289254e+02
4.850040320064109437e+03	1.063103994403223451e+00	1.669486721260937543e+02
4.852559394904379587e+03	1.061716295832870971e+00	1.590787441578008554e+02
4.855078252155219161e+03	1.060337486375074967e+00	1.724393425616320314e+02
4.857596891816628158e+03	1.058967554653547971e+00	1.626552631079418916e+02
4.860115313888607488e+03	1.057606489094681690e+00	1.746920367351820005e+02
4.862633518371155333e+03	1.056254277927205720e+00	1.927121619938690742e+02
4.865151505264273510e+03	1.054910909181900669e+00	2.220727532003013494e+02
4.867669274567961111e+03	1.053576370691354569e+00	2.196171740953639357e+02
4.870186826282218135e+03	1.052250650089704642e+00	2.316355459411457218e+02
4.872704160407044583e+03	1.050933734812369069e+00	1.741400313695544639e+02
4.875221276942440454e+03	1.049625612095954619e+00	1.701468398228218177e+02
4.877738175888406658e+03	1.048326268977991527e+00	1.669874934062184195e+02
4.880254857244942286e+03	1.047035692296777176e+00	1.833697834540382132e+02
4.882771321012046428e+03	1.045753868691311039e+00	1.860810981020495376e+02
4.885287567189720903e+03	1.044480784601121925e+00	2.125857030975577686e+02
4.887803595777964802e+03	1.043216426266200481e+00	2.149999201837747762e+02
4.890319406776778123e+03	1.041960779726933017e+00	1.849989117203474791e+02
4.892835000186161778e+03	1.040713830824058883e+00	1.680773070668031153e+02
4.895350376006113947e+03	1.039475565198636486e+00	1.670205800943655277e+02
4.897865534236636449e+03	1.038245968292086596e+00	1.709338661131554602e+02
4.900380474877727465e+03	1.037025025346164808e+00	1.711533859673068036e+02
4.902895197929388814e+03	1.035812721403064351e+00	1.640542795549701225e+02
4.905409703391619587e+03	1.034609041305399657e+00	1.512144393103600351e+02
4.907923991264419783e+03	1.033413969696432178e+00	1.509280540031529938e+02
4.910438061547790312e+03	1.032227491020080379e+00	1.540141048176637639e+02
4.912951914241729355e+03	1.031049589521116694e+00	1.628860191754573634e+02
4.915465549346237822e+03	1.029880249245333390e+00	1.459013696167933745e+02
4.917978966861316621e+03	1.028719454039664249e+00	1.526196603003908763e+02
4.920492166786964845e+03	1.027567187552493655e+00	1.557758077163609585e+02
4.923005149123182491e+03	1.026423433233859539e+00	1.312921558303041252e+02
4.925517913869969561e+03	1.025288174335686087e+00	1.343259013112088383e+02
4.928030461027326055e+03	1.024161393912082829e+00	1.305539878406947025e+02
4.930542790595252882e+03	1.023043074819686149e+00	1.525621156226492872e+02
4.933054902573748222e+03	1.021933199717930840e+00	1.392526064302343514e+02
4.935566796962813896e+03	1.020831751069452453e+00	1.472814121637789242e+02
4.938078473762448994e+03	1.019738711140461218e+00	1.397361893532800536e+02
4.940589932972653514e+03	1.018654062001103755e+00	1.294808921725697246e+02
4.943101174593427459e+03	1.017577785525979994e+00	1.320010815479281518e+02
4.945612198624770826e+03	1.016509863394483348e+00	1.424987079026138304e+02
4.948123005066683618e+03	1.015450277091372699e+00	1.373765289323964396e+02
4.950633593919166742e+03	1.014399007907187178e+00	1.294000314231597883e+02
4.953143965182218381e+03	1.013356036938823923e+00	1.220173965379004954e+02
4.955654118855840352e+03	1.012321345090098523e+00	1.270583183686445636e+02
4.958164054940031747e+03	1.011294913072257273e+00	1.365701510847853797e+02
4.960673773434792565e+03	1.010276721404577582e+00	1.245196466419294268e+02
4.963183274340122807e+03	1.009266750415048097e+00	1.418104721519577538e+02
4.965692557656022473e+03	1.008264980240936914e+00	1.636362893111793539e+02
4.968201623382491562e+03	1.007271390829483693e+00	1.677086378513988052e+02
4.970710471519530984e+03	1.006285961938606643e+00	1.483538425580072158e+02
4.973219102067139829e+03	1.005308673137548903e+00	1.366877646443602146e+02
4.975727515025318098e+03	1.004339503807681444e+00	1.530798562973028254e+02
4.978235710394065791e+03	1.003378433143230053e+00	1.214885201539223658e+02
4.980743688173382907e+03	1.002425440152040492e+00	1.161163380497274744e+02
4.983251448363269446e+03	1.001480503656406729e+00	1.305367677903476249e+02
4.985758990963726319e+03	1.000543602293881396e+00	1.358680196912023064e+02
4.988266315974751706e+03	9.996147145180787064e-01	1.250914369635590759e+02
4.990773423396347425e+03	9.986938185996221407e-01	1.368563304105937277e+02
4.993280313228512568e+03	9.977808926270201884e-01	1.295028591620771010e+02
4.995786985471247135e+03	9.968759145074943540e-01	1.350967831355750377e+02
4.998293440124551125e+03	9.959788619680490784e-01	1.312604463861431441e+02
5.000799677188424539e+03	9.950897125562718770e-01	1.164108183442746309e+02
5.003305696662868286e+03	9.942084436414753146e-01	1.212000920079158135e+02
5.005811498547880547e+03	9.933350324155683087e-01	1.424953213088376174e+02
5.008317082843463140e+03	9.924694558941414835e-01	1.355470309491344665e+02
5.010822449549615158e+03	9.916116909175093364e-01	1.255751301889088296e+02
5.013327598666336598e+03	9.907617141517299775e-01	1.343987846988046329e+02
5.015832530193627463e+03	9.899195020897321173e-01	1.390864984271737512e+02
5.018337244131487751e+03	9.890850310523900957e-01	1.491489659652584692e+02
5.020841740479917462e+03	9.882582771896993856e-01	1.461001938005680927e+02
5.023346019238917506e+03	9.874392164818269757e-01	1.401406063423732746e+02
5.025850080408486065e+03	9.866278247403629242e-01	1.858796792195157366e+02
5.028353923988624956e+03	9.858240776094678859e-01	1.272717276807443341e+02
5.030857549979333271e+03	9.850279505671208913e-01	1.009137655674963270e+02
5.033360958380611009e+03	9.842394189262329007e-01	1.243413216289707606e+02
5.035864149192459081e+03	9.834584578360341389e-01	1.343646997561000092e+02
5.038367122414875666e+03	9.826850422831820975e-01	1.106685956808838824e+02
5.040869878047861675e+03	9.819191470932076005e-01	1.166474115879677669e+02
5.043372416091418017e+03	9.811607469316452335e-01	1.157505661731953523e+02
5.045874736545543783e+03	9.804098163055011694e-01	1.436975439488200550e+02
