# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.1770e+03	2.4e+00	1.496982e+03	4.6e+01
4.1806e+03	2.4e+00	2.299171e+03	3.9e+01
4.1843e+03	2.4e+00	3.080253e+03	6.6e+01
4.1879e+03	2.4e+00	2.997499e+03	6.4e+01
4.1916e+03	2.4e+00	2.265945e+03	2.5e+01
4.1952e+03	2.4e+00	1.132244e+03	3.5e+01
4.1989e+03	2.4e+00	8.154670e+02	4.0e+01
4.2025e+03	2.4e+00	7.964575e+02	2.9e+01
4.2062e+03	2.4e+00	7.870996e+02	1.7e+01
4.2098e+03	2.4e+00	8.238153e+02	2.3e+01
4.2135e+03	2.4e+00	8.682084e+02	2.9e+01
4.2171e+03	2.4e+00	8.470283e+02	1.9e+01
4.2208e+03	2.4e+00	8.265067e+02	1.7e+01
4.2244e+03	2.4e+00	7.152233e+02	9.5e+00
4.2281e+03	2.4e+00	6.936268e+02	2.1e+01
4.2317e+03	2.4e+00	6.507701e+02	2.2e+01
4.2354e+03	2.4e+00	6.839647e+02	1.7e+01
4.2390e+03	2.4e+00	7.113984e+02	2.0e+01
4.2427e+03	2.4e+00	1.016375e+03	2.7e+01
4.2463e+03	2.4e+00	1.596682e+03	2.8e+01
4.2500e+03	2.4e+00	1.765413e+03	2.0e+01
4.2536e+03	2.4e+00	1.607313e+03	2.1e+01
4.2572e+03	2.4e+00	1.271540e+03	4.5e+00
4.2609e+03	2.4e+00	1.364125e+03	4.0e+01
4.2645e+03	2.4e+00	1.582315e+03	3.5e+01
4.2682e+03	2.4e+00	1.407850e+03	4.0e+01
4.2718e+03	2.4e+00	1.123005e+03	2.4e+01
4.2755e+03	2.4e+00	6.755043e+02	2.7e+01
4.2791e+03	2.4e+00	5.200028e+02	1.5e+01
4.2827e+03	2.4e+00	5.428085e+02	1.5e+01
4.2864e+03	2.4e+00	7.087153e+02	1.2e+01
4.2900e+03	2.4e+00	7.951346e+02	3.1e+01
4.2937e+03	2.4e+00	8.205759e+02	2.5e+01
4.2973e+03	2.4e+00	6.674107e+02	1.0e+01
4.3010e+03	2.4e+00	6.333717e+02	2.7e+01
4.3046e+03	2.4e+00	5.610029e+02	1.5e+01
4.3082e+03	2.4e+00	5.610166e+02	2.7e+01
4.3119e+03	2.4e+00	5.505089e+02	2.5e+01
4.3155e+03	2.4e+00	6.282462e+02	1.6e+01
4.3191e+03	2.4e+00	8.751083e+02	1.7e+01
4.3228e+03	2.4e+00	1.194599e+03	2.5e+01
4.3264e+03	2.4e+00	1.310758e+03	2.5e+01
4.3301e+03	2.4e+00	1.232371e+03	2.6e+01
4.3337e+03	2.4e+00	1.077463e+03	2.1e+01
4.3373e+03	2.4e+00	1.246838e+03	3.4e+01
4.3410e+03	2.4e+00	1.245060e+03	1.5e+01
4.3446e+03	2.4e+00	1.060439e+03	2.7e+01
4.3482e+03	2.4e+00	7.542164e+02	2.8e+01
4.3519e+03	2.4e+00	6.736953e+02	1.7e+01
4.3555e+03	2.4e+00	7.227674e+02	9.1e+00
4.3591e+03	2.4e+00	8.774407e+02	1.0e+01
4.3628e+03	2.4e+00	1.013859e+03	2.7e+01
4.3664e+03	2.4e+00	1.085039e+03	1.9e+01
4.3700e+03	2.4e+00	1.077603e+03	2.2e+01
4.3737e+03	2.4e+00	9.588688e+02	2.4e+01
4.3773e+03	2.4e+00	8.226124e+02	1.4e+01
4.3809e+03	2.4e+00	6.594832e+02	2.2e+01
4.3845e+03	2.4e+00	5.622513e+02	8.9e+00
4.3882e+03	2.4e+00	5.516056e+02	1.2e+01
4.3918e+03	2.4e+00	5.922760e+02	3.7e+01
4.3954e+03	2.4e+00	6.104600e+02	2.3e+01
4.3991e+03	2.4e+00	5.422764e+02	8.9e+00
4.4027e+03	2.4e+00	4.663549e+02	1.1e+01
4.4063e+03	2.4e+00	4.588090e+02	8.6e+00
4.4099e+03	2.4e+00	4.756194e+02	1.1e+01
4.4136e+03	2.4e+00	5.442467e+02	1.7e+01
4.4172e+03	2.4e+00	7.065062e+02	2.0e+01
4.4208e+03	2.4e+00	8.406295e+02	1.5e+01
4.4244e+03	2.4e+00	8.356437e+02	1.1e+01
4.4281e+03	2.4e+00	6.719112e+02	1.5e+01
4.4317e+03	2.4e+00	5.142107e+02	1.7e+01
4.4353e+03	2.4e+00	4.635534e+02	1.2e+01
4.4389e+03	2.4e+00	4.895979e+02	7.4e+00
4.4426e+03	2.4e+00	4.675744e+02	8.1e+00
4.4462e+03	2.4e+00	4.591994e+02	6.1e+00
4.4498e+03	2.4e+00	4.553479e+02	1.4e+01
4.4534e+03	2.4e+00	4.457210e+02	1.2e+01
4.4570e+03	2.4e+00	4.232017e+02	9.6e+00
4.4607e+03	2.4e+00	4.867942e+02	8.9e+00
4.4643e+03	2.4e+00	5.303142e+02	1.7e+01
4.4679e+03	2.4e+00	6.032624e+02	2.0e+01
4.4715e+03	2.4e+00	6.503790e+02	1.1e+01
4.4751e+03	2.4e+00	6.502208e+02	1.0e+01
4.4788e+03	2.4e+00	6.136547e+02	1.4e+01
4.4824e+03	2.4e+00	6.019615e+02	2.3e+01
4.4860e+03	2.4e+00	5.819420e+02	1.5e+01
4.4896e+03	2.4e+00	6.362778e+02	1.3e+01
4.4932e+03	2.4e+00	6.834314e+02	1.6e+01
4.4968e+03	2.4e+00	8.093372e+02	2.3e+01
4.5005e+03	2.4e+00	9.785339e+02	2.1e+01
4.5041e+03	2.4e+00	1.142378e+03	2.1e+01
4.5077e+03	2.4e+00	1.074670e+03	1.6e+01
4.5113e+03	2.4e+00	8.496010e+02	2.3e+01
4.5149e+03	2.4e+00	5.708234e+02	7.5e+00
4.5185e+03	2.4e+00	5.148725e+02	1.5e+01
4.5221e+03	2.4e+00	4.923117e+02	1.1e+01
4.5258e+03	2.4e+00	4.875865e+02	2.6e+01
4.5294e+03	2.4e+00	4.619101e+02	4.8e+00
4.5330e+03	2.4e+00	4.824089e+02	1.8e+01
4.5366e+03	2.4e+00	6.644931e+02	1.8e+01
4.5402e+03	2.4e+00	8.162385e+02	2.4e+01
4.5438e+03	2.4e+00	8.235163e+02	1.5e+01
4.5474e+03	2.4e+00	6.056212e+02	1.8e+01
4.5510e+03	2.4e+00	4.110770e+02	1.2e+01
4.5546e+03	2.4e+00	3.912808e+02	1.1e+01
