# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.6165e+03	2.4e+00	1.909769e+04	4.4e+02
3.6202e+03	2.4e+00	1.995455e+04	2.3e+02
3.6239e+03	2.4e+00	2.322242e+04	4.1e+02
3.6277e+03	2.4e+00	2.304851e+04	8.0e+02
3.6314e+03	2.4e+00	2.302021e+04	9.5e+02
3.6351e+03	2.4e+00	2.534122e+04	4.8e+01
3.6388e+03	2.4e+00	2.348274e+04	1.0e+02
3.6425e+03	2.4e+00	2.547115e+04	5.7e+02
3.6462e+03	2.4e+00	2.665323e+04	2.3e+02
3.6500e+03	2.4e+00	2.672027e+04	1.9e+02
3.6537e+03	2.4e+00	2.988988e+04	4.8e+02
3.6574e+03	2.4e+00	3.186757e+04	2.2e+02
3.6611e+03	2.4e+00	3.296150e+04	2.8e+02
3.6648e+03	2.4e+00	3.488988e+04	5.4e+02
3.6685e+03	2.4e+00	3.367933e+04	6.3e+02
3.6723e+03	2.4e+00	3.854901e+04	1.2e+03
3.6760e+03	2.4e+00	4.070226e+04	8.2e+02
3.6797e+03	2.4e+00	4.237772e+04	9.1e+02
3.6834e+03	2.4e+00	4.464297e+04	9.9e+02
3.6871e+03	2.4e+00	4.969236e+04	8.5e+02
3.6908e+03	2.4e+00	5.016042e+04	9.6e+02
3.6945e+03	2.4e+00	5.600413e+04	1.1e+03
3.6982e+03	2.4e+00	5.725040e+04	5.5e+02
3.7019e+03	2.4e+00	6.349978e+04	5.0e+02
3.7057e+03	2.4e+00	7.257778e+04	2.0e+03
3.7094e+03	2.4e+00	6.466813e+04	2.2e+03
3.7131e+03	2.4e+00	6.908048e+04	1.9e+03
3.7168e+03	2.4e+00	8.210842e+04	2.2e+03
3.7205e+03	2.4e+00	9.732722e+04	1.6e+03
3.7242e+03	2.4e+00	1.101655e+05	1.7e+03
3.7279e+03	2.4e+00	1.066210e+05	2.2e+03
3.7316e+03	2.4e+00	9.795958e+04	1.4e+03
3.7353e+03	2.4e+00	1.001134e+05	2.2e+03
3.7390e+03	2.4e+00	1.145215e+05	1.4e+03
3.7427e+03	2.4e+00	1.458420e+05	2.9e+03
3.7464e+03	2.4e+00	1.811080e+05	3.1e+03
3.7501e+03	2.4e+00	1.989567e+05	2.7e+03
3.7539e+03	2.4e+00	1.962552e+05	4.2e+03
3.7576e+03	2.4e+00	1.753656e+05	4.3e+03
3.7613e+03	2.4e+00	1.426214e+05	1.7e+03
3.7650e+03	2.4e+00	1.455530e+05	3.1e+03
3.7687e+03	2.4e+00	1.736725e+05	3.9e+03
3.7724e+03	2.4e+00	2.378028e+05	3.5e+03
3.7761e+03	2.4e+00	2.876763e+05	3.5e+03
3.7798e+03	2.4e+00	3.364129e+05	5.1e+03
3.7835e+03	2.4e+00	3.658186e+05	5.2e+03
3.7872e+03	2.4e+00	3.751352e+05	6.7e+03
3.7909e+03	2.4e+00	3.649088e+05	8.2e+03
3.7946e+03	2.4e+00	3.279981e+05	7.2e+03
3.7983e+03	2.4e+00	2.744803e+05	6.0e+03
3.8020e+03	2.4e+00	2.268418e+05	3.6e+03
3.8057e+03	2.4e+00	2.282381e+05	4.9e+03
3.8094e+03	2.4e+00	2.920240e+05	4.2e+03
3.8131e+03	2.4e+00	3.976237e+05	5.0e+03
3.8168e+03	2.4e+00	4.822883e+05	9.1e+03
3.8205e+03	2.4e+00	5.566893e+05	7.7e+03
3.8242e+03	2.4e+00	6.168024e+05	7.0e+03
3.8279e+03	2.4e+00	6.552455e+05	1.2e+04
3.8315e+03	2.4e+00	6.996337e+05	8.5e+03
3.8352e+03	2.4e+00	7.275472e+05	7.1e+03
3.8389e+03	2.4e+00	7.397403e+05	6.3e+03
3.8426e+03	2.4e+00	7.299602e+05	1.3e+04
3.8463e+03	2.4e+00	6.819977e+05	7.8e+03
3.8500e+03	2.4e+00	6.245106e+05	1.2e+04
3.8537e+03	2.4e+00	5.237391e+05	1.1e+04
3.8574e+03	2.4e+00	4.085756e+05	4.2e+03
3.8611e+03	2.4e+00	3.652061e+05	2.5e+03
3.8648e+03	2.4e+00	4.187644e+05	4.9e+03
3.8685e+03	2.4e+00	5.506341e+05	8.4e+03
3.8722e+03	2.4e+00	6.834602e+05	9.8e+03
3.8759e+03	2.4e+00	8.212630e+05	1.5e+04
3.8795e+03	2.4e+00	9.212387e+05	2.0e+04
3.8832e+03	2.4e+00	1.010843e+06	1.6e+04
3.8869e+03	2.4e+00	1.055551e+06	1.7e+04
3.8906e+03	2.4e+00	1.100635e+06	1.4e+04
3.8943e+03	2.4e+00	1.124594e+06	1.6e+04
3.8980e+03	2.4e+00	1.136421e+06	1.2e+04
3.9017e+03	2.4e+00	1.154986e+06	2.4e+04
3.9054e+03	2.4e+00	1.093766e+06	1.6e+04
3.9090e+03	2.4e+00	1.094969e+06	2.1e+04
3.9127e+03	2.4e+00	1.118794e+06	1.8e+04
3.9164e+03	2.4e+00	1.153273e+06	1.5e+04
3.9201e+03	2.4e+00	1.155721e+06	1.3e+04
3.9238e+03	2.4e+00	1.144316e+06	1.5e+04
3.9275e+03	2.4e+00	1.091396e+06	1.4e+04
3.9312e+03	2.4e+00	1.013786e+06	1.3e+04
3.9348e+03	2.4e+00	9.185746e+05	8.5e+03
3.9385e+03	2.4e+00	7.656679e+05	9.2e+03
3.9422e+03	2.4e+00	5.857438e+05	6.8e+03
3.9459e+03	2.4e+00	4.726903e+05	8.1e+03
3.9496e+03	2.4e+00	4.992888e+05	7.2e+03
3.9532e+03	2.4e+00	6.611515e+05	7.9e+03
3.9569e+03	2.4e+00	8.304622e+05	1.2e+04
3.9606e+03	2.4e+00	9.814957e+05	1.0e+04
3.9643e+03	2.4e+00	1.100111e+06	1.5e+04
3.9680e+03	2.4e+00	1.171103e+06	9.7e+03
3.9716e+03	2.4e+00	1.229391e+06	1.4e+04
3.9753e+03	2.4e+00	1.260477e+06	1.5e+04
3.9790e+03	2.4e+00	1.260422e+06	1.3e+04
3.9827e+03	2.4e+00	1.312171e+06	1.3e+04
3.9864e+03	2.4e+00	1.282118e+06	9.7e+03
3.9900e+03	2.4e+00	1.286133e+06	1.1e+04
3.9937e+03	2.4e+00	1.295877e+06	1.3e+04
3.9974e+03	2.4e+00	1.298001e+06	1.4e+04
4.0011e+03	2.4e+00	1.304252e+06	1.5e+04
4.0047e+03	2.4e+00	1.296114e+06	1.3e+04
4.0084e+03	2.4e+00	1.295058e+06	1.1e+04
4.0121e+03	2.4e+00	1.283707e+06	1.3e+04
4.0158e+03	2.4e+00	1.294657e+06	1.4e+04
4.0194e+03	2.4e+00	1.291561e+06	9.7e+03
4.0231e+03	2.4e+00	1.274644e+06	8.7e+03
4.0268e+03	2.4e+00	1.263411e+06	9.7e+03
4.0304e+03	2.4e+00	1.247099e+06	9.2e+03
4.0341e+03	2.4e+00	1.228340e+06	9.8e+03
4.0378e+03	2.4e+00	1.220041e+06	9.7e+03
4.0415e+03	2.4e+00	1.212418e+06	1.1e+04
4.0451e+03	2.4e+00	1.194183e+06	9.9e+03
4.0488e+03	2.4e+00	1.182534e+06	9.1e+03
4.0525e+03	2.4e+00	1.153650e+06	9.6e+03
4.0561e+03	2.4e+00	1.128814e+06	9.1e+03
4.0598e+03	2.4e+00	1.082535e+06	8.7e+03
4.0635e+03	2.4e+00	1.045868e+06	9.1e+03
4.0671e+03	2.4e+00	9.856093e+05	8.3e+03
4.0708e+03	2.4e+00	8.912732e+05	7.1e+03
4.0745e+03	2.4e+00	7.684689e+05	6.7e+03
4.0781e+03	2.4e+00	6.248639e+05	4.2e+03
4.0818e+03	2.4e+00	4.755322e+05	2.7e+03
4.0855e+03	2.4e+00	4.256913e+05	2.2e+03
4.0891e+03	2.4e+00	5.004354e+05	1.4e+03
4.0928e+03	2.4e+00	6.441785e+05	2.9e+03
4.0965e+03	2.4e+00	7.623725e+05	3.3e+03
4.1001e+03	2.4e+00	8.728556e+05	5.1e+03
4.1038e+03	2.4e+00	9.439872e+05	6.6e+03
4.1075e+03	2.4e+00	9.935522e+05	8.6e+03
4.1111e+03	2.4e+00	1.007629e+06	9.8e+03
4.1148e+03	2.4e+00	1.027919e+06	6.0e+03
4.1184e+03	2.4e+00	1.047883e+06	5.7e+03
4.1221e+03	2.4e+00	1.059109e+06	8.3e+03
4.1258e+03	2.4e+00	1.058663e+06	7.5e+03
4.1294e+03	2.4e+00	1.070095e+06	6.2e+03
4.1331e+03	2.4e+00	1.069330e+06	4.9e+03
4.1367e+03	2.4e+00	1.076617e+06	1.0e+04
4.1404e+03	2.4e+00	1.070276e+06	9.1e+03
4.1441e+03	2.4e+00	1.067385e+06	8.9e+03
4.1477e+03	2.4e+00	1.074271e+06	7.0e+03
4.1514e+03	2.4e+00	1.071144e+06	1.0e+04
4.1550e+03	2.4e+00	1.060861e+06	9.4e+03
4.1587e+03	2.4e+00	1.060460e+06	1.0e+04
4.1623e+03	2.4e+00	1.052970e+06	7.7e+03
4.1660e+03	2.4e+00	1.051842e+06	6.2e+03
4.1697e+03	2.4e+00	1.055714e+06	7.2e+03
4.1733e+03	2.4e+00	1.045167e+06	8.4e+03
4.1770e+03	2.4e+00	1.052464e+06	6.4e+03
4.1806e+03	2.4e+00	1.049795e+06	5.4e+03
4.1843e+03	2.4e+00	1.039299e+06	6.3e+03
4.1879e+03	2.4e+00	1.040667e+06	7.2e+03
4.1916e+03	2.4e+00	1.050536e+06	6.1e+03
4.1952e+03	2.4e+00	1.041776e+06	5.1e+03
4.1989e+03	2.4e+00	1.039270e+06	5.2e+03
4.2025e+03	2.4e+00	1.037712e+06	7.8e+03
4.2062e+03	2.4e+00	1.039852e+06	5.3e+03
4.2098e+03	2.4e+00	1.021571e+06	6.9e+03
4.2135e+03	2.4e+00	1.024352e+06	5.7e+03
4.2171e+03	2.4e+00	1.007182e+06	6.4e+03
4.2208e+03	2.4e+00	1.006471e+06	6.4e+03
4.2244e+03	2.4e+00	1.012216e+06	5.2e+03
4.2281e+03	2.4e+00	1.002689e+06	7.2e+03
4.2317e+03	2.4e+00	1.003954e+06	5.0e+03
4.2354e+03	2.4e+00	9.980240e+05	6.9e+03
4.2390e+03	2.4e+00	9.995617e+05	6.0e+03
4.2427e+03	2.4e+00	9.947853e+05	5.5e+03
4.2463e+03	2.4e+00	9.941265e+05	4.5e+03
4.2500e+03	2.4e+00	9.987861e+05	6.0e+03
4.2536e+03	2.4e+00	9.870565e+05	5.2e+03
4.2572e+03	2.4e+00	9.768981e+05	6.6e+03
4.2609e+03	2.4e+00	9.778567e+05	6.4e+03
4.2645e+03	2.4e+00	9.683539e+05	5.6e+03
4.2682e+03	2.4e+00	9.670699e+05	5.5e+03
4.2718e+03	2.4e+00	9.601204e+05	6.8e+03
4.2755e+03	2.4e+00	9.564049e+05	6.3e+03
4.2791e+03	2.4e+00	9.444609e+05	6.0e+03
4.2827e+03	2.4e+00	9.218133e+05	6.2e+03
4.2864e+03	2.4e+00	9.215588e+05	6.6e+03
4.2900e+03	2.4e+00	8.992802e+05	5.5e+03
4.2937e+03	2.4e+00	8.960182e+05	4.6e+03
4.2973e+03	2.4e+00	8.850041e+05	7.4e+03
4.3010e+03	2.4e+00	8.768478e+05	5.7e+03
