# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
3.6165e+03	2.4e+00	1.29208e+04	7.3e+02
3.6202e+03	2.4e+00	1.22241e+04	1.9e+02
3.6239e+03	2.4e+00	1.35299e+04	9.7e+01
3.6277e+03	2.4e+00	1.41571e+04	4.1e+02
3.6314e+03	2.4e+00	1.48682e+04	6.3e+02
3.6351e+03	2.4e+00	1.42307e+04	3.8e+02
3.6388e+03	2.4e+00	1.51587e+04	3.1e+02
3.6425e+03	2.4e+00	1.60079e+04	8.2e+02
3.6462e+03	2.4e+00	1.66899e+04	3.8e+02
3.6500e+03	2.4e+00	1.67317e+04	7.9e+02
3.6537e+03	2.4e+00	1.71899e+04	4.8e+02
3.6574e+03	2.4e+00	1.98195e+04	3.9e+02
3.6611e+03	2.4e+00	2.01103e+04	4.7e+02
3.6648e+03	2.4e+00	1.93672e+04	1.0e+02
3.6685e+03	2.4e+00	2.12779e+04	4.4e+02
3.6723e+03	2.4e+00	2.37752e+04	2.8e+02
3.6760e+03	2.4e+00	2.55364e+04	9.6e+02
3.6797e+03	2.4e+00	2.38896e+04	5.1e+02
3.6834e+03	2.4e+00	2.78742e+04	3.4e+02
3.6871e+03	2.4e+00	3.15268e+04	4.6e+02
3.6908e+03	2.4e+00	3.26340e+04	9.6e+02
3.6945e+03	2.4e+00	3.50225e+04	9.6e+02
3.6982e+03	2.4e+00	3.76487e+04	1.2e+03
3.7019e+03	2.4e+00	4.34758e+04	5.1e+02
3.7057e+03	2.4e+00	4.87179e+04	6.8e+02
3.7094e+03	2.4e+00	4.54973e+04	3.7e+02
3.7131e+03	2.4e+00	4.65910e+04	8.1e+02
3.7168e+03	2.4e+00	5.08865e+04	7.3e+02
3.7205e+03	2.4e+00	6.29967e+04	6.6e+02
3.7242e+03	2.4e+00	6.97211e+04	7.1e+02
3.7279e+03	2.4e+00	6.69069e+04	1.3e+03
3.7316e+03	2.4e+00	6.29307e+04	5.9e+02
3.7353e+03	2.4e+00	6.36369e+04	1.6e+03
3.7390e+03	2.4e+00	7.21131e+04	3.0e+02
3.7427e+03	2.4e+00	9.24746e+04	4.1e+02
3.7464e+03	2.4e+00	1.18994e+05	1.0e+03
3.7501e+03	2.4e+00	1.26058e+05	7.0e+02
3.7539e+03	2.4e+00	1.27576e+05	6.2e+02
3.7576e+03	2.4e+00	1.11581e+05	7.6e+02
3.7613e+03	2.4e+00	9.46265e+04	3.2e+02
3.7650e+03	2.4e+00	9.30315e+04	1.0e+03
3.7687e+03	2.4e+00	1.11829e+05	9.7e+02
3.7724e+03	2.4e+00	1.54346e+05	1.9e+03
3.7761e+03	2.4e+00	1.87126e+05	3.9e+02
3.7798e+03	2.4e+00	2.19328e+05	2.3e+03
3.7835e+03	2.4e+00	2.40296e+05	1.9e+03
3.7872e+03	2.4e+00	2.50009e+05	2.3e+03
3.7909e+03	2.4e+00	2.39408e+05	9.7e+02
3.7946e+03	2.4e+00	2.20828e+05	2.5e+03
3.7983e+03	2.4e+00	1.86064e+05	1.8e+03
3.8020e+03	2.4e+00	1.50140e+05	1.2e+03
3.8057e+03	2.4e+00	1.50811e+05	8.1e+02
3.8094e+03	2.4e+00	1.93153e+05	5.5e+02
3.8131e+03	2.4e+00	2.56903e+05	1.3e+03
3.8168e+03	2.4e+00	3.18582e+05	2.8e+03
3.8205e+03	2.4e+00	3.62484e+05	2.7e+03
3.8242e+03	2.4e+00	3.94302e+05	3.7e+03
3.8279e+03	2.4e+00	4.34357e+05	5.7e+03
3.8315e+03	2.4e+00	4.72454e+05	3.4e+03
3.8352e+03	2.4e+00	4.80334e+05	2.9e+03
3.8389e+03	2.4e+00	4.85154e+05	5.6e+03
3.8426e+03	2.4e+00	4.89614e+05	3.6e+03
3.8463e+03	2.4e+00	4.58004e+05	8.2e+03
3.8500e+03	2.4e+00	4.22624e+05	2.5e+03
