# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.1766e+03	2.4e+00	1.178760e+03	3.4e+01
4.1803e+03	2.4e+00	1.756754e+03	5.9e+01
4.1839e+03	2.4e+00	2.283031e+03	5.7e+01
4.1876e+03	2.4e+00	2.306552e+03	3.5e+01
4.1912e+03	2.4e+00	1.675932e+03	4.7e+01
4.1949e+03	2.4e+00	8.623794e+02	2.3e+01
4.1986e+03	2.4e+00	6.681753e+02	3.6e+01
4.2022e+03	2.4e+00	6.407442e+02	2.5e+01
4.2059e+03	2.4e+00	7.042204e+02	2.4e+01
4.2095e+03	2.4e+00	7.254043e+02	2.8e+01
4.2132e+03	2.4e+00	7.638695e+02	1.8e+01
4.2168e+03	2.4e+00	7.162039e+02	2.1e+01
4.2205e+03	2.4e+00	7.508712e+02	3.4e+01
4.2241e+03	2.4e+00	5.718154e+02	2.2e+01
4.2278e+03	2.4e+00	5.677487e+02	1.6e+01
4.2314e+03	2.4e+00	5.091215e+02	1.6e+01
4.2351e+03	2.4e+00	5.387763e+02	2.3e+01
4.2387e+03	2.4e+00	6.380808e+02	1.4e+01
4.2424e+03	2.4e+00	8.888384e+02	2.3e+01
4.2460e+03	2.4e+00	1.235997e+03	2.2e+01
4.2497e+03	2.4e+00	1.361640e+03	2.5e+01
4.2533e+03	2.4e+00	1.249013e+03	3.9e+01
4.2570e+03	2.4e+00	9.363447e+02	1.3e+01
4.2606e+03	2.4e+00	1.089786e+03	1.6e+01
4.2642e+03	2.4e+00	1.440195e+03	2.1e+01
4.2679e+03	2.4e+00	1.339998e+03	1.5e+01
4.2715e+03	2.4e+00	1.049197e+03	1.7e+01
4.2752e+03	2.4e+00	5.530467e+02	2.0e+01
4.2788e+03	2.4e+00	4.327185e+02	1.7e+01
4.2825e+03	2.4e+00	4.978939e+02	1.6e+01
4.2861e+03	2.4e+00	5.872646e+02	1.6e+01
4.2898e+03	2.4e+00	6.838198e+02	1.6e+01
4.2934e+03	2.4e+00	6.439214e+02	1.7e+01
4.2970e+03	2.4e+00	5.652718e+02	1.4e+01
4.3007e+03	2.4e+00	5.013860e+02	2.1e+01
4.3043e+03	2.4e+00	5.159895e+02	1.5e+01
4.3080e+03	2.4e+00	4.746633e+02	1.6e+01
4.3116e+03	2.4e+00	4.429135e+02	2.9e+01
4.3152e+03	2.4e+00	4.586259e+02	3.4e+01
4.3189e+03	2.4e+00	7.419255e+02	2.3e+01
4.3225e+03	2.4e+00	9.926696e+02	1.4e+01
4.3262e+03	2.4e+00	1.057638e+03	2.5e+01
4.3298e+03	2.4e+00	9.426008e+02	1.7e+01
4.3334e+03	2.4e+00	8.885155e+02	9.4e+00
4.3371e+03	2.4e+00	1.074904e+03	2.4e+01
4.3407e+03	2.4e+00	1.046828e+03	2.8e+01
4.3443e+03	2.4e+00	8.806911e+02	2.8e+01
4.3480e+03	2.4e+00	6.158162e+02	1.7e+01
4.3516e+03	2.4e+00	5.223216e+02	1.2e+01
4.3553e+03	2.4e+00	5.828464e+02	1.9e+01
4.3589e+03	2.4e+00	7.638651e+02	2.9e+01
4.3625e+03	2.4e+00	8.847704e+02	3.4e+01
4.3662e+03	2.4e+00	1.024245e+03	2.3e+01
4.3698e+03	2.4e+00	9.184685e+02	2.9e+01
4.3734e+03	2.4e+00	7.986647e+02	3.0e+01
4.3771e+03	2.4e+00	7.005981e+02	2.7e+01
4.3807e+03	2.4e+00	4.822663e+02	1.3e+01
4.3843e+03	2.4e+00	4.705919e+02	2.5e+01
4.3879e+03	2.4e+00	4.601479e+02	1.9e+01
4.3916e+03	2.4e+00	5.314096e+02	1.9e+01
4.3952e+03	2.4e+00	5.530228e+02	2.3e+01
4.3988e+03	2.4e+00	4.811796e+02	1.9e+01
4.4025e+03	2.4e+00	3.825566e+02	7.2e+00
4.4061e+03	2.4e+00	3.585831e+02	1.4e+01
4.4097e+03	2.4e+00	4.278945e+02	1.4e+01
4.4134e+03	2.4e+00	4.809039e+02	2.3e+01
4.4170e+03	2.4e+00	6.819709e+02	1.0e+01
4.4206e+03	2.4e+00	7.844902e+02	2.5e+01
4.4242e+03	2.4e+00	7.762968e+02	1.5e+01
4.4279e+03	2.4e+00	5.966214e+02	1.4e+01
