# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.2135e+03	2.4e+00	1.0232e+00	2.1e-02
4.2171e+03	2.4e+00	1.0019e+00	1.7e-02
4.2208e+03	2.4e+00	1.1074e+00	1.7e-02
4.2244e+03	2.4e+00	1.1701e+00	2.2e-02
4.2281e+03	2.4e+00	1.2164e+00	1.7e-02
4.2317e+03	2.4e+00	1.2906e+00	1.9e-02
4.2354e+03	2.4e+00	1.2671e+00	2.3e-02
4.2390e+03	2.4e+00	1.1928e+00	1.9e-02
4.2427e+03	2.4e+00	1.1682e+00	1.6e-02
4.2463e+03	2.4e+00	1.1514e+00	2.4e-02
4.2500e+03	2.4e+00	1.2383e+00	2.5e-02
4.2536e+03	2.4e+00	1.2920e+00	2.3e-02
4.2572e+03	2.4e+00	1.2146e+00	1.8e-02
4.2609e+03	2.4e+00	1.1223e+00	2.1e-02
4.2645e+03	2.4e+00	1.1029e+00	1.9e-02
4.2682e+03	2.4e+00	1.1648e+00	1.5e-02
4.2718e+03	2.4e+00	1.2160e+00	1.8e-02
4.2755e+03	2.4e+00	1.1397e+00	1.7e-02
4.2791e+03	2.4e+00	1.0821e+00	1.3e-02
4.2827e+03	2.4e+00	1.0919e+00	1.3e-02
4.2864e+03	2.4e+00	1.0302e+00	1.2e-02
4.2900e+03	2.4e+00	9.5306e-01	1.4e-02
4.2937e+03	2.4e+00	8.3807e-01	1.5e-02
4.2973e+03	2.4e+00	8.0259e-01	1.0e-02
4.3010e+03	2.4e+00	9.2044e-01	1.7e-02
4.3046e+03	2.4e+00	1.1974e+00	2.1e-02
4.3082e+03	2.4e+00	1.4557e+00	1.4e-02
4.3119e+03	2.4e+00	1.4398e+00	1.1e-02
4.3155e+03	2.4e+00	1.3375e+00	1.4e-02
4.3191e+03	2.4e+00	1.3422e+00	1.3e-02
4.3228e+03	2.4e+00	1.4991e+00	1.7e-02
4.3264e+03	2.4e+00	1.4993e+00	1.1e-02
4.3301e+03	2.4e+00	1.4169e+00	1.5e-02
4.3337e+03	2.4e+00	1.3979e+00	2.1e-02
4.3373e+03	2.4e+00	1.4798e+00	1.3e-02
4.3410e+03	2.4e+00	1.5023e+00	1.5e-02
4.3446e+03	2.4e+00	1.4806e+00	1.2e-02
4.3482e+03	2.4e+00	1.4507e+00	1.7e-02
4.3519e+03	2.4e+00	1.5356e+00	1.4e-02
4.3555e+03	2.4e+00	1.5605e+00	1.2e-02
4.3591e+03	2.4e+00	1.5365e+00	7.4e-03
4.3628e+03	2.4e+00	1.4566e+00	1.3e-02
4.3664e+03	2.4e+00	1.4111e+00	1.5e-02
4.3700e+03	2.4e+00	1.3770e+00	8.0e-03
4.3737e+03	2.4e+00	1.2820e+00	1.2e-02
4.3773e+03	2.4e+00	1.2426e+00	1.1e-02
4.3809e+03	2.4e+00	1.2442e+00	7.9e-03
4.3845e+03	2.4e+00	1.3394e+00	1.5e-02
4.3882e+03	2.4e+00	1.4271e+00	1.3e-02
4.3918e+03	2.4e+00	1.4471e+00	9.6e-03
4.3954e+03	2.4e+00	1.3744e+00	8.6e-03
4.3991e+03	2.4e+00	1.3253e+00	1.2e-02
4.4027e+03	2.4e+00	1.3858e+00	1.1e-02
4.4063e+03	2.4e+00	1.4678e+00	1.2e-02
4.4099e+03	2.4e+00	1.5276e+00	9.8e-03
4.4136e+03	2.4e+00	1.5113e+00	1.0e-02
4.4172e+03	2.4e+00	1.5155e+00	1.4e-02
4.4208e+03	2.4e+00	1.5283e+00	1.6e-02
4.4244e+03	2.4e+00	1.4821e+00	1.1e-02
4.4281e+03	2.4e+00	1.4915e+00	1.3e-02
