# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.4896e+03	2.4e+00	2.45466e+02	3.8e+00
4.4932e+03	2.4e+00	2.82121e+02	4.8e+00
4.4968e+03	2.4e+00	3.27744e+02	4.8e+00
4.5005e+03	2.4e+00	4.08765e+02	6.5e+00
4.5041e+03	2.4e+00	4.74560e+02	5.9e+00
4.5077e+03	2.4e+00	4.13507e+02	5.8e+00
4.5113e+03	2.4e+00	2.95959e+02	4.4e+00
4.5149e+03	2.4e+00	2.02396e+02	3.0e+00
4.5185e+03	2.4e+00	1.86704e+02	3.3e+00
4.5221e+03	2.4e+00	1.84206e+02	3.5e+00
4.5258e+03	2.4e+00	1.78059e+02	4.1e+00
4.5294e+03	2.4e+00	1.75115e+02	4.4e+00
4.5330e+03	2.4e+00	1.88833e+02	4.2e+00
4.5366e+03	2.4e+00	2.88896e+02	5.3e+00
4.5402e+03	2.4e+00	3.42142e+02	4.6e+00
4.5438e+03	2.4e+00	3.24033e+02	5.2e+00
4.5474e+03	2.4e+00	2.24910e+02	5.2e+00
4.5510e+03	2.4e+00	1.44588e+02	3.3e+00
4.5546e+03	2.4e+00	1.50825e+02	3.8e+00
4.5582e+03	2.4e+00	1.45339e+02	3.2e+00
4.5619e+03	2.4e+00	1.48546e+02	2.2e+00
4.5655e+03	2.4e+00	1.44717e+02	3.8e+00
4.5691e+03	2.4e+00	1.64732e+02	3.3e+00
4.5727e+03	2.4e+00	2.16686e+02	3.7e+00
4.5763e+03	2.4e+00	2.37692e+02	3.9e+00
4.5799e+03	2.4e+00	2.37643e+02	4.5e+00
4.5835e+03	2.4e+00	2.31599e+02	3.9e+00
4.5871e+03	2.4e+00	2.39087e+02	4.2e+00
4.5907e+03	2.4e+00	2.34319e+02	3.4e+00
4.5943e+03	2.4e+00	1.89634e+02	3.3e+00
4.5979e+03	2.4e+00	1.66217e+02	3.3e+00
4.6015e+03	2.4e+00	2.37309e+02	3.9e+00
4.6051e+03	2.4e+00	3.00509e+02	3.3e+00
4.6087e+03	2.4e+00	2.87927e+02	3.3e+00
4.6123e+03	2.4e+00	2.03428e+02	4.2e+00
4.6159e+03	2.4e+00	1.22237e+02	3.1e+00
4.6195e+03	2.4e+00	1.13416e+02	2.0e+00
4.6231e+03	2.4e+00	1.17858e+02	2.1e+00
4.6267e+03	2.4e+00	1.16417e+02	2.3e+00
4.6303e+03	2.4e+00	1.21750e+02	2.4e+00
4.6339e+03	2.4e+00	1.15826e+02	2.4e+00
4.6375e+03	2.4e+00	1.09861e+02	2.8e+00
4.6411e+03	2.4e+00	1.12259e+02	2.4e+00
4.6447e+03	2.4e+00	1.17742e+02	2.2e+00
4.6483e+03	2.4e+00	1.38518e+02	3.1e+00
4.6519e+03	2.4e+00	2.18436e+02	3.8e+00
4.6555e+03	2.4e+00	2.57974e+02	3.1e+00
4.6591e+03	2.4e+00	2.42077e+02	3.6e+00
4.6627e+03	2.4e+00	1.69764e+02	3.3e+00
4.6663e+03	2.4e+00	1.19760e+02	3.1e+00
4.6699e+03	2.4e+00	1.26208e+02	2.6e+00
4.6735e+03	2.4e+00	1.32405e+02	3.6e+00
4.6771e+03	2.4e+00	1.29247e+02	2.5e+00
4.6807e+03	2.4e+00	1.32508e+02	3.0e+00
4.6843e+03	2.4e+00	1.25650e+02	2.7e+00
4.6879e+03	2.4e+00	1.10040e+02	3.5e+00
4.6915e+03	2.4e+00	1.07333e+02	3.0e+00
4.6950e+03	2.4e+00	1.11546e+02	3.8e+00
4.6986e+03	2.4e+00	1.17232e+02	3.4e+00
4.7022e+03	2.4e+00	1.18456e+02	3.0e+00
4.7058e+03	2.4e+00	1.14385e+02	3.1e+00
4.7094e+03	2.4e+00	1.19287e+02	3.1e+00
4.7130e+03	2.4e+00	1.14239e+02	2.6e+00
4.7166e+03	2.4e+00	1.11812e+02	3.0e+00
4.7202e+03	2.4e+00	1.43052e+02	3.2e+00
4.7238e+03	2.4e+00	1.80096e+02	2.5e+00
4.7274e+03	2.4e+00	1.92583e+02	3.1e+00
4.7309e+03	2.4e+00	1.86102e+02	2.5e+00
4.7345e+03	2.4e+00	1.62533e+02	3.2e+00
4.7381e+03	2.4e+00	1.35478e+02	3.3e+00
4.7417e+03	2.4e+00	1.04812e+02	1.9e+00
4.7453e+03	2.4e+00	9.40702e+01	2.4e+00
4.7489e+03	2.4e+00	9.70448e+01	1.9e+00
4.7525e+03	2.4e+00	1.04853e+02	1.7e+00
4.7560e+03	2.4e+00	1.19406e+02	2.8e+00
4.7596e+03	2.4e+00	2.09178e+02	3.1e+00
4.7632e+03	2.4e+00	2.81206e+02	4.0e+00
4.7668e+03	2.4e+00	2.66236e+02	3.2e+00
4.7704e+03	2.4e+00	1.80031e+02	3.9e+00
4.7740e+03	2.4e+00	9.40471e+01	2.6e+00
4.7775e+03	2.4e+00	9.10902e+01	1.6e+00
4.7811e+03	2.4e+00	8.52903e+01	2.4e+00
4.7847e+03	2.4e+00	8.95366e+01	2.1e+00
4.7883e+03	2.4e+00	9.82529e+01	2.5e+00
4.7919e+03	2.4e+00	1.02168e+02	2.2e+00
4.7954e+03	2.4e+00	1.03221e+02	2.2e+00
4.7990e+03	2.4e+00	1.27723e+02	2.7e+00
4.8026e+03	2.4e+00	1.73673e+02	2.6e+00
4.8062e+03	2.4e+00	2.04506e+02	2.8e+00
4.8098e+03	2.4e+00	1.95932e+02	3.2e+00
4.8133e+03	2.4e+00	1.76790e+02	3.3e+00
4.8169e+03	2.4e+00	1.88146e+02	2.6e+00
4.8205e+03	2.4e+00	2.16386e+02	3.1e+00
4.8241e+03	2.4e+00	2.55069e+02	2.8e+00
4.8276e+03	2.4e+00	2.76733e+02	3.4e+00
4.8312e+03	2.4e+00	2.76122e+02	3.7e+00
4.8348e+03	2.4e+00	2.28945e+02	3.3e+00
4.8384e+03	2.4e+00	1.52093e+02	3.8e+00
4.8419e+03	2.4e+00	1.10112e+02	2.7e+00
4.8455e+03	2.4e+00	1.00591e+02	2.2e+00
4.8491e+03	2.4e+00	1.11420e+02	2.7e+00
4.8527e+03	2.4e+00	1.18709e+02	2.4e+00
4.8562e+03	2.4e+00	1.70818e+02	2.8e+00
4.8598e+03	2.4e+00	2.45147e+02	3.2e+00
4.8634e+03	2.4e+00	2.52341e+02	3.9e+00
4.8669e+03	2.4e+00	1.96266e+02	2.7e+00
4.8705e+03	2.4e+00	1.21555e+02	2.9e+00
4.8741e+03	2.4e+00	1.33225e+02	2.3e+00
4.8777e+03	2.4e+00	1.89608e+02	3.0e+00
4.8812e+03	2.4e+00	2.00449e+02	3.2e+00
4.8848e+03	2.4e+00	1.83739e+02	2.9e+00
4.8884e+03	2.4e+00	1.39994e+02	2.3e+00
4.8919e+03	2.4e+00	1.14692e+02	2.6e+00
4.8955e+03	2.4e+00	1.04293e+02	2.5e+00
4.8991e+03	2.4e+00	9.08901e+01	2.0e+00
4.9026e+03	2.4e+00	8.66292e+01	1.8e+00
4.9062e+03	2.4e+00	8.98103e+01	2.4e+00
4.9098e+03	2.4e+00	8.38090e+01	2.4e+00
4.9133e+03	2.4e+00	7.84548e+01	2.1e+00
4.9169e+03	2.4e+00	8.67721e+01	2.0e+00
4.9205e+03	2.4e+00	8.51247e+01	1.7e+00
4.9240e+03	2.4e+00	8.59345e+01	1.9e+00
4.9276e+03	2.4e+00	8.31656e+01	1.8e+00
4.9312e+03	2.4e+00	7.54494e+01	2.5e+00
4.9347e+03	2.4e+00	7.44068e+01	1.8e+00
4.9383e+03	2.4e+00	7.18980e+01	1.9e+00
4.9418e+03	2.4e+00	6.90440e+01	1.3e+00
4.9454e+03	2.4e+00	6.96745e+01	1.9e+00
4.9490e+03	2.4e+00	6.65108e+01	2.1e+00
4.9525e+03	2.4e+00	6.27959e+01	2.1e+00
4.9561e+03	2.4e+00	6.91415e+01	2.1e+00
4.9596e+03	2.4e+00	8.32550e+01	1.9e+00
4.9632e+03	2.4e+00	1.06431e+02	1.9e+00
4.9668e+03	2.4e+00	1.06517e+02	1.8e+00
4.9703e+03	2.4e+00	9.64579e+01	2.3e+00
4.9739e+03	2.4e+00	7.77591e+01	1.8e+00
4.9774e+03	2.4e+00	6.70100e+01	1.6e+00
4.9810e+03	2.4e+00	6.31795e+01	1.7e+00
4.9845e+03	2.4e+00	6.45285e+01	1.9e+00
4.9881e+03	2.4e+00	6.53660e+01	1.6e+00
4.9917e+03	2.4e+00	6.59789e+01	2.0e+00
4.9952e+03	2.4e+00	6.63182e+01	1.8e+00
4.9988e+03	2.4e+00	6.51992e+01	2.1e+00
5.0023e+03	2.4e+00	6.89204e+01	2.1e+00
5.0059e+03	2.4e+00	7.75979e+01	2.0e+00
5.0094e+03	2.4e+00	7.86741e+01	2.2e+00
5.0130e+03	2.4e+00	9.56331e+01	2.1e+00
5.0165e+03	2.4e+00	1.11565e+02	2.3e+00
5.0201e+03	2.4e+00	9.86212e+01	2.1e+00
5.0236e+03	2.4e+00	7.25271e+01	2.6e+00
5.0272e+03	2.4e+00	5.40037e+01	2.0e+00
5.0307e+03	2.4e+00	5.62020e+01	1.5e+00
5.0343e+03	2.4e+00	6.28600e+01	1.8e+00
5.0378e+03	2.4e+00	6.53171e+01	2.5e+00
5.0414e+03	2.4e+00	6.54907e+01	2.2e+00
5.0449e+03	2.4e+00	6.77071e+01	2.0e+00
5.0485e+03	2.4e+00	7.24523e+01	1.9e+00
5.0520e+03	2.4e+00	7.88533e+01	1.7e+00
5.0556e+03	2.4e+00	7.27874e+01	2.2e+00
5.0591e+03	2.4e+00	7.62800e+01	2.0e+00
