# lambda [A]	Dlambda [A]	specval [counts]	Dspecval [counts]
4.4932e+03	2.4e+00	2.74541e+02	4.4e+00
4.4968e+03	2.4e+00	3.15569e+02	4.1e+00
4.5005e+03	2.4e+00	3.77273e+02	4.8e+00
4.5041e+03	2.4e+00	4.48393e+02	5.1e+00
4.5077e+03	2.4e+00	4.00475e+02	4.1e+00
4.5113e+03	2.4e+00	3.02796e+02	4.5e+00
4.5149e+03	2.4e+00	2.05444e+02	4.0e+00
4.5185e+03	2.4e+00	1.90200e+02	3.6e+00
4.5221e+03	2.4e+00	1.89509e+02	4.2e+00
4.5258e+03	2.4e+00	1.79002e+02	3.5e+00
4.5294e+03	2.4e+00	1.74403e+02	3.4e+00
4.5330e+03	2.4e+00	1.91258e+02	3.4e+00
4.5366e+03	2.4e+00	2.58188e+02	4.7e+00
4.5402e+03	2.4e+00	3.44502e+02	3.9e+00
4.5438e+03	2.4e+00	3.23839e+02	4.4e+00
4.5474e+03	2.4e+00	2.52254e+02	4.7e+00
4.5510e+03	2.4e+00	1.57711e+02	2.8e+00
4.5546e+03	2.4e+00	1.43238e+02	3.0e+00
4.5582e+03	2.4e+00	1.41253e+02	7.7e+00
4.5619e+03	2.4e+00	1.49865e+02	2.8e+00
4.5655e+03	2.4e+00	1.51515e+02	3.3e+00
4.5691e+03	2.4e+00	1.61786e+02	3.5e+00
4.5727e+03	2.4e+00	2.05436e+02	3.7e+00
4.5763e+03	2.4e+00	2.30124e+02	3.0e+00
4.5799e+03	2.4e+00	2.36565e+02	3.2e+00
4.5835e+03	2.4e+00	2.52842e+02	3.6e+00
4.5871e+03	2.4e+00	2.47839e+02	3.5e+00
4.5907e+03	2.4e+00	2.39032e+02	3.8e+00
4.5943e+03	2.4e+00	1.91536e+02	2.8e+00
4.5979e+03	2.4e+00	1.73537e+02	2.4e+00
4.6015e+03	2.4e+00	2.12214e+02	3.6e+00
4.6051e+03	2.4e+00	2.80861e+02	3.5e+00
4.6087e+03	2.4e+00	2.81545e+02	3.9e+00
4.6123e+03	2.4e+00	2.33630e+02	3.5e+00
4.6159e+03	2.4e+00	1.33529e+02	3.1e+00
4.6195e+03	2.4e+00	1.13756e+02	2.4e+00
4.6231e+03	2.4e+00	1.21442e+02	3.0e+00
4.6267e+03	2.4e+00	1.18417e+02	2.7e+00
4.6303e+03	2.4e+00	1.17857e+02	2.8e+00
4.6339e+03	2.4e+00	1.20601e+02	2.5e+00
4.6375e+03	2.4e+00	1.19499e+02	2.9e+00
4.6411e+03	2.4e+00	1.14424e+02	2.8e+00
4.6447e+03	2.4e+00	1.14971e+02	2.7e+00
4.6483e+03	2.4e+00	1.42316e+02	2.2e+00
4.6519e+03	2.4e+00	1.94394e+02	2.7e+00
4.6555e+03	2.4e+00	2.46733e+02	3.7e+00
4.6591e+03	2.4e+00	2.34978e+02	4.1e+00
4.6627e+03	2.4e+00	1.81603e+02	3.7e+00
4.6663e+03	2.4e+00	1.23481e+02	2.9e+00
4.6699e+03	2.4e+00	1.18357e+02	2.8e+00
4.6735e+03	2.4e+00	1.29682e+02	3.1e+00
4.6771e+03	2.4e+00	1.29169e+02	2.3e+00
4.6807e+03	2.4e+00	1.29588e+02	2.8e+00
4.6843e+03	2.4e+00	1.24188e+02	2.7e+00
4.6879e+03	2.4e+00	1.21448e+02	2.3e+00
4.6915e+03	2.4e+00	1.19393e+02	2.4e+00
4.6950e+03	2.4e+00	1.16076e+02	2.7e+00
4.6986e+03	2.4e+00	1.19827e+02	2.6e+00
4.7022e+03	2.4e+00	1.21175e+02	2.6e+00
4.7058e+03	2.4e+00	1.17493e+02	2.7e+00
4.7094e+03	2.4e+00	1.20432e+02	2.2e+00
4.7130e+03	2.4e+00	1.15603e+02	2.3e+00
4.7166e+03	2.4e+00	1.15544e+02	2.2e+00
4.7202e+03	2.4e+00	1.30480e+02	2.9e+00
4.7238e+03	2.4e+00	1.72936e+02	2.8e+00
